ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2581177,20150415,Wed 4/15,HOU,91-117,L,12,4,0.333,3,2,0.667,0,0,0.0,10,2,2,1,1,3,2,22
2581177,20150413,Mon 4/13,DAL,109-92,W,11,2,0.182,5,2,0.4,0,0,0.0,6,1,4,0,1,2,1,27
2581177,20150411,Sat 4/11,POR,111-105,W,13,7,0.538,1,0,0.0,8,7,0.875,21,2,8,0,1,2,1,31
2581177,20150410,Fri 4/10,MEM,88-89,L,14,6,0.429,7,3,0.429,3,3,1.0,18,3,2,0,0,2,1,37
2581177,20150408,Wed 4/8,SAC,103-91,W,14,7,0.5,7,3,0.429,3,3,1.0,20,8,4,1,0,3,3,33
2581177,20150405,Sun 4/5,SAC,101-95,W,17,9,0.529,6,1,0.167,7,6,0.857,25,3,2,0,4,4,0,34
2581177,20150404,Sat 4/4,PHX,85-87,L,12,7,0.583,5,1,0.2,2,2,1.0,17,5,2,0,1,3,0,29
2581177,20150401,Wed 4/1,DEN,98-84,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150330,Mon 3/30,MIN,104-84,W,5,3,0.6,2,1,0.5,0,0,0.0,7,0,0,0,0,4,0,11
2581177,20150328,Sat 3/28,OKC,94-89,W,8,3,0.375,4,1,0.25,1,0,0.0,7,3,0,1,1,2,1,29
2581177,20150327,Fri 3/27,DEN,91-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150325,Wed 3/25,POR,89-92,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150323,Mon 3/23,MIN,104-106,L,8,3,0.375,2,2,1.0,0,0,0.0,8,0,4,0,2,1,1,20
2581177,20150321,Sat 3/21,GS,91-106,L,14,9,0.643,3,1,0.333,0,0,0.0,19,1,0,0,0,3,1,32
2581177,20150319,Thu 3/19,LAL,80-73,W,6,0,0.0,3,0,0.0,2,2,1.0,2,1,3,0,0,1,0,22
2581177,20150318,Wed 3/18,WSH,84-88,L,9,4,0.444,3,0,0.0,1,0,0.0,8,3,4,0,0,4,3,29
2581177,20150316,Mon 3/16,CHA,94-66,W,11,9,0.818,5,5,1.0,1,1,1.0,24,3,3,0,1,3,0,22
2581177,20150314,Sat 3/14,DET,88-85,W,10,5,0.5,4,2,0.5,0,0,0.0,12,6,1,0,3,3,0,33
2581177,20150312,Thu 3/12,HOU,109-91,W,16,8,0.5,8,3,0.375,2,1,0.5,20,1,2,0,1,1,1,33
2581177,20150310,Tue 3/10,NY,87-82,W,16,6,0.375,7,3,0.429,2,2,1.0,17,1,1,0,1,3,0,25
2581177,20150308,Sun 3/8,BKN,95-88,W,4,1,0.25,3,1,0.333,0,0,0.0,3,2,4,0,1,4,2,20
2581177,20150306,Fri 3/6,PHI,89-83,W,8,3,0.375,3,1,0.333,4,2,0.5,9,1,2,0,0,1,3,22
2581177,20150304,Wed 3/4,BOS,84-85,L,7,4,0.571,2,0,0.0,0,0,0.0,8,1,0,0,0,2,2,22
2581177,20150303,Tue 3/3,MEM,93-82,W,5,3,0.6,4,2,0.5,5,5,1.0,13,1,1,1,0,2,2,14
2581177,20150228,Sat 2/28,MIL,82-75,W,4,0,0.0,1,0,0.0,0,0,0.0,0,3,4,0,1,1,2,19
2581177,20150227,Fri 2/27,DEN,104-82,W,8,5,0.625,3,3,1.0,2,1,0.5,14,2,1,2,1,2,0,20
2581177,20150225,Wed 2/25,LAL,97-100,L,8,4,0.5,4,3,0.75,0,0,0.0,11,2,0,0,0,2,0,20
2581177,20150223,Mon 2/23,SA,90-81,W,4,1,0.25,2,0,0.0,0,0,0.0,2,1,0,0,0,1,0,12
2581177,20150220,Fri 2/20,POR,92-76,W,4,2,0.5,3,2,0.667,0,0,0.0,6,1,0,0,0,3,0,10
2581177,20150211,Wed 2/11,DAL,82-87,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150209,Mon 2/9,NO,100-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150207,Sat 2/7,SAC,102-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150206,Fri 2/6,PHX,93-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150204,Wed 2/4,MEM,90-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150203,Tue 2/3,POR,102-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150130,Fri 1/30,GS,110-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150128,Wed 1/28,LAC,89-94,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150126,Mon 1/26,BOS,90-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150124,Sat 1/24,BKN,108-73,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150122,Thu 1/22,MIL,101-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150121,Wed 1/21,CLE,92-106,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150118,Sun 1/18,SA,69-89,L,5,1,0.2,2,1,0.5,4,2,0.5,5,4,0,0,0,2,1,17
2581177,20150116,Fri 1/16,LAL,94-85,W,4,2,0.5,3,1,0.333,0,0,0.0,5,5,1,0,1,3,2,21
2581177,20150113,Tue 1/13,GS,105-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150110,Sat 1/10,HOU,82-97,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150109,Fri 1/9,OKC,94-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150107,Wed 1/7,CHI,97-77,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150105,Mon 1/5,IND,101-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150103,Sat 1/3,MIN,101-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20150102,Fri 1/2,ATL,92-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581177,20151230,Tue 12/30,MIN,100-94,W,5,2,0.4,2,0,0.0,0,0,0.0,4,2,1,1,0,5,2,19
2581177,20151229,Mon 12/29,LAC,97-101,L,6,2,0.333,3,1,0.333,5,4,0.8,9,7,5,1,2,5,3,30
2581177,20151227,Sat 12/27,PHI,88-71,W,8,1,0.125,5,1,0.2,2,1,0.5,4,5,2,0,0,0,0,29
