ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3005,20160413,Wed 4/13,HOU,81-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3005,20160411,Mon 4/11,PHX,105-101,W,13,6,0.462,2,1,0.5,4,2,0.5,15,6,0,4,2,4,4,35
3005,20160409,Sat 4/9,OKC,114-112,W,19,9,0.474,6,1,0.167,7,5,0.714,24,8,3,2,4,4,1,38
3005,20160407,Thu 4/7,MIN,97-105,L,15,4,0.267,1,1,1.0,4,4,1.0,13,13,3,2,5,2,5,34
3005,20160405,Tue 4/5,POR,107-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3005,20160402,Sat 4/2,DEN,115-106,W,18,7,0.389,4,1,0.25,13,10,0.769,25,9,3,0,0,2,0,36
3005,20160401,Fri 4/1,MIA,106-112,L,21,9,0.429,3,0,0.0,2,2,1.0,20,13,1,0,2,3,4,40
3005,20160330,Wed 3/30,WSH,120-111,W,14,6,0.429,3,0,0.0,4,3,0.75,15,4,1,0,0,0,2,34
3005,20160328,Mon 3/28,POR,93-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3005,20160327,Sun 3/27,DAL,133-111,W,10,4,0.4,3,0,0.0,2,1,0.5,9,2,1,0,2,2,1,26
3005,20160325,Fri 3/25,PHX,116-94,W,10,5,0.5,3,2,0.667,6,3,0.5,15,5,3,0,2,0,1,28
3005,20160323,Wed 3/23,MIN,104-113,L,15,4,0.267,4,1,0.25,3,2,0.667,11,2,3,0,1,4,4,32
3005,20160321,Mon 3/21,CHI,102-109,L,11,7,0.636,4,3,0.75,1,1,1.0,18,5,1,0,0,4,1,33
3005,20160320,Sun 3/20,NY,88-80,W,21,8,0.381,6,1,0.167,0,0,0.0,17,4,0,1,2,2,3,39
3005,20160318,Fri 3/18,DET,108-115,L,12,7,0.583,1,1,1.0,4,4,1.0,19,3,0,1,0,2,2,34
