ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3468,20120425,Wed 4/25,DEN,101-106,L,20,10,0.5,3,1,0.333,10,9,0.9,30,6,9,4,3,2,2,35
3468,20120424,Tue 4/24,SAC,118-110,W,13,4,0.308,2,0,0.0,6,5,0.833,13,8,6,2,2,2,2,27
3468,20120422,Sun 4/22,LAL,106-114,L,22,3,0.136,4,0,0.0,8,8,1.0,14,4,10,0,1,5,3,47
3468,20120420,Fri 4/20,SAC,103-92,W,15,8,0.533,1,0,0.0,4,2,0.5,18,3,3,1,2,2,5,32
3468,20120418,Wed 4/18,PHX,109-97,W,16,6,0.375,0,0,0.0,4,3,0.75,15,6,5,0,2,4,3,31
3468,20120416,Mon 4/16,LAC,77-92,L,16,4,0.25,5,1,0.2,0,0,0.0,9,3,3,0,1,2,5,32
3468,20120414,Sat 4/14,MIN,115-110,W,25,12,0.48,4,2,0.5,10,9,0.9,35,1,8,0,2,4,3,38
3468,20120413,Fri 4/13,SAC,115-89,W,18,10,0.556,0,0,0.0,5,2,0.4,22,6,5,0,1,1,2,27
3468,20120411,Wed 4/11,LAC,98-100,L,14,3,0.214,5,1,0.2,15,13,0.867,20,4,7,0,0,2,4,37
3468,20120409,Mon 4/9,MIL,109-89,W,21,11,0.524,5,3,0.6,1,1,1.0,26,7,3,0,1,2,4,26
3468,20120408,Sun 4/8,TOR,91-75,W,12,5,0.417,1,0,0.0,7,5,0.714,15,6,6,0,1,3,4,27
3468,20120406,Fri 4/6,IND,98-103,L,23,7,0.304,5,2,0.4,8,5,0.625,21,11,9,0,1,3,3,41
3468,20120404,Wed 4/4,MIA,93-98,L,26,9,0.346,4,1,0.25,9,9,1.0,28,4,2,0,3,4,4,40
3468,20120402,Mon 4/2,MEM,88-94,L,16,5,0.313,3,0,0.0,10,9,0.9,19,4,3,0,3,2,5,37
3468,20120401,Sun 4/1,CHI,92-78,W,18,10,0.556,2,1,0.5,6,6,1.0,27,3,5,0,4,0,0,30
3468,20120329,Thu 3/29,LAL,102-93,W,27,13,0.481,4,1,0.25,10,9,0.9,36,1,5,0,2,2,1,42
3468,20120327,Tue 3/27,POR,109-95,W,26,16,0.615,3,0,0.0,3,0,0.0,32,3,8,0,3,2,2,35
3468,20120325,Sun 3/25,MIA,103-87,W,16,4,0.25,3,1,0.333,4,4,1.0,13,3,6,1,3,3,4,33
3468,20120323,Fri 3/23,MIN,149-140,W,28,17,0.607,4,2,0.5,9,9,1.0,45,4,6,0,2,1,4,50
3468,20120321,Wed 3/21,LAC,114-91,W,20,8,0.4,4,1,0.25,2,2,1.0,19,3,4,0,0,2,4,35
3468,20120320,Tue 3/20,UTAH,90-97,L,11,8,0.727,4,3,0.75,4,4,1.0,23,4,3,0,0,2,3,35
3468,20120318,Sun 3/18,POR,111-95,W,21,12,0.571,3,2,0.667,6,2,0.333,28,3,5,1,0,0,0,35
3468,20120316,Fri 3/16,SA,105-114,L,29,13,0.448,5,1,0.2,10,9,0.9,36,3,6,0,3,4,2,45
3468,20120315,Thu 3/15,DEN,103-90,W,17,7,0.412,3,2,0.667,8,7,0.875,23,6,5,0,2,4,7,35
3468,20120313,Tue 3/13,HOU,103-104,L,18,7,0.389,3,0,0.0,6,5,0.833,19,4,4,0,0,1,2,38
