ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3412,20130417,Wed 4/17,DAL,87-99,L,13,4,0.308,3,1,0.333,5,4,0.8,13,7,0,0,0,2,0,36
3412,20130414,Sun 4/14,DAL,89-107,L,20,8,0.4,7,4,0.571,0,0,0.0,20,12,1,1,0,1,1,41
3412,20130412,Fri 4/12,LAC,93-96,L,18,6,0.333,8,2,0.25,6,3,0.5,17,6,1,0,2,4,0,39
3412,20130410,Wed 4/10,SAC,110-121,L,13,3,0.231,6,1,0.167,2,2,1.0,9,5,0,0,0,2,1,32
3412,20130409,Tue 4/9,LAL,96-104,L,14,5,0.357,6,3,0.5,1,1,1.0,14,1,2,0,0,1,1,25
3412,20130407,Sun 4/7,PHX,95-92,W,16,6,0.375,8,2,0.25,3,3,1.0,17,10,0,0,0,0,2,35
3412,20130405,Fri 4/5,UTAH,83-95,L,10,0,0.0,4,0,0.0,4,4,1.0,4,6,0,1,0,2,3,23
3412,20130403,Wed 4/3,GS,88-98,L,8,1,0.125,4,1,0.25,0,0,0.0,3,5,2,0,1,1,0,20
3412,20130331,Sun 3/31,CLE,112-92,W,14,9,0.643,7,5,0.714,0,0,0.0,23,6,2,0,1,2,1,32
3412,20130329,Fri 3/29,MIA,89-108,L,15,8,0.533,6,2,0.333,2,2,1.0,20,3,3,0,0,1,2,31
3412,20130327,Wed 3/27,LAC,91-105,L,9,3,0.333,4,0,0.0,2,2,1.0,8,5,0,1,0,0,2,21
3412,20130325,Mon 3/25,DEN,110-86,W,22,9,0.409,11,5,0.455,0,0,0.0,23,9,1,0,1,2,0,36
3412,20130322,Fri 3/22,MEM,90-83,W,5,3,0.6,4,2,0.5,0,0,0.0,8,6,0,1,0,4,2,14
3412,20130320,Wed 3/20,BOS,87-86,W,12,5,0.417,5,2,0.4,11,9,0.818,21,5,1,0,0,1,3,32
3412,20130318,Mon 3/18,GS,72-93,L,19,7,0.368,6,1,0.167,6,6,1.0,21,9,1,0,1,2,0,29
3412,20130317,Sun 3/17,MIN,95-97,L,10,2,0.2,4,2,0.5,2,1,0.5,7,2,1,0,1,3,2,25
3412,20130315,Fri 3/15,WSH,87-96,L,18,6,0.333,10,1,0.1,0,0,0.0,13,5,1,0,1,3,1,36
3412,20130312,Tue 3/12,BKN,98-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3412,20130310,Sun 3/10,POR,98-96,W,15,7,0.467,9,4,0.444,3,2,0.667,20,13,3,1,2,1,2,34
3412,20130309,Sat 3/9,MEM,85-96,L,18,7,0.389,5,1,0.2,2,2,1.0,17,7,0,1,0,1,1,31
3412,20130306,Wed 3/6,LAL,102-108,L,9,4,0.444,5,2,0.4,4,4,1.0,14,6,4,1,0,2,5,36
3412,20130304,Mon 3/4,ORL,102-105,L,9,4,0.444,4,2,0.5,4,3,0.75,13,2,2,2,0,5,1,34
3412,20130301,Fri 3/1,DET,100-95,W,17,7,0.412,8,2,0.25,6,3,0.5,19,13,1,0,0,1,3,43
3412,20130227,Wed 2/27,OKC,74-119,L,11,5,0.455,6,3,0.5,2,1,0.5,14,0,1,0,1,2,1,24
3412,20130226,Tue 2/26,BKN,97-101,L,11,5,0.455,5,1,0.2,2,2,1.0,13,7,1,1,2,2,0,30
3412,20130224,Sun 2/24,SAC,110-95,W,12,7,0.583,3,2,0.667,1,1,1.0,17,9,3,1,0,1,1,24
3412,20130222,Fri 2/22,DAL,100-104,L,11,7,0.636,5,2,0.4,4,4,1.0,20,12,0,0,1,5,1,33
3412,20130220,Wed 2/20,CLE,100-105,L,11,3,0.273,4,1,0.25,0,0,0.0,7,3,1,0,0,1,3,28
3412,20130219,Tue 2/19,CHI,87-96,L,11,2,0.182,4,0,0.0,9,6,0.667,10,6,1,1,0,2,1,28
3412,20130213,Wed 2/13,POR,99-63,W,14,6,0.429,5,2,0.4,0,0,0.0,14,7,2,1,2,0,0,25
3412,20130211,Mon 2/11,DET,105-86,W,21,13,0.619,9,5,0.556,0,0,0.0,31,4,1,2,0,3,1,31
3412,20130210,Sun 2/10,TOR,89-102,L,11,5,0.455,5,1,0.2,4,4,1.0,15,6,1,1,0,0,2,33
3412,20130208,Fri 2/8,ATL,111-100,W,11,7,0.636,7,4,0.571,2,1,0.5,19,8,1,0,0,3,3,29
3412,20130206,Wed 2/6,PHX,93-84,W,10,4,0.4,6,3,0.5,3,3,1.0,14,4,3,0,0,2,3,31
3412,20130202,Sat 2/2,MIN,86-115,L,8,2,0.25,5,1,0.2,4,3,0.75,8,2,1,0,0,2,2,20
3412,20130201,Fri 2/1,DEN,98-113,L,15,7,0.467,7,3,0.429,4,4,1.0,21,2,0,1,1,0,3,36
3412,20130130,Wed 1/30,UTAH,99-104,L,11,5,0.455,6,3,0.5,5,3,0.6,16,6,1,0,0,6,2,26
3412,20130129,Tue 1/29,LAL,106-111,L,15,6,0.4,7,3,0.429,1,1,1.0,16,6,0,0,1,2,1,28
3412,20130127,Sun 1/27,MEM,91-83,W,13,7,0.538,13,7,0.538,2,1,0.5,22,5,0,0,0,4,1,28
3412,20130125,Fri 1/25,HOU,82-100,L,13,6,0.462,5,0,0.0,7,7,1.0,19,4,1,2,1,2,1,33
3412,20130123,Wed 1/23,SA,102-106,L,10,5,0.5,4,2,0.5,4,4,1.0,16,6,3,0,0,3,1,31
