ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2488689,20160413,Wed 4/13,TOR,96-103,L,14,5,0.357,4,1,0.25,1,1,1.0,12,5,3,0,1,2,0,31
2488689,20160411,Mon 4/11,WSH,111-120,L,15,6,0.4,7,2,0.286,5,3,0.6,17,5,3,1,2,0,0,30
2488689,20160410,Sun 4/10,IND,105-129,L,18,10,0.556,7,3,0.429,3,3,1.0,26,2,2,0,0,3,1,28
2488689,20160408,Fri 4/8,CHA,99-113,L,12,5,0.417,7,2,0.286,4,4,1.0,16,2,2,0,2,0,1,27
2488689,20160406,Wed 4/6,WSH,103-121,L,11,4,0.364,3,1,0.333,6,6,1.0,15,1,1,0,0,3,3,26
2488689,20160403,Sun 4/3,NO,87-106,L,10,6,0.6,4,3,0.75,0,0,0.0,15,3,0,0,0,3,4,26
2488689,20160401,Fri 4/1,NY,91-105,L,20,7,0.35,8,1,0.125,2,2,1.0,17,4,2,0,0,0,2,33
2488689,20160331,Thu 3/31,CLE,87-107,L,9,2,0.222,4,0,0.0,0,0,0.0,4,1,2,0,0,2,0,21
2488689,20160329,Tue 3/29,ORL,105-139,L,12,4,0.333,3,0,0.0,5,3,0.6,11,2,3,0,2,0,4,23
2488689,20160328,Mon 3/28,MIA,99-110,L,11,5,0.455,3,0,0.0,4,4,1.0,14,3,0,0,0,1,2,21
2488689,20160326,Sat 3/26,IND,120-110,W,9,6,0.667,0,0,0.0,2,2,1.0,14,4,1,0,0,3,4,23
2488689,20160324,Thu 3/24,CLE,104-95,W,13,4,0.308,6,0,0.0,2,2,1.0,10,0,1,0,1,0,0,22
2488689,20160322,Tue 3/22,CHA,100-105,L,12,9,0.75,5,4,0.8,3,3,1.0,25,2,1,1,0,1,0,27
2488689,20160319,Sat 3/19,DET,103-115,L,8,5,0.625,2,2,1.0,4,3,0.75,15,2,0,0,0,2,1,21
2488689,20160317,Thu 3/17,CHI,102-118,L,7,3,0.429,3,1,0.333,6,5,0.833,12,1,1,0,1,1,0,21
2488689,20160315,Tue 3/15,PHI,131-114,W,9,6,0.667,4,3,0.75,4,4,1.0,19,3,2,0,0,0,1,23
2488689,20160313,Sun 3/13,MIL,100-109,L,13,8,0.615,6,3,0.5,0,0,0.0,19,1,1,0,0,2,1,22
2488689,20160311,Fri 3/11,PHI,89-95,L,7,4,0.571,3,0,0.0,2,2,1.0,10,3,0,0,0,2,2,24
2488689,20160308,Tue 3/8,TOR,99-104,L,7,3,0.429,4,2,0.5,0,0,0.0,8,0,0,0,0,2,1,15
2488689,20160305,Sat 3/5,MIN,118-132,L,13,6,0.462,5,3,0.6,4,4,1.0,19,3,0,0,1,0,0,26
2488689,20160304,Fri 3/4,DEN,121-120,W,11,4,0.364,5,2,0.4,2,2,1.0,12,2,0,0,0,1,0,20
2488689,20160301,Tue 3/1,LAL,101-107,L,8,3,0.375,4,2,0.5,0,0,0.0,8,1,1,0,0,2,0,21
2488689,20160229,Mon 2/29,LAC,95-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488689,20160201,Mon 2/1,TOR,112-93,W,3,1,0.333,2,0,0.0,0,0,0.0,2,1,0,0,0,1,2,17
2488689,20160130,Sat 1/30,IND,105-109,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488689,20160128,Thu 1/28,WSH,117-113,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488689,20160127,Wed 1/27,BOS,103-111,L,2,1,0.5,1,0,0.0,0,0,0.0,2,0,2,0,0,1,1,15
2488689,20160125,Mon 1/25,ATL,105-119,L,5,3,0.6,3,1,0.333,4,4,1.0,11,3,0,0,0,2,0,15
2488689,20160123,Sat 1/23,DET,104-101,W,2,1,0.5,2,1,0.5,0,0,0.0,3,0,0,0,1,1,0,10
2488689,20160121,Thu 1/21,MEM,101-102,L,4,1,0.25,4,1,0.25,2,1,0.5,4,0,1,0,1,0,0,12
2488689,20160119,Tue 1/19,OKC,104-110,L,3,1,0.333,3,1,0.333,2,2,1.0,5,1,0,0,0,0,0,8
2488689,20160117,Sun 1/17,IND,129-126,W,2,0,0.0,2,0,0.0,0,0,0.0,0,1,0,0,0,2,1,5
2488689,20160115,Fri 1/15,MIA,95-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488689,20160113,Wed 1/13,GS,112-110,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488689,20161019,Mon 10/19,HOU,100-120,L,8,4,0.5,5,1,0.2,1,0,0.0,9,1,0,0,0,2,0,15
2488689,20161017,Sat 10/17,SAC,98-107,L,10,2,0.2,7,1,0.143,2,1,0.5,6,2,0,0,0,2,2,14
2488689,20161012,Mon 10/12,CHI,123-115,W,12,7,0.583,7,3,0.429,6,6,1.0,23,1,2,0,3,0,0,20
2488689,20161009,Fri 10/9,ATL,93-103,L,4,2,0.5,2,1,0.5,1,1,1.0,6,0,0,0,0,1,1,6
2488689,20161003,Sat 10/3,IND,110-105,W,12,3,0.25,4,0,0.0,2,2,1.0,8,1,0,0,1,0,1,16
