ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3439,20130417,Wed 4/17,MIL,89-95,L,6,4,0.667,0,0,0.0,0,0,0.0,8,1,0,1,0,0,1,8
3439,20130415,Mon 4/15,SAC,104-95,W,14,7,0.5,0,0,0.0,0,0,0.0,14,7,0,2,1,0,1,30
3439,20130412,Fri 4/12,POR,106-90,W,9,5,0.556,1,0,0.0,2,1,0.5,11,6,1,1,0,2,1,25
3439,20130411,Thu 4/11,GS,116-97,W,11,7,0.636,2,1,0.5,2,2,1.0,17,7,0,3,1,2,2,28
3439,20130409,Tue 4/9,UTAH,90-80,W,14,8,0.571,0,0,0.0,0,0,0.0,16,8,0,5,1,3,3,32
3439,20130407,Sun 4/7,NY,120-125,L,6,6,1.0,1,1,1.0,0,0,0.0,13,6,0,5,0,3,1,32
3439,20130405,Fri 4/5,IND,97-75,W,9,5,0.556,0,0,0.0,2,2,1.0,12,7,1,1,1,2,0,28
3439,20130404,Thu 4/4,SA,100-88,W,9,5,0.556,1,1,1.0,0,0,0.0,11,11,1,3,0,4,0,34
3439,20130330,Sat 3/30,MIL,109-99,W,8,7,0.875,1,0,0.0,3,2,0.667,16,7,0,8,0,1,1,31
3439,20130329,Fri 3/29,MIN,93-101,L,10,4,0.4,1,0,0.0,4,2,0.5,10,11,0,5,0,2,1,36
3439,20130327,Wed 3/27,WSH,103-80,W,8,2,0.25,1,0,0.0,4,3,0.75,7,7,1,4,1,1,1,29
3439,20130324,Sun 3/24,POR,103-83,W,9,7,0.778,0,0,0.0,2,2,1.0,16,3,1,5,0,3,2,27
3439,20130322,Fri 3/22,ORL,97-89,W,11,5,0.455,2,0,0.0,6,4,0.667,14,13,0,5,1,1,1,36
3439,20130320,Wed 3/20,MEM,89-90,L,5,2,0.4,0,0,0.0,0,0,0.0,4,7,0,2,1,4,3,22
3439,20130319,Tue 3/19,DEN,104-114,L,5,3,0.6,0,0,0.0,0,0,0.0,6,2,0,3,1,1,1,24
3439,20130317,Sun 3/17,DAL,107-101,W,11,7,0.636,2,1,0.5,8,3,0.375,18,16,0,3,0,2,1,40
3439,20130315,Fri 3/15,ORL,117-104,W,10,8,0.8,0,0,0.0,7,4,0.571,20,6,1,3,0,1,3,28
3439,20130313,Wed 3/13,UTAH,110-87,W,6,4,0.667,0,0,0.0,2,2,1.0,10,3,0,1,1,4,2,26
3439,20130311,Mon 3/11,SA,93-105,L,8,4,0.5,2,0,0.0,6,5,0.833,13,16,0,3,0,4,2,36
3439,20130310,Sun 3/10,BOS,91-79,W,5,3,0.6,2,1,0.5,0,0,0.0,7,7,2,2,0,5,2,26
3439,20130308,Fri 3/8,&nbsp;CHA,116-94,W,8,5,0.625,2,0,0.0,2,2,1.0,12,7,1,2,0,4,1,24
3439,20130307,Thu 3/7,NY,95-94,W,7,5,0.714,1,0,0.0,2,2,1.0,12,9,0,5,0,5,2,40
3439,20130305,Tue 3/5,LAL,122-105,W,8,6,0.75,1,1,1.0,0,0,0.0,13,6,0,2,0,4,0,28
3439,20130303,Sun 3/3,LAC,108-104,W,9,7,0.778,1,1,1.0,2,1,0.5,16,3,1,2,1,3,1,30
3439,20130301,Fri 3/1,DEN,103-105,L,13,6,0.462,2,1,0.5,6,4,0.667,17,8,1,3,0,2,3,38
3439,20130227,Wed 2/27,&nbsp;NO,119-74,W,11,9,0.818,0,0,0.0,0,0,0.0,18,7,1,3,0,2,1,23
3439,20130224,Sun 2/24,CHI,102-72,W,12,7,0.583,2,1,0.5,2,2,1.0,17,10,0,3,1,2,1,30
3439,20130222,Fri 2/22,MIN,127-111,W,4,3,0.75,0,0,0.0,0,0,0.0,6,7,0,3,0,1,2,27
3439,20130220,Wed 2/20,HOU,119-122,L,11,7,0.636,0,0,0.0,2,2,1.0,16,7,0,5,0,2,3,31
3439,20130214,Thu 2/14,MIA,100-110,L,6,3,0.5,0,0,0.0,0,0,0.0,6,6,0,0,0,3,2,35
3439,20130212,Tue 2/12,UTAH,94-109,L,11,5,0.455,1,0,0.0,0,0,0.0,10,3,0,7,1,3,1,34
3439,20130210,Sun 2/10,PHX,97-69,W,11,5,0.455,0,0,0.0,2,2,1.0,12,6,1,2,1,1,1,27
3439,20130208,Fri 2/8,PHX,127-96,W,8,3,0.375,1,1,1.0,2,2,1.0,9,5,4,3,0,2,1,28
3439,20130206,Wed 2/6,GS,119-98,W,10,7,0.7,1,1,1.0,0,0,0.0,15,9,4,6,0,2,0,32
3439,20130204,Mon 2/4,DAL,112-91,W,7,4,0.571,1,1,1.0,4,3,0.75,12,5,1,1,0,2,2,27
3439,20130202,Sat 2/2,CLE,110-115,L,12,7,0.583,1,0,0.0,4,4,1.0,18,12,0,4,1,3,3,30
3439,20130131,Thu 1/31,MEM,106-89,W,3,2,0.667,1,0,0.0,0,0,0.0,4,1,1,6,0,4,1,26
3439,20130127,Sun 1/27,LAL,96-105,L,10,5,0.5,1,0,0.0,0,0,0.0,10,6,0,4,1,3,0,35
3439,20130125,Fri 1/25,SAC,105-95,W,9,4,0.444,1,0,0.0,8,6,0.75,14,8,0,2,2,3,3,26
3439,20130123,Wed 1/23,GS,99-104,L,9,5,0.556,0,0,0.0,4,2,0.5,12,5,0,3,1,0,3,27
3439,20130122,Tue 1/22,LAC,109-97,W,13,7,0.538,1,1,1.0,2,2,1.0,17,9,3,1,0,6,3,39
3439,20130120,Sun 1/20,DEN,118-121,L,11,7,0.636,0,0,0.0,6,2,0.333,16,6,1,2,0,4,0,42
3439,20130118,Fri 1/18,DAL,117-114,W,13,5,0.385,0,0,0.0,2,1,0.5,11,14,0,2,0,4,4,45
3439,20130116,Wed 1/16,DEN,117-97,W,5,2,0.4,0,0,0.0,1,1,1.0,5,6,1,5,0,3,3,27
3439,20130114,Mon 1/14,PHX,102-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3439,20130113,Sun 1/13,POR,87-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3439,20130111,Fri 1/11,LAL,116-101,W,8,3,0.375,1,0,0.0,0,0,0.0,6,7,0,1,0,1,2,24
3439,20130109,Wed 1/9,MIN,106-84,W,6,3,0.5,0,0,0.0,2,0,0.0,6,3,1,2,0,2,0,32
3439,20130107,Mon 1/7,WSH,99-101,L,17,12,0.706,2,1,0.5,2,1,0.5,26,11,1,2,0,2,2,35
3439,20130106,Sun 1/6,TOR,104-92,W,12,8,0.667,0,0,0.0,4,3,0.75,19,8,2,2,1,3,5,36
3439,20130104,Fri 1/4,PHI,109-85,W,10,6,0.6,1,0,0.0,4,3,0.75,15,10,1,0,3,2,4,29
