ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2993875,20160413,Wed 4/13,NO,144-109,W,16,12,0.75,3,1,0.333,3,3,1.0,28,0,3,0,1,1,1,23
2993875,20160411,Mon 4/11,HOU,105-129,L,13,9,0.692,3,1,0.333,7,4,0.571,23,1,2,0,1,0,1,22
2993875,20160409,Sat 4/9,POR,106-105,W,13,5,0.385,2,1,0.5,2,1,0.5,12,3,1,0,0,2,1,18
2993875,20160407,Thu 4/7,SAC,105-97,W,10,3,0.3,2,0,0.0,6,4,0.667,10,2,0,0,0,0,0,16
2993875,20160405,Tue 4/5,GS,124-117,W,12,9,0.75,4,2,0.5,17,15,0.882,35,6,0,0,0,0,1,39
2993875,20160403,Sun 4/3,DAL,78-88,L,4,0,0.0,2,0,0.0,2,1,0.5,1,3,1,0,1,0,0,16
2993875,20160401,Fri 4/1,UTAH,85-98,L,6,4,0.667,2,1,0.5,2,1,0.5,10,0,1,0,0,2,1,19
2993875,20160330,Wed 3/30,LAC,79-99,L,12,5,0.417,0,0,0.0,4,1,0.25,11,8,4,0,0,2,2,26
2993875,20160328,Mon 3/28,PHX,121-116,W,10,5,0.5,3,0,0.0,0,0,0.0,10,5,0,0,0,0,0,14
2993875,20160326,Sat 3/26,UTAH,84-93,L,12,4,0.333,0,0,0.0,0,0,0.0,8,7,0,0,0,1,1,15
2993875,20160325,Fri 3/25,WSH,132-129,W,4,2,0.5,1,0,0.0,2,2,1.0,6,3,1,0,0,1,2,15
2993875,20160323,Wed 3/23,SAC,113-104,W,6,2,0.333,1,0,0.0,0,0,0.0,4,3,0,0,0,2,0,11
2993875,20160321,Mon 3/21,GS,104-109,L,6,2,0.333,1,0,0.0,0,0,0.0,4,2,1,0,0,1,0,16
2993875,20160318,Fri 3/18,HOU,111-116,L,7,5,0.714,1,1,1.0,2,1,0.5,12,1,2,0,1,0,0,18
2993875,20160316,Wed 3/16,MEM,114-108,W,5,1,0.2,2,0,0.0,2,0,0.0,2,3,0,0,0,1,1,15
2993875,20160314,Mon 3/14,PHX,104-107,L,13,5,0.385,1,0,0.0,0,0,0.0,10,4,0,1,1,1,2,23
2993875,20160311,Fri 3/11,OKC,99-96,W,9,3,0.333,3,0,0.0,0,0,0.0,6,3,0,0,0,1,1,15
2993875,20160308,Tue 3/8,SA,91-116,L,5,2,0.4,1,0,0.0,8,7,0.875,11,2,1,0,1,1,0,21
2993875,20160307,Mon 3/7,CHA,103-108,L,6,2,0.333,3,1,0.333,0,0,0.0,5,2,1,0,0,2,1,18
2993875,20160305,Sat 3/5,BKN,132-118,W,8,4,0.5,0,0,0.0,8,7,0.875,15,2,2,0,1,2,0,19
2993875,20160304,Fri 3/4,MIL,101-116,L,15,7,0.467,3,1,0.333,5,2,0.4,17,5,2,0,0,1,2,27
2993875,20160302,Wed 3/2,WSH,98-104,L,6,3,0.5,1,0,0.0,6,5,0.833,11,9,0,0,0,1,2,24
2993875,20160228,Sun 2/28,DAL,101-128,L,13,7,0.538,4,2,0.5,10,8,0.8,24,5,0,1,0,2,3,34
2993875,20160227,Sat 2/27,NO,112-110,W,11,3,0.273,3,1,0.333,2,1,0.5,8,6,1,0,1,1,0,25
2993875,20160224,Wed 2/24,TOR,105-114,L,11,5,0.455,1,0,0.0,0,0,0.0,10,6,0,0,0,1,0,21
2993875,20160222,Mon 2/22,BOS,124-122,W,9,4,0.444,2,1,0.5,4,4,1.0,13,2,0,1,1,2,0,20
2993875,20160220,Sat 2/20,NY,95-103,L,11,8,0.727,2,2,1.0,2,2,1.0,20,3,0,0,1,1,1,33
2993875,20160219,Fri 2/19,MEM,104-109,L,11,5,0.455,4,2,0.5,0,0,0.0,12,3,1,0,0,0,0,23
2993875,20160210,Wed 2/10,TOR,117-112,W,6,1,0.167,1,0,0.0,6,6,1.0,8,3,0,0,0,3,0,21
2993875,20160208,Mon 2/8,NO,102-116,L,13,4,0.308,2,0,0.0,7,6,0.857,14,9,1,0,0,2,0,25
2993875,20160206,Sat 2/6,CHI,112-105,W,8,3,0.375,1,0,0.0,2,2,1.0,8,4,3,0,1,1,0,15
2993875,20160203,Wed 2/3,LAC,108-102,W,2,1,0.5,1,0,0.0,2,2,1.0,4,1,0,0,0,0,0,12
2993875,20160202,Tue 2/2,LAL,115-119,L,9,4,0.444,2,0,0.0,4,4,1.0,12,3,1,0,2,1,1,23
2993875,20160131,Sun 1/31,POR,93-96,L,3,0,0.0,2,0,0.0,0,0,0.0,0,0,0,0,0,3,2,13
2993875,20160129,Fri 1/29,UTAH,90-103,L,10,4,0.4,4,1,0.25,4,2,0.5,11,4,1,0,1,0,1,22
2993875,20160127,Wed 1/27,OKC,123-126,L,12,5,0.417,1,0,0.0,1,0,0.0,10,3,0,0,0,0,1,25
2993875,20160125,Mon 1/25,CLE,107-114,L,13,5,0.385,2,0,0.0,0,0,0.0,10,3,3,0,1,1,0,27
2993875,20160123,Sat 1/23,MEM,106-101,W,15,8,0.533,4,1,0.25,8,8,1.0,25,3,0,0,0,1,1,33
2993875,20160120,Wed 1/20,DAL,94-106,L,16,6,0.375,7,2,0.286,0,0,0.0,14,7,1,1,0,0,2,35
2993875,20160119,Tue 1/19,NO,99-114,L,10,5,0.5,2,0,0.0,4,3,0.75,13,5,0,1,0,0,1,28
2993875,20160117,Sun 1/17,PHX,117-87,W,10,4,0.4,3,0,0.0,6,3,0.5,11,8,0,0,0,3,2,26
