ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2596158,20150415,Wed 4/15,DET,90-112,L,5,2,0.4,0,0,0.0,2,1,0.5,5,1,2,0,1,3,2,24
2596158,20150413,Mon 4/13,ATL,112-108,W,7,4,0.571,1,0,0.0,2,1,0.5,9,3,7,0,2,1,3,22
2596158,20150411,Sat 4/11,ORL,80-79,W,6,2,0.333,2,0,0.0,0,0,0.0,4,2,1,0,1,1,0,22
2596158,20150410,Fri 4/10,MIL,91-99,L,6,5,0.833,0,0,0.0,4,4,1.0,14,3,5,0,2,4,4,32
2596158,20150408,Wed 4/8,IND,86-102,L,10,1,0.1,2,0,0.0,0,0,0.0,2,2,4,0,2,4,1,38
2596158,20150405,Sun 4/5,PHI,101-91,W,8,4,0.5,0,0,0.0,8,7,0.875,15,11,7,0,1,3,0,41
2596158,20150403,Fri 4/3,WSH,87-101,L,8,5,0.625,1,0,0.0,4,4,1.0,14,5,2,0,2,1,3,36
2596158,20150401,Wed 4/1,BKN,98-100,L,8,2,0.25,2,0,0.0,0,0,0.0,4,5,7,0,2,2,1,38
2596158,20150328,Sat 3/28,CHI,80-111,L,8,2,0.25,2,0,0.0,2,2,1.0,6,2,8,0,0,0,0,31
2596158,20150327,Fri 3/27,BOS,92-96,L,13,7,0.538,1,0,0.0,1,0,0.0,14,1,6,0,1,5,1,44
2596158,20150325,Wed 3/25,LAC,80-111,L,2,1,0.5,1,0,0.0,0,0,0.0,2,3,2,0,1,1,1,30
2596158,20150323,Mon 3/23,MEM,82-103,L,7,2,0.286,1,0,0.0,0,0,0.0,4,3,7,1,0,1,2,44
2596158,20150322,Sun 3/22,TOR,89-106,L,6,3,0.5,5,3,0.6,0,0,0.0,9,3,8,0,2,2,3,33
2596158,20150320,Fri 3/20,PHI,81-97,L,10,6,0.6,2,1,0.5,0,0,0.0,13,6,2,0,2,0,3,33
2596158,20150319,Thu 3/19,MIN,92-95,L,6,4,0.667,2,1,0.5,2,1,0.5,10,4,3,0,2,1,0,25
2596158,20150317,Tue 3/17,SA,104-100,W,5,2,0.4,1,0,0.0,1,1,1.0,5,0,2,2,1,2,0,22
2596158,20150315,Sun 3/15,PHX,89-102,L,5,4,0.8,0,0,0.0,1,0,0.0,8,4,3,0,2,3,2,25
2596158,20150314,Sat 3/14,GS,94-125,L,5,2,0.4,0,0,0.0,0,0,0.0,4,1,1,0,0,1,2,17
2596158,20150312,Thu 3/12,LAL,101-94,W,4,1,0.25,0,0,0.0,2,1,0.5,3,1,4,1,0,2,1,14
2596158,20150310,Tue 3/10,UTAH,82-87,L,5,2,0.4,1,0,0.0,0,0,0.0,4,4,1,0,1,1,1,23
2596158,20150309,Mon 3/9,DEN,78-106,L,7,4,0.571,1,0,0.0,1,0,0.0,8,2,3,1,1,3,2,32
