ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2580782,20150415,Wed 4/15,NY,112-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580782,20150413,Mon 4/13,CLE,97-109,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580782,20150412,Sun 4/12,CHA,116-77,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580782,20150410,Fri 4/10,IND,103-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580782,20150408,Wed 4/8,BOS,103-113,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580782,20150404,Sat 4/4,MIA,99-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580782,20150403,Fri 4/3,CHI,82-88,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580782,20150401,Wed 4/1,CHA,78-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580782,20150331,Tue 3/31,ATL,105-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,0,0,2,0,4
2580782,20150329,Sun 3/29,MIA,102-109,L,5,0,0.0,1,0,0.0,2,2,1.0,2,1,1,0,0,1,1,12
2580782,20150327,Fri 3/27,ORL,111-97,W,6,2,0.333,1,0,0.0,4,3,0.75,7,2,6,0,2,2,0,17
2580782,20150324,Tue 3/24,TOR,108-104,W,5,2,0.4,1,0,0.0,0,0,0.0,4,0,3,0,2,1,3,14
2580782,20150322,Sun 3/22,BOS,105-97,W,5,3,0.6,1,0,0.0,0,0,0.0,6,3,4,2,2,3,3,16
2580782,20150321,Sat 3/21,CHI,107-91,W,11,3,0.273,4,1,0.25,3,3,1.0,10,3,10,0,1,4,1,20
2580782,20150318,Wed 3/18,PHI,83-94,L,11,2,0.182,3,1,0.333,2,2,1.0,7,3,3,0,0,2,0,19
2580782,20150317,Tue 3/17,MEM,105-95,W,6,2,0.333,2,1,0.5,0,0,0.0,5,2,1,0,0,2,1,14
2580782,20150314,Sat 3/14,UTAH,85-88,L,9,3,0.333,4,1,0.25,3,2,0.667,9,2,6,0,2,2,0,20
2580782,20150313,Fri 3/13,POR,99-118,L,6,2,0.333,4,1,0.25,0,0,0.0,5,3,2,0,0,1,1,16
