ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3975,20160413,Wed 4/13,MEM,125-104,W,24,15,0.625,19,10,0.526,6,6,1.0,46,4,6,0,2,2,2,30
3975,20160410,Sun 4/10,SA,92-86,W,22,13,0.591,9,4,0.444,7,7,1.0,37,5,5,0,2,4,4,35
3975,20160409,Sat 4/9,MEM,100-99,W,22,7,0.318,14,3,0.214,0,0,0.0,17,9,8,0,1,1,2,34
3975,20160407,Thu 4/7,SA,112-101,W,19,11,0.579,7,3,0.429,2,2,1.0,27,5,9,0,2,2,3,36
3975,20160405,Tue 4/5,MIN,117-124,L,25,7,0.28,14,4,0.286,3,3,1.0,21,6,15,0,3,4,3,43
3975,20160403,Sun 4/3,POR,136-111,W,21,13,0.619,13,9,0.692,4,4,1.0,39,6,7,1,2,2,4,35
3975,20160401,Fri 4/1,BOS,106-109,L,19,9,0.474,14,8,0.571,3,3,1.0,29,5,6,0,1,2,9,37
3975,20160330,Wed 3/30,UTAH,103-96,W,23,11,0.478,10,5,0.5,5,4,0.8,31,7,4,0,2,4,5,42
3975,20160329,Tue 3/29,WSH,102-94,W,20,9,0.45,8,6,0.75,2,2,1.0,26,7,7,0,5,3,5,35
3975,20160327,Sun 3/27,PHI,117-105,W,16,7,0.438,9,2,0.222,5,4,0.8,20,3,8,0,4,0,4,33
3975,20160325,Fri 3/25,DAL,128-120,W,18,9,0.5,12,5,0.417,11,10,0.909,33,8,8,0,4,0,3,35
3975,20160323,Wed 3/23,LAC,114-98,W,23,12,0.522,10,4,0.4,6,5,0.833,33,4,5,0,3,3,1,37
3975,20160321,Mon 3/21,MIN,109-104,W,17,6,0.353,9,2,0.222,6,5,0.833,19,7,11,1,3,4,5,35
3975,20160319,Sat 3/19,SA,79-87,L,18,4,0.222,12,1,0.083,5,5,1.0,14,6,6,0,2,0,2,38
3975,20160318,Fri 3/18,DAL,130-112,W,26,12,0.462,12,6,0.5,1,1,1.0,31,9,10,0,2,2,1,34
3975,20160316,Wed 3/16,NY,121-85,W,20,12,0.6,13,8,0.615,2,2,1.0,34,6,4,0,0,2,2,28
3975,20160314,Mon 3/14,NO,125-107,W,16,10,0.625,9,4,0.444,4,3,0.75,27,5,5,0,2,1,1,31
3975,20160312,Sat 3/12,PHX,123-116,W,24,12,0.5,16,7,0.438,4,4,1.0,35,3,6,0,0,4,1,35
3975,20160311,Fri 3/11,POR,128-112,W,23,13,0.565,14,7,0.5,2,1,0.5,34,3,4,0,2,2,3,29
3975,20160309,Wed 3/9,UTAH,115-94,W,12,4,0.333,9,3,0.333,2,1,0.5,12,3,10,0,3,2,3,32
3975,20160307,Mon 3/7,ORL,119-113,W,24,14,0.583,13,7,0.538,6,6,1.0,41,13,3,0,4,3,5,37
3975,20160306,Sun 3/6,LAL,95-112,L,20,6,0.3,10,1,0.1,5,5,1.0,18,6,4,0,1,2,4,34
3975,20160303,Thu 3/3,OKC,121-106,W,25,12,0.48,15,5,0.333,5,4,0.8,33,4,4,1,1,2,1,37
3975,20160301,Tue 3/1,ATL,109-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3975,20160227,Sat 2/27,OKC,121-118,W,24,14,0.583,16,12,0.75,8,6,0.75,46,3,6,0,2,1,3,38
3975,20160225,Thu 2/25,ORL,130-114,W,27,20,0.741,15,10,0.667,1,1,1.0,51,7,8,1,0,1,5,34
3975,20160224,Wed 2/24,MIA,118-112,W,29,14,0.483,12,6,0.5,8,8,1.0,42,7,7,1,1,0,7,36
3975,20160222,Mon 2/22,ATL,102-92,W,22,14,0.636,11,5,0.455,3,3,1.0,36,6,8,0,3,2,2,36
3975,20160220,Sat 2/20,LAC,115-112,W,15,5,0.333,8,3,0.375,12,10,0.833,23,3,9,0,3,2,3,36
3975,20160219,Fri 2/19,POR,105-137,L,23,12,0.522,13,7,0.538,0,0,0.0,31,3,5,0,2,4,3,26
3975,20160214,Sun 2/14,&nbsp;EAST,196-173,W,18,10,0.556,13,6,0.462,0,0,0.0,26,5,6,0,4,1,2,29
3975,20160210,Wed 2/10,PHX,112-104,W,17,9,0.529,10,5,0.5,4,3,0.75,26,9,9,1,1,1,2,30
3975,20160209,Tue 2/9,HOU,123-110,W,24,12,0.5,16,7,0.438,4,4,1.0,35,5,9,0,1,2,1,38
3975,20160206,Sat 2/6,OKC,116-108,W,26,10,0.385,9,1,0.111,5,5,1.0,26,6,10,0,3,2,3,38
3975,20160203,Wed 2/3,WSH,134-121,W,28,19,0.679,15,11,0.733,3,2,0.667,51,7,2,0,3,3,7,36
3975,20160131,Sun 1/31,NY,116-95,W,17,5,0.294,11,3,0.273,0,0,0.0,13,4,4,0,3,1,3,32
3975,20160130,Sat 1/30,PHI,108-105,W,19,9,0.474,11,5,0.455,0,0,0.0,23,5,6,2,1,3,8,34
3975,20160127,Wed 1/27,DAL,127-107,W,11,4,0.364,7,3,0.429,3,3,1.0,14,2,9,1,3,2,0,32
3975,20160125,Mon 1/25,SA,120-90,W,20,12,0.6,9,6,0.667,7,7,1.0,37,2,3,0,5,0,1,28
3975,20160122,Fri 1/22,IND,122-110,W,19,11,0.579,15,8,0.533,9,9,1.0,39,10,12,0,1,1,2,37
