ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2991235,20160412,Tue 4/12,SA,98-102,L,8,7,0.875,0,0,0.0,3,3,1.0,17,9,0,2,0,5,2,38
2991235,20160411,Mon 4/11,LAL,112-79,W,9,6,0.667,0,0,0.0,5,1,0.2,13,15,2,1,2,2,0,25
2991235,20160409,Sat 4/9,SAC,112-114,L,4,2,0.5,0,0,0.0,4,2,0.5,6,8,1,1,1,4,1,25
2991235,20160406,Wed 4/6,POR,115-120,L,7,4,0.571,0,0,0.0,2,1,0.5,9,12,1,0,0,2,1,23
2991235,20160405,Tue 4/5,DEN,124-102,W,5,2,0.4,0,0,0.0,1,1,1.0,5,3,1,0,0,4,1,22
2991235,20160403,Sun 4/3,HOU,110-118,L,8,3,0.375,0,0,0.0,2,0,0.0,6,9,3,2,0,1,1,31
2991235,20160331,Thu 3/31,LAC,119-117,W,7,6,0.857,0,0,0.0,3,1,0.333,13,6,0,1,1,2,2,30
2991235,20160329,Tue 3/29,DET,82-88,L,6,3,0.5,0,0,0.0,2,1,0.5,7,5,1,3,3,4,3,35
2991235,20160328,Mon 3/28,TOR,119-100,W,5,3,0.6,0,0,0.0,5,4,0.8,10,9,2,1,0,5,1,28
2991235,20160326,Sat 3/26,SA,111-92,W,5,4,0.8,0,0,0.0,2,1,0.5,9,6,1,0,1,3,3,27
2991235,20160324,Thu 3/24,UTAH,113-91,W,11,7,0.636,0,0,0.0,0,0,0.0,14,7,0,0,1,0,1,22
2991235,20160322,Tue 3/22,HOU,111-107,W,4,3,0.75,0,0,0.0,3,2,0.667,8,3,0,2,2,2,1,26
2991235,20160319,Sat 3/19,IND,115-111,W,6,5,0.833,0,0,0.0,2,1,0.5,11,2,1,0,3,2,0,26
2991235,20160318,Fri 3/18,PHI,111-97,W,10,6,0.6,0,0,0.0,0,0,0.0,12,11,1,3,0,1,0,26
2991235,20160316,Wed 3/16,BOS,130-109,W,3,2,0.667,0,0,0.0,2,1,0.5,5,8,1,0,1,1,0,20
2991235,20160314,Mon 3/14,POR,128-94,W,6,5,0.833,0,0,0.0,4,3,0.75,13,3,0,1,2,2,0,19
2991235,20160312,Sat 3/12,SA,85-93,L,8,5,0.625,0,0,0.0,0,0,0.0,10,5,0,0,0,4,0,22
2991235,20160311,Fri 3/11,MIN,96-99,L,5,4,0.8,0,0,0.0,1,0,0.0,8,13,0,4,0,4,4,25
2991235,20160309,Wed 3/9,LAC,120-108,W,8,4,0.5,0,0,0.0,2,1,0.5,9,9,1,0,0,2,1,30
2991235,20160306,Sun 3/6,MIL,104-96,W,13,6,0.462,0,0,0.0,4,2,0.5,14,9,4,0,0,2,1,28
2991235,20160303,Thu 3/3,GS,106-121,L,2,1,0.5,0,0,0.0,2,1,0.5,3,3,2,0,0,0,0,20
2991235,20160302,Wed 3/2,LAC,98-103,L,4,3,0.75,0,0,0.0,0,0,0.0,6,9,0,1,0,1,0,27
2991235,20160229,Mon 2/29,SAC,131-116,W,4,2,0.5,0,0,0.0,0,0,0.0,4,3,0,0,0,5,1,14
2991235,20160227,Sat 2/27,GS,118-121,L,6,4,0.667,0,0,0.0,6,2,0.333,10,9,2,0,1,2,3,28
2991235,20160225,Thu 2/25,NO,119-123,L,6,4,0.667,0,0,0.0,0,0,0.0,8,5,1,1,0,4,2,20
2991235,20160224,Wed 2/24,DAL,116-103,W,9,7,0.778,0,0,0.0,3,1,0.333,15,7,0,2,0,5,0,25
2991235,20160221,Sun 2/21,CLE,92-115,L,5,4,0.8,0,0,0.0,1,1,1.0,9,9,1,2,1,4,2,28
2991235,20160219,Fri 2/19,IND,98-101,L,3,2,0.667,0,0,0.0,2,2,1.0,6,7,1,2,0,3,2,32
