ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2982334,20150414,Tue 4/14,LAC,101-112,L,12,5,0.417,0,0,0.0,0,0,0.0,10,3,6,0,1,4,1,43
2982334,20150412,Sun 4/12,SA,91-107,L,4,2,0.5,0,0,0.0,0,0,0.0,4,2,0,1,1,6,0,27
2982334,20150410,Fri 4/10,NO,75-90,L,11,4,0.364,2,0,0.0,0,0,0.0,8,4,2,0,1,1,0,29
2982334,20150408,Wed 4/8,DAL,104-107,L,9,4,0.444,2,1,0.5,2,1,0.5,10,2,2,1,2,3,1,24
2982334,20150407,Tue 4/7,ATL,69-96,L,7,1,0.143,0,0,0.0,0,0,0.0,2,3,1,1,2,2,2,15
2982334,20150404,Sat 4/4,UTAH,87-85,W,4,2,0.5,0,0,0.0,0,0,0.0,4,1,0,0,0,4,0,14
2982334,20150402,Thu 4/2,GS,106-107,L,12,8,0.667,2,0,0.0,1,1,1.0,17,5,2,0,0,0,0,28
2982334,20150330,Mon 3/30,POR,86-109,L,9,6,0.667,0,0,0.0,1,1,1.0,13,1,1,2,1,2,2,22
2982334,20150329,Sun 3/29,OKC,97-109,L,10,8,0.8,0,0,0.0,2,2,1.0,18,5,2,1,2,1,0,29
2982334,20150327,Fri 3/27,POR,81-87,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150325,Wed 3/25,SAC,99-108,L,2,2,1.0,0,0,0.0,0,0,0.0,4,1,0,0,0,1,1,12
2982334,20150322,Sun 3/22,DAL,98-92,W,5,4,0.8,0,0,0.0,1,0,0.0,8,2,1,0,0,0,1,24
2982334,20150321,Sat 3/21,HOU,117-102,W,5,2,0.4,0,0,0.0,0,0,0.0,4,2,0,0,0,1,2,18
2982334,20150319,Thu 3/19,NO,74-72,W,6,3,0.5,0,0,0.0,0,0,0.0,6,3,0,0,0,1,2,18
2982334,20150315,Sun 3/15,NY,102-89,W,3,2,0.667,0,0,0.0,2,2,1.0,6,3,0,1,0,0,1,16
2982334,20150313,Fri 3/13,ATL,87-96,L,4,1,0.25,1,0,0.0,0,0,0.0,2,1,1,0,0,1,1,12
2982334,20150311,Wed 3/11,MIN,106-97,W,10,8,0.8,1,0,0.0,2,1,0.5,17,5,0,0,1,2,1,19
2982334,20150309,Mon 3/9,GS,80-98,L,9,5,0.556,0,0,0.0,1,1,1.0,11,2,1,0,0,0,1,24
2982334,20150307,Sat 3/7,CLE,79-89,L,5,4,0.8,0,0,0.0,0,0,0.0,8,5,0,1,1,0,0,12
2982334,20150306,Fri 3/6,BKN,108-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150304,Wed 3/4,ORL,105-100,W,5,2,0.4,0,0,0.0,0,0,0.0,4,2,0,0,0,0,0,10
2982334,20150302,Mon 3/2,MIA,98-115,L,2,1,0.5,0,0,0.0,0,0,0.0,2,1,0,0,0,0,0,15
2982334,20150228,Sat 2/28,SA,74-101,L,7,4,0.571,0,0,0.0,1,1,1.0,9,1,2,0,0,1,1,18
2982334,20150226,Thu 2/26,OKC,117-113,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150225,Wed 2/25,DEN,110-96,W,8,5,0.625,0,0,0.0,2,0,0.0,10,7,0,0,0,2,1,20
2982334,20150223,Mon 2/23,BOS,110-115,L,5,4,0.8,0,0,0.0,0,0,0.0,8,2,0,0,0,1,0,9
2982334,20150221,Sat 2/21,CHI,107-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150220,Fri 2/20,MIN,109-111,L,6,1,0.167,0,0,0.0,0,0,0.0,2,3,0,0,1,1,0,12
2982334,20150210,Tue 2/10,HOU,118-127,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150208,Sun 2/8,SAC,83-85,L,6,3,0.5,1,0,0.0,0,0,0.0,6,5,1,0,0,2,1,13
2982334,20150206,Fri 2/6,UTAH,100-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150205,Thu 2/5,POR,87-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150202,Mon 2/2,MEM,101-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150131,Sat 1/31,GS,87-106,L,1,1,1.0,0,0,0.0,0,0,0.0,2,1,0,0,0,0,0,3
2982334,20150130,Fri 1/30,CHI,99-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150128,Wed 1/28,WSH,106-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150125,Sun 1/25,LAC,100-120,L,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3
2982334,20150123,Fri 1/23,HOU,111-113,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150121,Wed 1/21,POR,118-113,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150119,Mon 1/19,LAL,115-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150116,Fri 1/16,MIN,110-99,W,2,1,0.5,1,0,0.0,0,0,0.0,2,0,0,0,0,2,0,5
2982334,20150113,Tue 1/13,CLE,107-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150111,Sun 1/11,MEM,110-122,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150109,Fri 1/9,SA,95-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150107,Wed 1/7,MIN,113-111,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150106,Tue 1/6,MIL,102-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20150104,Sun 1/4,TOR,125-109,W,1,0,0.0,0,0,0.0,2,2,1.0,2,1,0,0,0,0,0,4
2982334,20150102,Fri 1/2,PHI,112-96,W,4,2,0.5,1,0,0.0,0,0,0.0,4,1,0,0,0,0,1,11
2982334,20151231,Wed 12/31,OKC,134-137,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151230,Tue 12/30,NO,106-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151228,Sun 12/28,LAL,116-107,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151226,Fri 12/26,SAC,115-106,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151223,Tue 12/23,DAL,124-115,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151221,Sun 12/21,WSH,104-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151220,Sat 12/20,NY,99-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151217,Wed 12/17,CHA,111-106,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151215,Mon 12/15,MIL,94-96,L,0,0,0.0,0,0,0.0,2,2,1.0,2,0,0,1,0,2,0,4
2982334,20151214,Sun 12/14,OKC,88-112,L,9,4,0.444,2,0,0.0,0,0,0.0,8,2,3,0,1,2,1,20
2982334,20151212,Fri 12/12,DET,103-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151209,Tue 12/9,MIA,97-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151208,Mon 12/8,LAC,120-121,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151206,Sat 12/6,HOU,95-100,L,5,2,0.4,2,1,0.5,0,0,0.0,5,2,0,0,1,1,0,14
2982334,20151205,Fri 12/5,DAL,118-106,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151202,Tue 12/2,IND,116-99,W,2,1,0.5,1,1,1.0,0,0,0.0,3,0,0,0,0,0,0,2
2982334,20151130,Sun 11/30,ORL,90-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151128,Fri 11/28,DEN,97-122,L,9,5,0.556,2,1,0.5,0,0,0.0,11,2,0,0,1,5,2,23
2982334,20151126,Wed 11/26,DEN,120-112,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151124,Mon 11/24,TOR,100-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2982334,20151122,Sat 11/22,IND,106-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,1,5
