ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3986,20140416,Wed 4/16,&nbsp;CHA,86-91,L,10,2,0.2,0,0,0.0,0,0,0.0,4,5,0,0,0,3,6,34
3986,20140414,Mon 4/14,ORL,108-95,W,5,1,0.2,0,0,0.0,8,6,0.75,8,6,2,2,0,4,2,20
3986,20140413,Sun 4/13,NY,89-100,L,13,5,0.385,0,0,0.0,3,3,1.0,13,7,0,0,0,4,3,27
3986,20140411,Fri 4/11,DET,106-98,W,10,7,0.7,0,0,0.0,3,3,1.0,17,4,2,2,0,1,1,28
3986,20140409,Wed 4/9,MIN,102-87,W,14,6,0.429,0,0,0.0,2,1,0.5,13,5,2,3,1,2,0,27
3986,20140405,Sat 4/5,WSH,96-78,W,8,3,0.375,0,0,0.0,4,3,0.75,9,7,0,2,0,1,1,27
3986,20140404,Fri 4/4,MIL,102-90,W,9,4,0.444,0,0,0.0,6,5,0.833,13,4,0,1,2,5,0,29
3986,20140402,Wed 4/2,ATL,105-92,W,9,4,0.444,0,0,0.0,2,2,1.0,10,6,2,2,2,2,2,28
3986,20140331,Mon 3/31,BOS,94-80,W,9,6,0.667,0,0,0.0,2,2,1.0,14,11,0,0,1,4,3,28
3986,20140330,Sun 3/30,BOS,107-102,W,6,3,0.5,0,0,0.0,0,0,0.0,6,8,2,1,1,0,1,29
3986,20140328,Fri 3/28,POR,74-91,L,10,6,0.6,0,0,0.0,2,1,0.5,13,10,1,0,1,2,1,29
3986,20140324,Mon 3/24,IND,89-77,W,15,9,0.6,1,0,0.0,5,5,1.0,23,8,1,1,0,3,1,33
3986,20140322,Sat 3/22,PHI,91-81,W,16,8,0.5,0,0,0.0,0,0,0.0,16,10,0,5,0,1,1,29
3986,20140321,Fri 3/21,IND,79-91,L,6,1,0.167,0,0,0.0,6,5,0.833,7,5,1,1,0,6,2,22
3986,20140319,Wed 3/19,PHI,102-94,W,17,7,0.412,0,0,0.0,6,5,0.833,19,13,0,0,0,1,2,30
3986,20140317,Mon 3/17,OKC,85-97,L,14,6,0.429,0,0,0.0,6,4,0.667,16,7,1,2,0,1,1,30
3986,20140315,Sat 3/15,SAC,94-87,W,9,6,0.667,0,0,0.0,9,7,0.778,19,9,0,3,1,3,2,27
3986,20140313,Thu 3/13,HOU,111-87,W,7,2,0.286,0,0,0.0,2,1,0.5,5,4,0,2,0,3,3,18
3986,20140311,Tue 3/11,SA,96-104,L,5,0,0.0,0,0,0.0,2,1,0.5,1,5,0,2,0,2,2,23
3986,20140309,Sun 3/9,MIA,95-88,W,11,3,0.273,0,0,0.0,3,1,0.333,7,10,4,0,2,0,1,31
3986,20140307,Fri 3/7,MEM,77-85,L,16,9,0.563,0,0,0.0,0,0,0.0,18,4,0,0,1,0,1,28
3986,20140305,Wed 3/5,DET,105-94,W,16,11,0.688,0,0,0.0,0,0,0.0,22,5,0,0,1,2,3,31
3986,20140303,Mon 3/3,BKN,80-96,L,6,5,0.833,0,0,0.0,3,2,0.667,12,5,0,1,0,4,1,22
3986,20140302,Sun 3/2,NY,109-90,W,15,6,0.4,0,0,0.0,2,1,0.5,13,5,2,1,0,0,0,28
