ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2528393,20160413,Wed 4/13,UTAH,101-96,W,3,2,0.667,0,0,0.0,0,0,0.0,4,7,0,1,0,4,2,18
2528393,20160411,Mon 4/11,OKC,79-112,L,2,1,0.5,0,0,0.0,2,1,0.5,3,3,1,0,0,3,0,11
2528393,20160410,Sun 4/10,HOU,110-130,L,6,4,0.667,0,0,0.0,2,0,0.0,8,7,0,1,0,2,0,24
2528393,20160408,Fri 4/8,NO,102-110,L,2,1,0.5,0,0,0.0,0,0,0.0,2,4,1,1,1,4,1,16
2528393,20160406,Wed 4/6,LAC,81-91,L,5,4,0.8,0,0,0.0,4,3,0.75,11,5,0,0,0,2,1,17
2528393,20160405,Tue 4/5,LAC,81-103,L,4,2,0.5,0,0,0.0,2,2,1.0,6,6,0,0,2,2,0,24
2528393,20160403,Sun 4/3,BOS,100-107,L,4,2,0.5,0,0,0.0,2,0,0.0,4,3,1,1,0,1,0,19
2528393,20160330,Wed 3/30,MIA,102-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2528393,20160328,Mon 3/28,UTAH,75-123,L,4,1,0.25,0,0,0.0,2,1,0.5,3,5,0,1,1,1,0,12
2528393,20160327,Sun 3/27,WSH,88-101,L,3,1,0.333,0,0,0.0,0,0,0.0,2,1,0,0,0,1,0,9
2528393,20160325,Fri 3/25,DEN,105-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2528393,20160323,Wed 3/23,PHX,107-119,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2528393,20160322,Tue 3/22,MEM,107-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,5,3,0,1,3,2,14
2528393,20160318,Fri 3/18,PHX,90-95,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,1,0,5
2528393,20160315,Tue 3/15,SAC,98-106,L,3,3,1.0,0,0,0.0,0,0,0.0,6,3,1,2,0,4,1,12
