ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6619,20150415,Wed 4/15,CHA,92-87,W,15,5,0.333,13,3,0.231,0,0,0.0,13,2,3,0,0,1,0,33
6619,20150414,Tue 4/14,BOS,93-95,L,13,5,0.385,6,2,0.333,0,0,0.0,12,3,0,2,2,1,2,28
6619,20150411,Sat 4/11,MIA,107-104,W,10,4,0.4,3,1,0.333,0,0,0.0,9,5,0,1,0,2,0,17
6619,20150410,Fri 4/10,ORL,101-99,W,8,3,0.375,5,1,0.2,0,0,0.0,7,2,1,0,1,0,2,21
6619,20150408,Wed 4/8,CHA,92-74,W,7,3,0.429,5,3,0.6,0,0,0.0,9,1,2,0,2,2,1,23
6619,20150404,Sat 4/4,BOS,116-117,L,3,1,0.333,3,1,0.333,2,1,0.5,4,7,1,0,0,0,0,30
6619,20150403,Fri 4/3,BKN,109-114,L,6,2,0.333,3,0,0.0,0,0,0.0,4,0,2,0,0,4,3,21
6619,20150401,Wed 4/1,MIN,113-99,W,11,6,0.545,5,2,0.4,2,2,1.0,16,2,1,0,0,1,0,28
6619,20150330,Mon 3/30,HOU,99-96,W,6,2,0.333,2,1,0.5,0,0,0.0,5,1,1,0,1,4,1,23
6619,20150327,Fri 3/27,LAL,94-83,W,8,4,0.5,4,2,0.5,0,0,0.0,10,1,1,1,2,0,0,22
6619,20150325,Wed 3/25,CHI,103-116,L,11,7,0.636,4,2,0.5,0,0,0.0,16,0,1,0,1,2,0,36
6619,20150324,Tue 3/24,DET,104-108,L,11,4,0.364,5,1,0.2,0,0,0.0,9,2,1,0,0,3,0,30
6619,20150322,Sun 3/22,NY,106-89,W,7,4,0.571,1,1,1.0,3,2,0.667,11,3,0,0,1,2,0,31
6619,20150320,Fri 3/20,CHI,92-108,L,13,4,0.308,6,1,0.167,0,0,0.0,9,1,2,0,1,1,0,32
6619,20150318,Wed 3/18,MIN,105-100,W,9,6,0.667,5,3,0.6,0,0,0.0,15,0,1,0,0,1,1,29
6619,20150316,Mon 3/16,IND,117-98,W,6,3,0.5,4,3,0.75,0,0,0.0,9,1,0,0,0,3,1,21
6619,20150315,Sun 3/15,POR,97-113,L,6,1,0.167,3,1,0.333,0,0,0.0,3,1,1,0,0,3,1,25
6619,20150313,Fri 3/13,MIA,102-92,W,8,3,0.375,7,3,0.429,0,0,0.0,9,2,0,1,0,2,0,20
6619,20150310,Tue 3/10,SA,107-117,L,9,2,0.222,6,1,0.167,0,0,0.0,5,2,0,1,1,0,2,25
6619,20150308,Sun 3/8,OKC,104-108,L,12,7,0.583,9,6,0.667,0,0,0.0,20,4,2,1,2,3,0,26
6619,20150306,Fri 3/6,CHA,94-103,L,10,3,0.3,7,2,0.286,0,0,0.0,8,3,7,0,2,1,0,32
6619,20150304,Wed 3/4,CLE,112-120,L,9,5,0.556,5,2,0.4,0,0,0.0,12,3,1,0,1,1,1,26
6619,20150302,Mon 3/2,PHI,114-103,W,10,4,0.4,7,4,0.571,0,0,0.0,12,1,2,0,0,0,1,29
6619,20150228,Sat 2/28,NY,98-103,L,2,0,0.0,1,0,0.0,0,0,0.0,0,2,0,0,0,1,1,16
6619,20150227,Fri 2/27,GS,89-113,L,14,7,0.5,8,3,0.375,2,1,0.5,18,2,1,0,1,1,1,24
6619,20150224,Tue 2/24,DAL,92-99,L,3,1,0.333,2,1,0.5,0,0,0.0,3,1,1,1,2,1,1,16
