ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3028,20160413,Wed 4/13,WSH,98-109,L,6,0,0.0,2,0,0.0,2,0,0.0,0,7,2,0,2,1,1,24
3028,20160411,Mon 4/11,CLE,94-109,L,1,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,2,1,0,15
3028,20160409,Sat 4/9,BOS,118-107,W,2,0,0.0,0,0,0.0,2,1,0.5,1,4,3,2,1,1,2,30
3028,20160407,Thu 4/7,TOR,95-87,W,6,4,0.667,2,1,0.5,2,1,0.5,10,2,1,0,0,2,0,29
3028,20160405,Tue 4/5,PHX,103-90,W,3,3,1.0,0,0,0.0,1,1,1.0,7,4,1,0,1,1,0,20
3028,20160401,Fri 4/1,CLE,108-110,L,3,2,0.667,1,0,0.0,0,0,0.0,4,1,1,0,0,3,3,15
3028,20160330,Wed 3/30,TOR,97-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,2,0,12
3028,20160328,Mon 3/28,CHI,102-100,W,0,0,0.0,0,0,0.0,2,2,1.0,2,2,0,0,0,1,0,23
3028,20160326,Sat 3/26,DET,112-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3028,20160325,Fri 3/25,MIL,101-90,W,8,4,0.5,5,2,0.4,0,0,0.0,10,7,3,0,1,2,0,24
3028,20160323,Wed 3/23,WSH,122-101,W,3,3,1.0,1,1,1.0,2,1,0.5,8,5,2,1,1,2,0,25
3028,20160321,Mon 3/21,WSH,102-117,L,3,2,0.667,1,1,1.0,0,0,0.0,5,8,3,2,0,1,1,29
3028,20160319,Sat 3/19,HOU,109-97,W,8,4,0.5,4,1,0.25,2,1,0.5,10,4,5,0,5,1,0,22
3028,20160317,Thu 3/17,DEN,116-98,W,7,5,0.714,3,2,0.667,2,2,1.0,14,3,2,0,1,3,1,25
3028,20160316,Wed 3/16,DET,118-114,W,7,2,0.286,5,1,0.2,5,4,0.8,9,6,0,0,1,4,1,28
3028,20160313,Sun 3/13,IND,104-75,W,5,4,0.8,2,2,1.0,2,2,1.0,12,5,2,1,1,1,0,16
3028,20160312,Sat 3/12,MEM,95-83,W,8,5,0.625,2,1,0.5,3,2,0.667,13,11,0,2,1,2,2,25
3028,20160310,Thu 3/10,TOR,96-104,L,3,1,0.333,0,0,0.0,2,1,0.5,3,4,0,0,0,2,1,20
3028,20160308,Tue 3/8,UTAH,91-84,W,3,0,0.0,0,0,0.0,2,1,0.5,1,8,1,1,1,1,3,24
3028,20160305,Sat 3/5,LAC,107-97,W,5,1,0.2,3,1,0.333,2,0,0.0,3,8,2,1,1,3,1,30
3028,20160304,Fri 3/4,LAL,106-77,W,3,2,0.667,1,1,1.0,0,0,0.0,5,2,1,2,0,1,1,21
3028,20160301,Tue 3/1,GS,105-109,L,1,1,1.0,0,0,0.0,0,0,0.0,2,3,1,0,0,1,1,19
3028,20160228,Sun 2/28,CHA,87-76,W,3,1,0.333,0,0,0.0,0,0,0.0,2,1,1,0,1,0,2,16
3028,20160226,Fri 2/26,CHI,103-88,W,6,4,0.667,1,0,0.0,0,0,0.0,8,4,0,0,1,2,1,19
3028,20160222,Mon 2/22,GS,92-102,L,5,2,0.4,3,2,0.667,0,0,0.0,6,4,0,0,0,0,2,24
3028,20160220,Sat 2/20,MIL,109-117,L,11,3,0.273,4,1,0.25,3,1,0.333,8,6,3,0,2,5,0,34
3028,20160219,Fri 2/19,MIA,111-115,L,5,2,0.4,2,0,0.0,0,0,0.0,4,5,2,0,1,0,0,22
3028,20160210,Wed 2/10,CHI,113-90,W,6,4,0.667,2,1,0.5,1,1,1.0,10,2,1,1,1,1,0,19
3028,20160208,Mon 2/8,ORL,110-117,L,1,1,1.0,0,0,0.0,0,0,0.0,2,5,0,0,1,0,2,23
3028,20160207,Sun 2/7,ORL,94-96,L,5,2,0.4,3,2,0.667,2,0,0.0,6,4,1,1,0,0,1,18
3028,20160205,Fri 2/5,IND,102-96,W,2,0,0.0,0,0,0.0,0,0,0.0,0,5,0,0,0,0,0,23
3028,20160203,Wed 2/3,PHI,124-86,W,7,5,0.714,1,1,1.0,2,1,0.5,12,6,2,1,2,1,2,21
3028,20160201,Mon 2/1,DAL,112-97,W,5,3,0.6,1,0,0.0,0,0,0.0,6,4,3,0,0,1,0,17
3028,20160131,Sun 1/31,MIA,87-105,L,2,1,0.5,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,19
3028,20160128,Thu 1/28,IND,92-111,L,7,4,0.571,2,1,0.5,5,4,0.8,13,3,1,1,2,1,1,27
3028,20160127,Wed 1/27,LAC,83-85,L,6,1,0.167,2,0,0.0,0,0,0.0,2,4,0,0,1,3,3,24
3028,20160125,Mon 1/25,DEN,119-105,W,3,2,0.667,0,0,0.0,2,2,1.0,6,5,2,0,1,1,0,23
3028,20160123,Sat 1/23,PHX,95-98,L,9,1,0.111,3,0,0.0,6,6,1.0,8,7,1,0,3,0,0,28
3028,20160121,Thu 1/21,SAC,88-91,L,6,3,0.5,2,0,0.0,2,2,1.0,8,2,2,0,1,1,1,27
