ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3244,20120426,Thu 4/26,DET,86-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3244,20120425,Wed 4/25,MIL,90-85,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3244,20120423,Mon 4/23,&nbsp;NJ,105-87,W,8,7,0.875,0,0,0.0,1,1,1.0,15,4,1,0,0,1,0,25
3244,20120421,Sat 4/21,IND,109-106,W,7,4,0.571,0,0,0.0,8,7,0.875,15,8,1,2,1,3,3,29
3244,20120418,Wed 4/18,CLE,103-87,W,10,6,0.6,0,0,0.0,0,0,0.0,12,2,3,0,2,1,0,22
3244,20120417,Tue 4/17,IND,97-102,L,10,7,0.7,1,1,1.0,4,4,1.0,19,6,0,0,0,1,1,25
3244,20120416,Mon 4/16,ORL,100-113,L,11,7,0.636,0,0,0.0,2,1,0.5,15,2,0,0,1,2,2,29
3244,20120413,Fri 4/13,&nbsp;NJ,89-95,L,12,6,0.5,0,0,0.0,2,1,0.5,13,7,0,0,0,2,4,26
3244,20120411,Wed 4/11,TOR,93-75,W,12,8,0.667,0,0,0.0,3,1,0.333,17,5,1,1,1,1,0,26
3244,20120410,Tue 4/10,&nbsp;NJ,107-88,W,15,8,0.533,0,0,0.0,4,3,0.75,19,8,1,2,0,3,2,29
3244,20120408,Sun 4/8,BOS,79-103,L,6,2,0.333,0,0,0.0,0,0,0.0,4,4,0,0,1,0,2,23
3244,20120407,Sat 4/7,ORL,82-88,L,16,8,0.5,0,0,0.0,5,4,0.8,20,7,1,0,1,2,0,30
3244,20120404,Wed 4/4,TOR,78-99,L,7,2,0.286,0,0,0.0,2,2,1.0,6,3,2,1,0,3,0,29
3244,20120403,Tue 4/3,MIA,93-99,L,10,4,0.4,0,0,0.0,0,0,0.0,8,7,1,0,1,3,0,32
3244,20120331,Sat 3/31,ATL,95-90,W,6,2,0.333,0,0,0.0,0,0,0.0,4,0,1,0,0,2,0,21
3244,20120330,Fri 3/30,WSH,76-97,L,10,4,0.4,0,0,0.0,6,6,1.0,14,5,0,0,0,0,1,24
3244,20120327,Tue 3/27,CLE,103-85,W,7,3,0.429,0,0,0.0,0,0,0.0,6,6,0,1,1,2,2,27
3244,20120325,Sun 3/25,SA,76-93,L,8,3,0.375,0,0,0.0,2,0,0.0,6,3,2,0,0,3,3,25
3244,20120323,Fri 3/23,BOS,99-86,W,13,6,0.462,0,0,0.0,0,0,0.0,12,9,2,1,0,2,1,30
3244,20120321,Wed 3/21,NY,79-82,L,6,2,0.333,0,0,0.0,4,3,0.75,7,3,1,0,2,1,0,27
3244,20120319,Mon 3/19,&nbsp;CHA,105-80,W,12,10,0.833,0,0,0.0,0,0,0.0,20,6,2,2,1,2,0,28
3244,20120317,Sat 3/17,CHI,80-89,L,8,4,0.5,0,0,0.0,0,0,0.0,8,7,1,0,1,2,1,27
3244,20120316,Fri 3/16,MIA,78-84,L,10,4,0.4,0,0,0.0,0,0,0.0,8,8,3,3,1,1,2,31
3244,20120314,Wed 3/14,IND,94-111,L,13,5,0.385,0,0,0.0,2,2,1.0,12,3,2,2,1,0,1,29
3244,20120311,Sun 3/11,NY,106-94,W,9,6,0.667,0,0,0.0,2,2,1.0,14,2,1,1,4,2,1,35
3244,20120309,Fri 3/9,UTAH,104-91,W,17,8,0.471,0,0,0.0,8,5,0.625,21,6,1,0,1,0,0,33
3244,20120307,Wed 3/7,BOS,103-71,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3244,20120305,Mon 3/5,MIL,93-97,L,15,6,0.4,0,0,0.0,2,2,1.0,14,13,1,1,2,4,2,36
3244,20120304,Sun 3/4,CHI,91-96,L,13,6,0.462,0,0,0.0,7,5,0.714,17,9,1,0,0,2,0,28
3244,20120302,Fri 3/2,GS,105-83,W,13,6,0.462,0,0,0.0,4,4,1.0,16,7,2,0,0,2,1,28
3244,20120229,Wed 2/29,OKC,88-92,L,15,8,0.533,0,0,0.0,0,0,0.0,16,9,1,2,0,2,1,29
3244,20120228,Tue 2/28,DET,97-68,W,17,9,0.529,0,0,0.0,2,2,1.0,20,8,0,2,2,2,1,29
3244,20120222,Wed 2/22,HOU,87-93,L,13,6,0.462,0,0,0.0,5,3,0.6,15,4,2,1,0,6,3,32
3244,20120221,Tue 2/21,MEM,76-89,L,11,3,0.273,0,0,0.0,2,2,1.0,8,7,1,2,1,3,0,32
3244,20120219,Sun 2/19,MIN,91-92,L,12,5,0.417,0,0,0.0,0,0,0.0,10,5,1,1,1,2,1,26
3244,20120217,Fri 2/17,DAL,75-82,L,13,6,0.462,0,0,0.0,2,2,1.0,14,5,2,0,0,6,0,26
3244,20120215,Wed 2/15,ORL,87-103,L,13,6,0.462,0,0,0.0,0,0,0.0,12,4,3,1,1,3,1,35
3244,20120213,Mon 2/13,&nbsp;CHA,98-89,W,9,6,0.667,0,0,0.0,9,8,0.889,20,6,0,0,0,0,0,34
3244,20120211,Sat 2/11,CLE,99-84,W,11,7,0.636,0,0,0.0,2,2,1.0,16,6,2,1,1,2,1,32
3244,20120210,Fri 2/10,LAC,77-78,L,9,4,0.444,0,0,0.0,2,2,1.0,10,3,0,0,1,0,0,26
3244,20120208,Wed 2/8,SA,90-100,L,11,8,0.727,0,0,0.0,0,0,0.0,16,7,4,1,0,1,0,31
3244,20120206,Mon 2/6,LAL,95-90,W,10,4,0.4,0,0,0.0,2,1,0.5,9,2,1,0,2,2,0,24
3244,20120204,Sat 2/4,ATL,98-87,W,12,6,0.5,0,0,0.0,3,2,0.667,14,5,3,1,1,4,0,32
3244,20120203,Fri 2/3,MIA,79-99,L,14,7,0.5,0,0,0.0,4,2,0.5,16,5,0,1,2,1,0,26
3244,20120201,Wed 2/1,CHI,98-82,W,12,7,0.583,0,0,0.0,6,5,0.833,19,8,1,1,1,0,0,27
3244,20120130,Mon 1/30,ORL,74-69,W,13,5,0.385,0,0,0.0,0,0,0.0,10,3,2,0,2,1,0,31
3244,20120128,Sat 1/28,DET,95-74,W,11,4,0.364,0,0,0.0,0,0,0.0,8,2,2,0,2,4,0,18
3244,20120127,Fri 1/27,&nbsp;CHA,89-72,W,7,5,0.714,0,0,0.0,0,0,0.0,10,4,0,0,0,0,0,24
3244,20120125,Wed 1/25,&nbsp;NJ,90-97,L,9,5,0.556,1,0,0.0,0,0,0.0,10,5,2,0,2,1,2,27
3244,20120123,Mon 1/23,WSH,103-83,W,10,5,0.5,0,0,0.0,7,4,0.571,14,7,4,1,0,1,0,26
3244,20120121,Sat 1/21,MIA,92-113,L,7,3,0.429,0,0,0.0,0,0,0.0,6,0,0,1,1,4,0,22
3244,20120120,Fri 1/20,ATL,90-76,W,11,8,0.727,0,0,0.0,4,4,1.0,20,3,0,0,1,0,2,23
3244,20120118,Wed 1/18,DEN,104-108,L,22,11,0.5,0,0,0.0,1,0,0.0,22,7,2,0,1,2,2,38
3244,20120116,Mon 1/16,MIL,94-82,W,8,1,0.125,0,0,0.0,0,0,0.0,2,4,0,1,2,3,2,27
3244,20120114,Sat 1/14,WSH,103-90,W,13,6,0.462,0,0,0.0,6,6,1.0,18,4,0,2,2,1,0,31
3244,20120113,Fri 1/13,WSH,120-89,W,4,3,0.75,0,0,0.0,2,2,1.0,8,1,2,0,1,4,0,25
3244,20120111,Wed 1/11,NY,79-85,L,16,6,0.375,1,0,0.0,0,0,0.0,12,4,0,1,2,6,1,30
3244,20120110,Tue 1/10,SAC,112-85,W,9,5,0.556,0,0,0.0,0,0,0.0,10,4,1,0,0,3,0,22
3244,20120109,Mon 1/9,IND,96-86,W,7,6,0.857,0,0,0.0,0,0,0.0,12,8,2,1,2,2,1,31
3244,20120107,Sat 1/7,TOR,97-62,W,8,5,0.625,0,0,0.0,4,2,0.5,12,4,1,2,3,1,0,25
3244,20120106,Fri 1/6,DET,96-73,W,11,7,0.636,0,0,0.0,2,1,0.5,15,7,0,1,1,1,0,27
3244,20120104,Wed 1/4,&nbsp;NO,101-93,W,12,5,0.417,1,0,0.0,0,0,0.0,10,4,3,0,2,2,1,29
3244,20121231,Sat 12/31,GS,107-79,W,12,7,0.583,0,0,0.0,5,4,0.8,18,6,1,0,2,3,2,30
3244,20121230,Fri 12/30,UTAH,99-102,L,8,3,0.375,0,0,0.0,4,3,0.75,9,1,0,0,1,3,1,19
3244,20121228,Wed 12/28,PHX,103-83,W,14,7,0.5,0,0,0.0,1,1,1.0,15,5,0,0,0,1,0,26
3244,20121226,Mon 12/26,POR,103-107,L,9,5,0.556,0,0,0.0,1,0,0.0,10,8,0,0,2,3,4,29
