ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
215,20060419,Wed 4/19,HOU,89-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
215,20060417,Mon 4/17,UTAH,115-82,W,13,7,0.538,0,0,0.0,3,2,0.667,16,5,1,1,1,1,0,22
215,20060416,Sun 4/16,MIN,103-90,W,6,3,0.5,1,1,1.0,4,3,0.75,10,8,1,2,0,1,3,20
215,20060413,Thu 4/13,ORL,80-92,L,19,12,0.632,0,0,0.0,10,7,0.7,31,13,6,2,2,3,5,38
215,20060411,Tue 4/11,&nbsp;SEA,104-95,W,18,6,0.333,0,0,0.0,12,6,0.5,18,14,1,5,3,3,3,35
215,20060409,Sun 4/9,MEM,83-81,W,14,8,0.571,0,0,0.0,12,7,0.583,23,12,5,3,2,3,4,38
215,20060407,Fri 4/7,DAL,86-92,L,15,5,0.333,0,0,0.0,6,3,0.5,13,9,3,2,0,3,2,38
215,20060405,Wed 4/5,SAC,87-97,L,9,3,0.333,0,0,0.0,6,5,0.833,11,6,1,3,2,3,3,31
215,20060404,Tue 4/4,UTAH,95-86,W,10,3,0.3,0,0,0.0,8,5,0.625,11,13,3,5,0,1,1,35
215,20060401,Sat 4/1,WSH,106-99,W,12,6,0.5,0,0,0.0,7,4,0.571,16,14,3,2,1,5,2,32
215,20060330,Thu 3/30,LAL,96-85,W,18,9,0.5,0,0,0.0,4,2,0.5,20,13,4,3,0,3,1,36
215,20060328,Tue 3/28,LAC,98-87,W,17,9,0.529,0,0,0.0,5,2,0.4,20,13,4,3,0,4,2,37
215,20060326,Sun 3/26,&nbsp;SEA,102-106,L,13,8,0.615,0,0,0.0,14,12,0.857,28,10,0,0,2,2,1,35
215,20060324,Fri 3/24,POR,98-79,W,7,3,0.429,0,0,0.0,2,0,0.0,6,7,6,2,1,4,4,29
215,20060322,Wed 3/22,DEN,92-104,L,18,8,0.444,0,0,0.0,14,6,0.429,22,6,0,1,1,1,2,39
215,20060321,Tue 3/21,GS,107-96,W,18,10,0.556,0,0,0.0,1,1,1.0,21,13,3,1,1,2,1,35
215,20060318,Sat 3/18,HOU,92-77,W,9,5,0.556,0,0,0.0,7,4,0.571,14,8,4,1,0,3,2,31
215,20060317,Fri 3/17,PHX,108-102,W,17,9,0.529,0,0,0.0,7,2,0.286,20,13,7,1,1,3,4,36
215,20060314,Tue 3/14,&nbsp;NO,96-81,W,9,6,0.667,0,0,0.0,6,5,0.833,17,8,4,2,0,3,5,32
215,20060312,Sun 3/12,HOU,88-81,W,20,9,0.45,0,0,0.0,3,2,0.667,20,10,4,0,1,1,5,39
215,20060310,Fri 3/10,LAL,92-100,L,12,5,0.417,0,0,0.0,5,2,0.4,12,4,2,0,1,0,3,32
215,20060309,Thu 3/9,PHX,117-93,W,11,8,0.727,0,0,0.0,0,0,0.0,16,5,5,2,2,3,0,30
215,20060307,Tue 3/7,LAC,85-98,L,14,6,0.429,0,0,0.0,4,4,1.0,16,7,7,1,0,5,4,29
215,20060306,Mon 3/6,LAL,103-96,W,16,8,0.5,0,0,0.0,2,2,1.0,18,7,9,1,2,1,0,32
215,20060304,Sat 3/4,POR,101-81,W,16,10,0.625,0,0,0.0,5,2,0.4,22,15,2,3,2,3,1,36
215,20060302,Thu 3/2,DAL,98-89,W,11,4,0.364,0,0,0.0,10,7,0.7,15,6,2,2,0,3,2,38
215,20060227,Mon 2/27,NY,121-93,W,9,4,0.444,0,0,0.0,9,4,0.444,12,7,4,3,1,3,1,26
215,20060225,Sat 2/25,GS,92-75,W,17,4,0.235,0,0,0.0,2,1,0.5,9,16,4,4,1,5,5,33
215,20060224,Fri 2/24,MEM,83-80,W,16,7,0.438,0,0,0.0,11,5,0.455,19,16,1,3,2,6,3,36
215,20060221,Tue 2/21,&nbsp;SEA,103-78,W,11,5,0.455,0,0,0.0,8,3,0.375,13,16,5,1,1,2,1,33
215,20060215,Wed 2/15,PHI,100-103,L,15,7,0.467,0,0,0.0,9,5,0.556,19,15,3,2,1,5,6,41
215,20060213,Mon 2/13,CLE,87-101,L,14,7,0.5,0,0,0.0,7,5,0.714,19,10,5,1,1,1,1,37
215,20060212,Sun 2/12,IND,92-88,W,15,4,0.267,0,0,0.0,6,2,0.333,10,11,0,2,1,3,2,35
215,20060210,Fri 2/10,&nbsp;NJ,83-73,W,14,6,0.429,0,0,0.0,0,0,0.0,12,7,6,3,2,1,0,34
215,20060208,Wed 2/8,TOR,125-118,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
215,20060202,Thu 2/2,GS,89-86,W,16,6,0.375,0,0,0.0,5,4,0.8,16,11,1,1,1,4,2,38
215,20060201,Wed 2/1,POR,86-82,W,13,4,0.308,0,0,0.0,6,6,1.0,14,17,2,4,1,2,2,38
215,20060130,Mon 1/30,UTAH,79-70,W,13,6,0.462,0,0,0.0,10,7,0.7,19,8,3,0,0,3,3,34
215,20060128,Sat 1/28,MIN,102-88,W,24,11,0.458,0,0,0.0,11,6,0.545,28,16,1,2,1,2,2,37
215,20060125,Wed 1/25,&nbsp;NO,84-68,W,16,7,0.438,0,0,0.0,4,3,0.75,17,5,2,1,0,2,0,31
215,20060124,Tue 1/24,&nbsp;CHA,104-76,W,8,5,0.625,0,0,0.0,4,4,1.0,14,9,5,1,2,0,2,25
215,20060122,Sun 1/22,DEN,85-89,L,11,5,0.455,0,0,0.0,7,4,0.571,14,13,4,1,1,3,6,38
215,20060120,Fri 1/20,MIA,101-94,W,10,5,0.5,0,0,0.0,12,4,0.333,14,11,1,0,0,4,3,38
215,20060118,Wed 1/18,MIL,95-92,W,19,9,0.474,0,0,0.0,12,9,0.75,27,9,1,1,0,1,2,39
215,20060116,Mon 1/16,MEM,93-83,W,10,5,0.5,0,0,0.0,4,3,0.75,13,12,3,1,0,5,2,33
215,20060114,Sat 1/14,MEM,80-79,W,16,8,0.5,0,0,0.0,6,3,0.5,19,13,2,4,2,2,3,38
215,20060112,Thu 1/12,DET,68-83,L,17,7,0.412,0,0,0.0,10,3,0.3,17,13,1,1,0,1,0,39
215,20060110,Tue 1/10,&nbsp;NJ,96-91,W,16,7,0.438,0,0,0.0,15,13,0.867,27,12,3,1,0,3,6,39
215,20060107,Sat 1/7,PHX,86-91,L,11,6,0.545,0,0,0.0,10,7,0.7,19,12,1,2,1,3,4,40
215,20060106,Fri 1/6,MIN,83-77,W,19,5,0.263,1,0,0.0,4,2,0.5,12,14,2,1,2,3,3,39
215,20060104,Wed 1/4,POR,106-75,W,15,6,0.4,0,0,0.0,7,6,0.857,18,13,4,4,0,4,2,29
215,20061231,Sat 12/31,DEN,98-88,W,16,8,0.5,0,0,0.0,9,9,1.0,25,10,2,1,1,4,0,35
215,20061229,Thu 12/29,&nbsp;NO,111-84,W,9,7,0.778,0,0,0.0,4,3,0.75,17,7,4,4,0,3,1,28
215,20061227,Tue 12/27,IND,99-86,W,15,11,0.733,0,0,0.0,8,4,0.5,26,9,2,1,0,3,4,38
215,20061225,Sun 12/25,DET,70-85,L,20,9,0.45,0,0,0.0,3,0,0.0,18,11,1,1,2,3,2,39
215,20061223,Fri 12/23,TOR,95-90,W,16,12,0.75,0,0,0.0,8,3,0.375,27,10,8,1,0,3,3,38
215,20061221,Wed 12/21,NY,109-96,W,9,4,0.444,0,0,0.0,6,5,0.833,13,4,4,0,0,2,2,22
215,20061220,Tue 12/20,MIL,107-109,L,28,15,0.536,0,0,0.0,6,4,0.667,34,13,2,1,2,6,2,42
215,20061218,Sun 12/18,&nbsp;NO,76-89,L,12,4,0.333,0,0,0.0,4,3,0.75,11,8,2,2,0,2,4,34
215,20061217,Sat 12/17,SAC,90-89,W,24,10,0.417,0,0,0.0,6,4,0.667,24,14,1,4,2,2,5,37
215,20061215,Thu 12/15,MIN,90-88,W,15,5,0.333,0,0,0.0,7,3,0.429,13,9,6,0,1,5,2,38
215,20061213,Tue 12/13,LAC,95-87,W,25,12,0.48,0,0,0.0,13,3,0.231,27,22,5,1,1,5,1,45
215,20061210,Sat 12/10,ATL,84-94,L,14,5,0.357,0,0,0.0,7,2,0.286,12,10,3,1,1,2,1,37
215,20061209,Fri 12/9,BOS,101-89,W,11,7,0.636,0,0,0.0,8,6,0.75,20,11,3,5,2,1,3,37
215,20061207,Wed 12/7,MIA,98-84,W,18,11,0.611,0,0,0.0,9,6,0.667,28,16,3,4,3,4,3,37
215,20061205,Mon 12/5,ORL,110-85,W,17,9,0.529,0,0,0.0,9,8,0.889,26,12,4,5,1,3,2,35
215,20061203,Sat 12/3,PHI,100-91,W,14,7,0.5,0,0,0.0,4,2,0.5,16,12,5,3,0,1,1,36
215,20061201,Thu 12/1,DAL,92-90,W,12,4,0.333,0,0,0.0,8,5,0.625,13,14,2,1,0,1,2,38
215,20061129,Tue 11/29,LAL,90-84,W,13,6,0.462,0,0,0.0,7,4,0.571,16,9,5,0,0,2,5,37
215,20061125,Fri 11/25,CHI,99-106,L,14,8,0.571,0,0,0.0,10,8,0.8,24,11,4,4,0,4,3,37
215,20061123,Wed 11/23,GS,113-89,W,12,8,0.667,0,0,0.0,4,3,0.75,19,12,1,1,0,3,2,26
215,20061121,Mon 11/21,SAC,96-93,W,16,9,0.563,0,0,0.0,4,4,1.0,22,19,4,4,1,5,4,36
215,20061119,Sat 11/19,PHX,97-91,W,19,8,0.421,0,0,0.0,11,8,0.727,24,13,2,3,3,2,4,37
215,20061117,Thu 11/17,HOU,86-80,W,19,9,0.474,1,0,0.0,2,1,0.5,19,9,4,2,0,3,1,36
215,20061115,Tue 11/15,ATL,103-79,W,14,11,0.786,0,0,0.0,2,1,0.5,23,7,3,1,0,2,2,30
215,20061112,Sat 11/12,WSH,95-110,L,18,3,0.167,0,0,0.0,8,5,0.625,11,14,2,0,0,2,2,34
215,20061111,Fri 11/11,BOS,103-82,W,17,11,0.647,2,1,0.5,6,6,1.0,29,12,3,2,1,2,1,31
215,20061109,Wed 11/9,&nbsp;CHA,94-86,W,20,11,0.55,0,0,0.0,8,7,0.875,29,10,0,1,0,1,5,36
215,20061107,Mon 11/7,CHI,104-95,W,15,9,0.6,0,0,0.0,6,6,1.0,24,16,4,6,1,2,3,42
215,20061105,Sat 11/5,DAL,84-103,L,12,7,0.583,0,0,0.0,5,4,0.8,18,12,5,6,0,3,3,38
215,20061104,Fri 11/4,CLE,102-76,W,17,10,0.588,0,0,0.0,1,1,1.0,21,10,2,1,1,4,2,28
215,20061101,Tue 11/1,DEN,102-91,W,17,8,0.471,0,0,0.0,4,3,0.75,19,10,6,4,1,2,2,38
