ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2488945,20160413,Wed 4/13,MIN,109-144,L,15,3,0.2,2,0,0.0,0,0,0.0,6,4,15,0,1,4,3,36
2488945,20160411,Mon 4/11,CHI,116-121,L,15,6,0.4,3,1,0.333,9,7,0.778,20,6,11,0,3,5,2,33
2488945,20160409,Sat 4/9,PHX,100-121,L,14,5,0.357,3,1,0.333,2,0,0.0,11,8,7,0,1,2,1,31
2488945,20160408,Fri 4/8,LAL,110-102,W,7,3,0.429,2,1,0.5,2,0,0.0,7,3,12,0,1,3,3,26
2488945,20160406,Wed 4/6,BOS,97-104,L,14,7,0.5,2,1,0.5,3,3,1.0,18,5,6,1,2,3,4,34
2488945,20160405,Tue 4/5,PHI,93-107,L,12,4,0.333,2,0,0.0,4,4,1.0,12,6,9,0,3,2,1,36
2488945,20160403,Sun 4/3,BKN,106-87,W,11,7,0.636,3,2,0.667,4,3,0.75,19,2,13,0,3,3,0,37
2488945,20160331,Thu 3/31,DEN,101-95,W,12,6,0.5,5,3,0.6,2,2,1.0,17,5,8,0,0,3,2,29
2488945,20160330,Wed 3/30,SA,92-100,L,8,4,0.5,0,0,0.0,4,3,0.75,11,3,7,0,2,2,3,25
2488945,20160328,Mon 3/28,NY,99-91,W,7,1,0.143,1,0,0.0,6,2,0.333,4,6,2,0,2,1,1,23
2488945,20160326,Sat 3/26,TOR,91-115,L,9,5,0.556,1,0,0.0,2,2,1.0,12,3,6,0,0,1,2,29
2488945,20160324,Thu 3/24,IND,84-92,L,11,7,0.636,1,1,1.0,3,3,1.0,18,5,5,0,0,2,6,29
2488945,20160322,Tue 3/22,MIA,99-113,L,10,3,0.3,2,1,0.5,4,4,1.0,11,2,4,0,0,2,1,28
2488945,20160320,Sun 3/20,LAC,109-105,W,8,5,0.625,1,1,1.0,7,6,0.857,17,7,2,0,4,5,5,20
2488945,20160318,Fri 3/18,POR,112-117,L,6,4,0.667,1,1,1.0,5,4,0.8,13,3,4,0,0,2,4,27
2488945,20160316,Wed 3/16,SAC,123-108,W,10,6,0.6,2,0,0.0,2,2,1.0,14,3,9,0,1,2,0,27
2488945,20160210,Wed 2/10,HOU,116-103,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
2488945,20160208,Mon 2/8,MEM,112-106,W,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2
2488945,20160206,Sat 2/6,HOU,96-79,W,2,1,0.5,0,0,0.0,2,0,0.0,2,2,1,0,0,1,1,15
2488945,20160204,Thu 2/4,TOR,103-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20160202,Tue 2/2,MIL,107-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2
2488945,20160131,Sun 1/31,MIN,96-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20160129,Fri 1/29,CHA,109-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20160126,Tue 1/26,SAC,112-97,W,1,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,3
2488945,20160123,Sat 1/23,LAL,121-103,W,1,0,0.0,0,0,0.0,2,1,0.5,1,1,1,0,0,0,0,4
2488945,20160120,Wed 1/20,ATL,98-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20160118,Mon 1/18,WSH,108-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2
2488945,20160116,Sat 1/16,PHI,89-114,L,3,1,0.333,2,0,0.0,2,1,0.5,3,1,5,0,1,2,0,12
2488945,20160115,Fri 1/15,BKN,116-104,W,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
2488945,20160113,Wed 1/13,UTAH,99-85,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,1,0,3
2488945,20160110,Sun 1/10,OKC,115-110,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20160108,Fri 1/8,GS,108-128,L,1,0,0.0,0,0,0.0,0,0,0.0,0,0,2,0,1,0,0,5
2488945,20160106,Wed 1/6,LAC,98-109,L,2,1,0.5,0,0,0.0,0,0,0.0,2,0,0,0,0,3,0,8
2488945,20160104,Mon 1/4,MEM,78-91,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1
2488945,20160103,Sun 1/3,DEN,112-106,W,4,3,0.75,1,1,1.0,0,0,0.0,7,5,2,0,0,0,2,15
2488945,20161231,Thu 12/31,UTAH,96-109,L,3,0,0.0,1,0,0.0,0,0,0.0,0,1,3,0,0,3,1,23
2488945,20161230,Wed 12/30,DEN,110-103,W,2,1,0.5,1,1,1.0,2,1,0.5,4,2,3,0,1,1,1,12
2488945,20161227,Sun 12/27,SAC,98-94,W,6,3,0.5,1,0,0.0,2,2,1.0,8,5,2,0,1,2,3,25
2488945,20161226,Sat 12/26,CLE,105-76,W,4,1,0.25,1,0,0.0,0,0,0.0,2,3,4,0,1,0,3,18
2488945,20161223,Wed 12/23,NO,89-115,L,5,0,0.0,2,0,0.0,2,1,0.5,1,3,1,0,1,2,1,18
2488945,20161221,Mon 12/21,ATL,97-106,L,15,5,0.333,4,0,0.0,3,2,0.667,12,7,7,1,2,5,5,48
2488945,20161220,Sun 12/20,MIA,109-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161218,Fri 12/18,ORL,94-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161216,Wed 12/16,OKC,90-106,L,3,2,0.667,1,1,1.0,0,0,0.0,5,0,1,0,0,2,2,11
2488945,20161214,Mon 12/14,NO,105-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,1,1,4
2488945,20161212,Sat 12/12,NY,110-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161211,Fri 12/11,PHX,106-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161208,Tue 12/8,CLE,100-105,L,1,0,0.0,1,0,0.0,0,0,0.0,0,0,1,0,0,0,1,5
2488945,20161207,Mon 12/7,MIL,88-90,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161205,Sat 12/5,MIN,109-103,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161203,Thu 12/3,IND,123-111,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161201,Tue 12/1,DAL,112-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161130,Mon 11/30,LAC,87-102,L,2,1,0.5,1,0,0.0,0,0,0.0,2,4,2,0,0,3,3,9
2488945,20161128,Sat 11/28,LAL,108-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
2488945,20161124,Tue 11/24,CHI,88-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161122,Sun 11/22,LAL,107-93,W,1,1,1.0,0,0,0.0,0,0,0.0,2,0,0,0,0,2,0,5
2488945,20161120,Fri 11/20,LAC,102-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161118,Wed 11/18,HOU,103-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,1,3,0,1,0,1,6
2488945,20161116,Mon 11/16,SA,80-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161115,Sun 11/15,CHA,94-106,L,1,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,1
2488945,20161113,Fri 11/13,MEM,100-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161111,Wed 11/11,SA,101-113,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
2488945,20161109,Mon 11/9,DEN,104-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161108,Sun 11/8,DET,103-120,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161105,Thu 11/5,MEM,115-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,4
2488945,20161104,Wed 11/4,UTAH,108-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161102,Mon 11/2,MIN,106-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161031,Sat 10/31,PHX,90-101,L,1,0,0.0,0,0,0.0,0,0,0.0,0,2,0,0,0,1,1,5
2488945,20161030,Fri 10/30,PHX,92-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,1,1,0,2
2488945,20161028,Wed 10/28,NO,112-94,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2488945,20161019,Mon 10/19,LAL,102-104,L,1,1,1.0,0,0,0.0,0,0,0.0,2,0,1,0,0,1,0,5
2488945,20161012,Mon 10/12,UTAH,88-81,W,3,1,0.333,1,1,1.0,2,2,1.0,5,2,1,0,0,2,1,15
2488945,20161008,Thu 10/8,GS,118-101,W,2,1,0.5,1,0,0.0,2,2,1.0,4,3,6,0,2,3,3,20
2488945,20161005,Mon 10/5,SAC,105-109,L,6,3,0.5,4,3,0.75,0,0,0.0,9,3,3,0,1,5,2,19
