ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2528210,20140416,Wed 4/16,TOR,95-92,W,15,6,0.4,5,3,0.6,4,3,0.75,18,2,2,0,0,1,1,35
2528210,20140415,Tue 4/15,BKN,109-98,W,10,5,0.5,5,4,0.8,2,2,1.0,16,0,0,0,0,4,0,36
2528210,20140413,Sun 4/13,CHI,100-89,W,12,5,0.417,7,2,0.286,8,8,1.0,20,1,0,0,3,2,0,27
2528210,20140411,Fri 4/11,TOR,108-100,W,5,2,0.4,3,0,0.0,0,0,0.0,4,1,1,0,0,1,1,12
2528210,20140406,Sun 4/6,MIA,91-102,L,7,0,0.0,4,0,0.0,0,0,0.0,0,1,0,0,0,3,0,12
2528210,20140404,Fri 4/4,WSH,89-90,L,6,2,0.333,3,1,0.333,0,0,0.0,5,0,1,0,0,1,1,21
2528210,20140402,Wed 4/2,BKN,110-81,W,10,7,0.7,5,3,0.6,0,0,0.0,17,1,0,0,0,1,0,28
2528210,20140331,Mon 3/31,UTAH,92-83,W,9,3,0.333,5,1,0.2,4,3,0.75,10,2,2,0,0,3,0,31
2528210,20140330,Sun 3/30,GS,89-84,W,12,6,0.5,7,3,0.429,0,0,0.0,15,2,1,0,1,0,0,28
2528210,20140328,Fri 3/28,PHX,88-112,L,11,2,0.182,7,1,0.143,0,0,0.0,5,1,1,0,1,2,0,21
2528210,20140326,Wed 3/26,SAC,107-99,W,3,2,0.667,1,0,0.0,2,2,1.0,6,1,0,0,2,2,0,17
2528210,20140325,Tue 3/25,LAL,96-127,L,7,5,0.714,3,2,0.667,7,5,0.714,17,1,3,0,1,5,1,24
2528210,20140323,Sun 3/23,CLE,100-106,L,12,5,0.417,4,1,0.25,1,1,1.0,12,2,0,0,0,1,0,27
2528210,20140321,Fri 3/21,PHI,93-92,W,11,3,0.273,5,0,0.0,1,0,0.0,6,1,2,0,2,3,0,27
2528210,20140319,Wed 3/19,IND,92-86,W,7,0,0.0,4,0,0.0,2,2,1.0,2,5,0,0,0,2,0,15
2528210,20140315,Sat 3/15,MIL,115-94,W,12,8,0.667,6,2,0.333,3,2,0.667,20,1,0,1,0,3,2,25
2528210,20140312,Wed 3/12,BOS,116-92,W,11,7,0.636,5,3,0.6,6,5,0.833,22,3,0,0,1,0,1,38
2528210,20140310,Mon 3/10,PHI,123-110,W,13,9,0.692,7,5,0.714,6,5,0.833,28,2,0,0,0,2,2,29
2528210,20140308,Sat 3/8,CLE,107-97,W,6,2,0.333,5,1,0.2,0,0,0.0,5,1,0,0,1,0,0,14
2528210,20140307,Fri 3/7,UTAH,108-81,W,11,2,0.182,6,1,0.167,0,0,0.0,5,0,3,0,3,3,0,25
2528210,20140305,Wed 3/5,MIN,118-106,W,10,4,0.4,6,3,0.5,0,0,0.0,11,1,0,0,0,4,0,27
2528210,20140303,Mon 3/3,DET,85-96,L,6,0,0.0,3,0,0.0,0,0,0.0,0,0,1,0,0,4,2,22
2528210,20140302,Sun 3/2,CHI,90-109,L,14,5,0.357,8,2,0.25,2,2,1.0,14,2,1,0,0,2,0,25
2528210,20140228,Fri 2/28,GS,103-126,L,11,6,0.545,7,4,0.571,6,6,1.0,22,2,0,0,2,3,1,40
2528210,20140227,Thu 2/27,MIA,82-108,L,15,2,0.133,8,0,0.0,2,2,1.0,6,3,0,0,0,4,1,34
2528210,20140224,Mon 2/24,DAL,108-110,L,10,4,0.4,8,2,0.25,0,0,0.0,10,2,0,0,0,3,1,31
2528210,20140222,Sat 2/22,ATL,98-107,L,10,3,0.3,5,1,0.2,0,0,0.0,7,0,1,0,0,6,1,30
2528210,20140221,Fri 2/21,ORL,121-129,L,16,6,0.375,6,3,0.5,0,0,0.0,15,4,0,0,0,5,1,45
2528210,20140219,Wed 2/19,NO,98-91,W,13,6,0.462,6,3,0.5,2,1,0.5,16,3,2,0,1,1,0,36
2528210,20140218,Tue 2/18,MEM,93-98,L,15,7,0.467,9,4,0.444,5,5,1.0,23,1,0,0,1,3,1,24
2528210,20140212,Wed 2/12,SAC,101-106,L,12,3,0.25,6,1,0.167,1,0,0.0,7,2,1,0,1,1,2,38
2528210,20140209,Sun 2/9,OKC,100-112,L,6,2,0.333,2,0,0.0,2,1,0.5,5,2,1,0,0,2,0,22
2528210,20140207,Fri 2/7,DEN,117-90,W,9,4,0.444,6,2,0.333,0,0,0.0,10,1,2,0,0,2,1,30
2528210,20140205,Wed 2/5,POR,90-94,L,13,5,0.385,7,1,0.143,2,1,0.5,12,5,0,0,0,1,1,27
2528210,20140203,Mon 2/3,MIL,98-101,L,10,2,0.2,6,1,0.167,2,2,1.0,7,1,2,0,1,1,0,28
2528210,20140201,Sat 2/1,MIA,91-106,L,14,7,0.5,7,3,0.429,0,0,0.0,17,1,1,0,1,3,1,37
2528210,20140130,Thu 1/30,CLE,117-86,W,17,11,0.647,12,6,0.5,1,1,1.0,29,3,1,0,0,3,1,30
2528210,20140128,Tue 1/28,BOS,114-88,W,10,5,0.5,4,2,0.5,4,4,1.0,16,2,2,0,1,3,1,33
2528210,20140126,Sun 1/26,LAL,110-103,W,12,7,0.583,5,4,0.8,1,0,0.0,18,4,0,0,1,1,1,26
2528210,20140124,Fri 1/24,&nbsp;CHA,125-96,W,8,4,0.5,6,2,0.333,0,0,0.0,10,1,3,0,1,2,0,31
