ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4298,20140416,Wed 4/16,GS,112-116,L,3,2,0.667,1,0,0.0,6,6,1.0,10,5,1,2,0,3,3,25
4298,20140415,Tue 4/15,LAC,105-117,L,10,6,0.6,0,0,0.0,7,6,0.857,18,11,2,1,0,2,1,32
4298,20140412,Sat 4/12,UTAH,101-94,W,11,4,0.364,2,0,0.0,6,3,0.5,11,10,2,0,1,5,0,33
4298,20140410,Thu 4/10,GS,100-99,W,15,10,0.667,2,0,0.0,4,3,0.75,23,29,3,3,1,3,2,43
4298,20140409,Wed 4/9,HOU,123-116,W,13,9,0.692,1,0,0.0,4,4,1.0,22,6,1,2,0,1,0,25
4298,20140406,Sun 4/6,HOU,125-130,L,9,6,0.667,1,1,1.0,4,2,0.5,15,7,0,1,2,1,4,27
4298,20140404,Fri 4/4,MEM,92-100,L,10,4,0.4,2,1,0.5,5,4,0.8,13,3,2,1,0,5,1,28
4298,20140402,Wed 4/2,NO,137-107,W,11,5,0.455,2,1,0.5,4,4,1.0,15,2,0,2,1,1,1,26
4298,20140331,Mon 3/31,MEM,92-94,L,15,9,0.6,1,0,0.0,7,5,0.714,23,10,1,1,0,5,2,32
4298,20140328,Fri 3/28,SA,102-133,L,8,3,0.375,0,0,0.0,2,1,0.5,7,8,0,1,1,2,4,21
4298,20140326,Wed 3/26,SA,103-108,L,9,6,0.667,2,1,0.5,2,1,0.5,14,11,0,2,1,1,3,30
4298,20140324,Mon 3/24,OKC,96-117,L,8,5,0.625,0,0,0.0,3,2,0.667,12,9,1,1,0,3,3,32
4298,20140323,Sun 3/23,WSH,105-102,W,7,2,0.286,1,0,0.0,2,1,0.5,5,6,0,1,0,3,3,24
4298,20140321,Fri 3/21,DAL,106-122,L,3,2,0.667,0,0,0.0,3,3,1.0,7,4,1,1,0,4,0,14
4298,20140319,Wed 3/19,DET,118-109,W,5,4,0.8,0,0,0.0,4,3,0.75,11,9,1,0,0,4,1,18
4298,20140317,Mon 3/17,LAC,110-100,W,10,4,0.4,0,0,0.0,7,7,1.0,15,9,1,0,0,1,0,19
4298,20140315,Sat 3/15,ATL,92-97,L,5,3,0.6,0,0,0.0,0,0,0.0,6,7,1,2,0,2,4,15
4298,20140314,Fri 3/14,MIA,111-107,W,3,1,0.333,1,0,0.0,2,2,1.0,4,6,1,1,0,1,1,16
4298,20140312,Wed 3/12,ORL,120-112,W,2,1,0.5,0,0,0.0,0,0,0.0,2,5,1,1,0,2,1,22
4298,20140310,Mon 3/10,&nbsp;CHA,98-105,L,8,4,0.5,0,0,0.0,2,1,0.5,9,6,1,2,2,1,1,20
4298,20140309,Sun 3/9,NO,107-111,L,8,4,0.5,0,0,0.0,2,2,1.0,10,5,0,1,1,2,3,20
4298,20140307,Fri 3/7,LAL,134-126,W,10,5,0.5,0,0,0.0,5,3,0.6,13,6,2,1,1,3,0,26
4298,20140305,Wed 3/5,DAL,115-110,W,5,0,0.0,0,0,0.0,4,3,0.75,3,10,1,1,0,1,1,21
4298,20140303,Mon 3/3,MIN,128-132,L,3,2,0.667,0,0,0.0,1,0,0.0,4,3,0,1,0,3,0,10
