ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6440,20130417,Wed 4/17,MIA,93-105,L,16,7,0.438,3,0,0.0,11,5,0.455,19,8,2,0,1,5,0,38
6440,20130415,Mon 4/15,CHI,84-102,L,17,8,0.471,2,0,0.0,7,4,0.571,20,4,4,1,1,1,1,40
6440,20130413,Sat 4/13,BOS,88-120,L,16,7,0.438,4,2,0.5,8,6,0.75,22,6,2,2,0,1,4,34
6440,20130410,Wed 4/10,MIL,113-103,W,20,13,0.65,4,3,0.75,3,1,0.333,30,19,5,0,0,4,2,45
6440,20130407,Sun 4/7,CLE,85-91,L,19,11,0.579,3,0,0.0,6,4,0.667,26,12,2,0,2,2,1,41
6440,20130405,Fri 4/5,CHI,86-87,L,17,5,0.294,1,0,0.0,2,2,1.0,12,11,3,2,1,3,2,45
6440,20130403,Wed 4/3,SA,84-98,L,19,5,0.263,6,1,0.167,0,0,0.0,11,7,5,3,1,2,4,41
6440,20130401,Mon 4/1,HOU,103-111,L,17,6,0.353,6,0,0.0,7,6,0.857,18,11,4,3,0,3,1,40
6440,20130330,Sat 3/30,ATL,88-97,L,18,5,0.278,4,1,0.25,0,0,0.0,11,10,1,0,2,4,2,40
6440,20130329,Fri 3/29,WSH,97-92,W,21,11,0.524,3,2,0.667,7,6,0.857,30,11,0,3,3,2,1,45
6440,20130327,Wed 3/27,&nbsp;CHA,108-114,L,20,10,0.5,5,2,0.4,8,7,0.875,29,9,6,3,1,3,1,45
6440,20130325,Mon 3/25,MIA,94-108,L,14,8,0.571,3,2,0.667,5,2,0.4,20,5,1,2,0,3,1,41
6440,20130322,Fri 3/22,OKC,89-97,L,17,3,0.176,2,0,0.0,4,4,1.0,10,15,3,1,0,6,3,43
6440,20130320,Wed 3/20,NY,94-106,L,10,7,0.7,1,0,0.0,0,0,0.0,14,5,0,0,0,3,5,31
6440,20130319,Tue 3/19,IND,73-95,L,13,3,0.231,4,0,0.0,2,0,0.0,6,9,2,2,0,4,1,32
