ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
1015,20120426,Thu 4/26,GS,107-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1015,20120425,Wed 4/25,PHX,110-106,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1015,20120423,Mon 4/23,POR,124-89,W,11,6,0.545,1,0,0.0,2,1,0.5,13,7,6,0,0,0,1,22
1015,20120422,Sun 4/22,CLE,114-98,W,5,3,0.6,1,0,0.0,0,0,0.0,6,2,9,1,0,2,1,21
1015,20120420,Fri 4/20,LAL,121-97,W,14,8,0.571,1,0,0.0,5,4,0.8,20,1,10,0,2,1,4,28
1015,20120418,Wed 4/18,SAC,127-102,W,11,4,0.364,1,0,0.0,9,7,0.778,15,5,8,0,0,1,0,25
1015,20120417,Tue 4/17,LAL,112-91,W,20,14,0.7,1,0,0.0,1,1,1.0,29,3,13,0,1,1,7,31
1015,20120416,Mon 4/16,GS,120-99,W,7,2,0.286,0,0,0.0,4,4,1.0,8,2,5,0,0,2,1,15
1015,20120414,Sat 4/14,PHX,105-91,W,10,6,0.6,0,0,0.0,2,2,1.0,14,4,5,0,0,0,0,21
1015,20120412,Thu 4/12,MEM,107-97,W,12,5,0.417,0,0,0.0,5,3,0.6,13,1,9,0,2,1,7,35
1015,20120411,Wed 4/11,LAL,84-98,L,12,2,0.167,0,0,0.0,0,0,0.0,4,2,8,0,1,0,0,27
1015,20120409,Mon 4/9,UTAH,84-91,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1015,20120408,Sun 4/8,UTAH,114-104,W,15,9,0.6,0,0,0.0,10,10,1.0,28,3,3,0,2,1,3,31
1015,20120406,Fri 4/6,&nbsp;NO,128-103,W,6,3,0.5,0,0,0.0,2,1,0.5,7,1,6,0,0,1,1,16
1015,20120404,Wed 4/4,BOS,87-86,W,14,5,0.357,2,0,0.0,0,0,0.0,10,1,2,0,1,1,2,32
1015,20120403,Tue 4/3,CLE,125-90,W,12,9,0.75,1,0,0.0,1,1,1.0,19,3,5,0,1,0,1,23
1015,20120331,Sat 3/31,IND,112-103,W,12,7,0.583,1,0,0.0,6,4,0.667,18,4,5,0,2,2,1,35
1015,20120328,Wed 3/28,SAC,117-112,W,11,4,0.364,1,1,1.0,2,1,0.5,10,7,10,0,2,1,3,31
1015,20120327,Tue 3/27,PHX,107-100,W,17,9,0.529,3,1,0.333,6,5,0.833,24,4,7,0,0,1,2,35
1015,20120325,Sun 3/25,PHI,93-76,W,17,9,0.529,2,0,0.0,3,3,1.0,21,1,7,0,0,3,5,32
1015,20120324,Sat 3/24,&nbsp;NO,89-86,W,16,6,0.375,3,0,0.0,0,0,0.0,12,2,10,0,1,1,0,39
1015,20120323,Fri 3/23,DAL,104-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1015,20120321,Wed 3/21,MIN,116-100,W,4,1,0.25,0,0,0.0,0,0,0.0,2,0,6,0,0,0,0,10
1015,20120317,Sat 3/17,DAL,99-106,L,12,5,0.417,1,0,0.0,7,3,0.429,13,2,11,0,0,0,1,35
1015,20120316,Fri 3/16,OKC,114-105,W,22,10,0.455,2,0,0.0,6,5,0.833,25,4,7,0,0,3,4,38
1015,20120314,Wed 3/14,ORL,122-111,W,21,12,0.571,4,2,0.5,5,5,1.0,31,2,12,0,0,1,3,37
1015,20120312,Mon 3/12,WSH,112-97,W,18,13,0.722,2,1,0.5,4,4,1.0,31,3,7,1,1,2,6,34
1015,20120309,Fri 3/9,LAC,108-120,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1015,20120307,Wed 3/7,NY,118-105,W,19,12,0.632,0,0,0.0,9,8,0.889,32,0,6,0,0,2,4,34
1015,20120304,Sun 3/4,DEN,94-99,L,16,10,0.625,1,1,1.0,7,4,0.571,25,3,7,0,2,1,3,37
1015,20120302,Fri 3/2,&nbsp;CHA,102-72,W,11,7,0.636,0,0,0.0,2,1,0.5,15,3,4,0,3,1,5,29
1015,20120229,Wed 2/29,CHI,89-96,L,16,5,0.313,0,0,0.0,2,1,0.5,11,6,9,0,0,3,3,38
1015,20120223,Thu 2/23,DEN,114-99,W,11,5,0.455,3,2,0.667,4,4,1.0,16,1,12,0,1,2,4,35
1015,20120221,Tue 2/21,POR,97-137,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1015,20120220,Mon 2/20,UTAH,106-102,W,16,7,0.438,0,0,0.0,10,9,0.9,23,6,11,0,3,1,3,38
1015,20120218,Sat 2/18,LAC,103-100,W,22,11,0.5,2,0,0.0,11,8,0.727,30,3,10,0,0,1,2,45
1015,20120215,Wed 2/15,TOR,113-106,W,23,11,0.478,1,0,0.0,12,12,1.0,34,3,14,0,1,2,5,39
1015,20120214,Tue 2/14,DET,99-95,W,13,5,0.385,0,0,0.0,7,4,0.571,14,3,7,0,0,1,2,33
1015,20120211,Sat 2/11,&nbsp;NJ,103-89,W,11,4,0.364,2,0,0.0,4,4,1.0,12,2,5,0,1,1,1,26
1015,20120208,Wed 2/8,PHI,100-90,W,24,12,0.5,0,0,0.0,13,13,1.0,37,3,8,1,1,0,3,38
1015,20120206,Mon 2/6,MEM,89-84,W,18,8,0.444,0,0,0.0,9,5,0.556,21,1,7,0,3,0,3,37
1015,20120204,Sat 2/4,OKC,107-96,W,29,16,0.552,2,0,0.0,12,10,0.833,42,3,9,1,2,2,0,39
1015,20120202,Thu 2/2,&nbsp;NO,93-81,W,15,8,0.533,1,0,0.0,3,2,0.667,18,5,7,0,0,1,4,35
1015,20120201,Wed 2/1,HOU,99-91,W,16,8,0.5,2,1,0.5,8,7,0.875,24,0,4,0,2,4,2,38
1015,20120130,Mon 1/30,MEM,83-73,W,9,2,0.222,0,0,0.0,1,1,1.0,5,5,12,0,2,2,2,39
1015,20120129,Sun 1/29,DAL,100-101,L,11,2,0.182,2,1,0.5,6,4,0.667,9,1,4,0,0,1,2,28
1015,20120127,Fri 1/27,MIN,79-87,L,19,9,0.474,2,1,0.5,1,1,1.0,20,3,3,0,0,2,3,37
1015,20120125,Wed 1/25,ATL,105-83,W,13,5,0.385,4,2,0.5,5,3,0.6,15,2,7,0,1,2,3,30
1015,20120123,Mon 1/23,&nbsp;NO,104-102,W,14,8,0.571,1,0,0.0,5,4,0.8,20,2,17,0,0,0,4,38
1015,20120121,Sat 1/21,HOU,102-105,L,23,10,0.435,2,0,0.0,5,4,0.8,24,4,13,0,1,0,4,34
1015,20120120,Fri 1/20,SAC,86-88,L,18,8,0.444,2,1,0.5,8,7,0.875,24,2,6,0,2,1,3,39
1015,20120118,Wed 1/18,ORL,85-83,W,23,12,0.522,0,0,0.0,1,1,1.0,25,7,9,0,1,1,5,44
1015,20120117,Tue 1/17,MIA,98-120,L,12,7,0.583,1,0,0.0,4,4,1.0,18,2,3,0,3,0,2,25
1015,20120115,Sun 1/15,PHX,102-91,W,20,8,0.4,1,0,0.0,3,1,0.333,17,4,9,1,1,3,2,35
1015,20120113,Fri 1/13,POR,99-83,W,16,8,0.5,1,0,0.0,4,4,1.0,20,4,9,0,2,1,4,34
1015,20120111,Wed 1/11,HOU,101-95,W,22,12,0.545,0,0,0.0,4,4,1.0,28,5,8,0,1,0,2,45
1015,20120110,Tue 1/10,MIL,103-106,L,18,10,0.556,1,0,0.0,4,2,0.5,22,2,8,0,0,2,7,36
1015,20120108,Sun 1/8,OKC,96-108,L,8,1,0.125,0,0,0.0,2,2,1.0,4,3,7,0,1,2,0,25
1015,20120107,Sat 1/7,DEN,121-117,W,16,8,0.5,1,0,0.0,5,3,0.6,19,2,6,0,1,3,4,32
1015,20120105,Thu 1/5,DAL,93-71,W,12,5,0.417,0,0,0.0,3,1,0.333,11,3,8,0,0,1,0,29
1015,20120104,Wed 1/4,GS,101-95,W,16,7,0.438,0,0,0.0,9,7,0.778,21,2,8,0,0,1,3,34
1015,20120102,Mon 1/2,MIN,96-106,L,11,3,0.273,0,0,0.0,6,5,0.833,11,2,9,0,2,0,0,31
1015,20121231,Sat 12/31,UTAH,104-89,W,10,3,0.3,0,0,0.0,8,8,1.0,14,2,8,0,0,1,2,28
1015,20121229,Thu 12/29,HOU,85-105,L,15,6,0.4,1,0,0.0,1,0,0.0,12,1,2,0,0,0,1,27
1015,20121228,Wed 12/28,LAC,115-90,W,9,6,0.667,0,0,0.0,2,2,1.0,14,3,9,0,0,2,1,26
1015,20121226,Mon 12/26,MEM,95-82,W,16,6,0.375,1,0,0.0,4,3,0.75,15,4,7,0,4,3,2,33
