ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2426,20140416,Wed 4/16,BOS,118-102,W,12,6,0.5,5,0,0.0,1,1,1.0,13,6,2,0,0,3,1,30
2426,20140414,Mon 4/14,MIA,114-93,W,13,10,0.769,8,5,0.625,2,0,0.0,25,3,2,0,3,1,1,32
2426,20140412,Sat 4/12,MIL,104-91,W,7,5,0.714,4,2,0.5,2,1,0.5,13,5,4,0,0,2,2,29
2426,20140411,Fri 4/11,ORL,96-86,W,10,3,0.3,4,0,0.0,2,2,1.0,8,3,2,0,1,2,0,27
2426,20140409,Wed 4/9,&nbsp;CHA,88-94,L,6,0,0.0,4,0,0.0,2,0,0.0,0,5,2,0,2,3,2,39
2426,20140405,Sat 4/5,CHI,78-96,L,9,1,0.111,3,0,0.0,0,0,0.0,2,7,0,1,2,1,1,30
2426,20140404,Fri 4/4,NY,90-89,W,9,3,0.333,5,1,0.2,5,3,0.6,10,4,1,0,0,3,1,36
2426,20140402,Wed 4/2,BOS,118-92,W,13,7,0.538,6,3,0.5,1,1,1.0,18,7,0,0,1,2,0,29
2426,20140331,Mon 3/31,&nbsp;CHA,94-100,L,9,4,0.444,5,3,0.6,0,0,0.0,11,2,1,0,0,1,1,30
2426,20140329,Sat 3/29,ATL,101-97,W,6,4,0.667,2,1,0.5,4,4,1.0,13,5,0,0,1,2,1,34
2426,20140328,Fri 3/28,IND,91-78,W,12,2,0.167,5,1,0.2,6,6,1.0,11,5,4,0,1,2,0,34
2426,20140326,Wed 3/26,PHX,93-99,L,14,6,0.429,4,1,0.25,2,1,0.5,14,8,4,0,1,0,3,40
2426,20140323,Sun 3/23,DEN,102-105,L,13,8,0.615,3,1,0.333,2,1,0.5,18,6,2,0,1,2,4,35
2426,20140321,Fri 3/21,LAL,117-107,W,7,3,0.429,5,2,0.4,4,4,1.0,12,7,1,0,2,2,4,33
2426,20140320,Thu 3/20,POR,103-116,L,9,6,0.667,4,3,0.75,0,0,0.0,15,9,2,1,1,3,0,32
2426,20140318,Tue 3/18,SAC,111-117,L,13,5,0.385,8,2,0.25,0,0,0.0,12,3,4,0,3,5,1,38
2426,20140315,Sat 3/15,BKN,101-94,W,8,3,0.375,5,0,0.0,3,3,1.0,9,8,1,0,0,0,2,36
2426,20140314,Fri 3/14,ORL,105-101,W,16,6,0.375,8,4,0.5,6,5,0.833,21,11,5,0,1,2,2,44
2426,20140312,Wed 3/12,&nbsp;CHA,85-98,L,9,3,0.333,6,1,0.167,0,0,0.0,7,3,2,0,0,3,4,32
2426,20140310,Mon 3/10,MIA,90-99,L,11,2,0.182,7,1,0.143,1,1,1.0,6,5,1,0,2,4,5,30
2426,20140308,Sat 3/8,MIL,114-107,W,12,9,0.75,7,5,0.714,9,5,0.556,28,7,2,0,0,4,2,38
2426,20140305,Wed 3/5,UTAH,104-91,W,14,9,0.643,6,4,0.667,4,4,1.0,26,5,1,0,1,2,1,36
2426,20140303,Mon 3/3,MEM,104-110,L,9,5,0.556,6,4,0.667,2,1,0.5,15,7,3,0,1,5,1,39
2426,20140301,Sat 3/1,PHI,122-103,W,23,14,0.609,12,8,0.667,5,4,0.8,40,2,3,1,4,1,2,36
2426,20140227,Thu 2/27,TOR,134-129,W,12,6,0.5,5,2,0.4,2,2,1.0,16,10,1,0,1,6,1,50
2426,20140225,Tue 2/25,ORL,115-106,W,10,7,0.7,5,5,1.0,3,3,1.0,22,3,4,0,3,2,2,32
2426,20140223,Sun 2/23,CLE,96-83,W,10,6,0.6,6,3,0.5,0,0,0.0,15,10,2,1,1,1,1,35
2426,20140222,Sat 2/22,NO,94-93,W,5,2,0.4,1,0,0.0,0,0,0.0,4,9,2,1,1,1,4,34
2426,20140219,Wed 2/19,ATL,114-97,W,12,7,0.583,8,5,0.625,0,0,0.0,19,9,2,0,0,1,0,36
2426,20140218,Tue 2/18,TOR,93-103,L,8,2,0.25,2,0,0.0,2,2,1.0,6,11,2,1,4,1,2,38
2426,20140212,Wed 2/12,HOU,112-113,L,20,11,0.55,14,10,0.714,0,0,0.0,32,11,3,1,3,6,2,42
2426,20140211,Tue 2/11,MEM,89-92,L,7,2,0.286,6,1,0.167,6,5,0.833,10,4,0,1,1,1,2,39
2426,20140209,Sun 2/9,SAC,93-84,W,11,2,0.182,4,1,0.25,5,3,0.6,8,5,2,1,4,2,1,38
2426,20140207,Fri 2/7,CLE,113-115,L,9,5,0.556,5,2,0.4,2,2,1.0,14,6,3,0,3,4,2,38
2426,20140205,Wed 2/5,SA,118-125,L,12,5,0.417,5,1,0.2,4,4,1.0,15,10,2,0,0,5,2,45
2426,20140203,Mon 2/3,POR,100-90,W,12,7,0.583,7,4,0.571,2,2,1.0,20,5,4,0,0,0,0,39
2426,20140201,Sat 2/1,OKC,96-81,W,15,7,0.467,7,3,0.429,1,1,1.0,18,6,2,1,2,4,1,39
2426,20140129,Wed 1/29,LAC,103-110,L,16,6,0.375,6,0,0.0,1,1,1.0,13,3,6,0,1,3,3,37
2426,20140128,Tue 1/28,GS,88-85,W,9,3,0.333,3,1,0.333,4,2,0.5,9,11,2,0,3,0,2,38
2426,20140125,Sat 1/25,UTAH,101-104,L,14,8,0.571,10,6,0.6,2,1,0.5,23,5,1,0,0,3,1,35
2426,20140124,Fri 1/24,PHX,101-95,W,14,6,0.429,8,3,0.375,8,8,1.0,23,7,2,0,4,1,2,36
2426,20140122,Wed 1/22,BOS,111-113,L,8,5,0.625,6,4,0.667,0,0,0.0,14,2,2,1,3,3,2,43
2426,20140120,Mon 1/20,PHI,107-99,W,12,4,0.333,7,1,0.143,4,4,1.0,13,7,5,0,1,3,0,35
2426,20140118,Sat 1/18,DET,98-104,L,7,1,0.143,4,1,0.25,4,4,1.0,7,8,7,0,3,4,1,40
2426,20140117,Fri 1/17,CHI,96-93,W,5,2,0.4,2,0,0.0,0,0,0.0,4,8,3,1,2,0,2,33
2426,20140115,Wed 1/15,MIA,114-97,W,7,4,0.571,4,2,0.5,0,0,0.0,10,4,5,0,2,0,2,35
2426,20140113,Mon 1/13,CHI,102-88,W,10,5,0.5,6,3,0.5,4,3,0.75,16,9,4,0,1,4,1,39
2426,20140111,Sat 1/11,HOU,107-114,L,16,7,0.438,9,3,0.333,7,6,0.857,23,14,2,0,5,4,2,45
2426,20140110,Fri 1/10,IND,66-93,L,10,3,0.3,5,1,0.2,4,0,0.0,7,6,5,0,1,3,2,33
2426,20140108,Wed 1/8,NO,102-96,W,17,9,0.529,7,2,0.286,1,1,1.0,21,10,2,0,0,2,1,38
2426,20140107,Tue 1/7,&nbsp;CHA,97-83,W,6,2,0.333,3,0,0.0,0,0,0.0,4,3,2,0,1,2,1,24
2426,20140105,Sun 1/5,GS,96-112,L,7,1,0.143,5,0,0.0,2,2,1.0,4,5,0,0,0,2,2,27
2426,20140103,Fri 1/3,TOR,88-101,L,3,2,0.667,2,2,1.0,0,0,0.0,6,1,1,0,0,4,2,21
2426,20140101,Wed 1/1,DAL,78-87,L,14,3,0.214,7,1,0.143,1,1,1.0,8,4,2,1,2,3,0,34
2426,20141230,Mon 12/30,DET,106-99,W,11,5,0.455,7,3,0.429,2,2,1.0,15,11,4,0,6,3,1,36
2426,20141228,Sat 12/28,DET,106-82,W,11,5,0.455,6,4,0.667,2,1,0.5,15,5,6,0,3,1,2,26
2426,20141227,Fri 12/27,MIN,98-120,L,9,3,0.333,5,2,0.4,2,2,1.0,10,2,2,0,0,2,1,24
2426,20141221,Sat 12/21,BOS,106-99,W,18,9,0.5,8,5,0.625,4,4,1.0,27,8,2,0,1,3,2,35
2426,20141218,Wed 12/18,BKN,113-107,W,13,6,0.462,8,3,0.375,0,0,0.0,15,3,3,1,1,1,2,36
2426,20141216,Mon 12/16,NY,102-101,W,6,4,0.667,2,1,0.5,1,1,1.0,10,5,2,0,0,3,2,33
2426,20141214,Sat 12/14,LAC,97-113,L,10,3,0.3,5,1,0.2,5,4,0.8,11,3,5,2,2,3,2,41
2426,20141213,Fri 12/13,ATL,99-101,L,7,4,0.571,2,1,0.5,2,1,0.5,10,6,1,0,1,1,1,33
2426,20141209,Mon 12/9,DEN,74-75,L,19,6,0.316,9,2,0.222,0,0,0.0,14,7,4,0,2,0,1,38
2426,20141206,Fri 12/6,MIL,105-109,L,12,6,0.5,10,5,0.5,6,5,0.833,22,12,4,2,4,3,3,46
2426,20141202,Mon 12/2,ORL,98-80,W,9,8,0.889,4,4,1.0,4,4,1.0,24,6,2,0,1,1,3,31
2426,20141130,Sat 11/30,ATL,108-101,W,10,7,0.7,6,5,0.833,5,5,1.0,24,3,3,0,1,2,1,38
2426,20141129,Fri 11/29,IND,73-93,L,14,6,0.429,6,2,0.333,0,0,0.0,14,4,0,2,1,1,2,34
2426,20141127,Wed 11/27,MIL,100-92,W,11,5,0.455,6,2,0.333,4,2,0.5,14,1,3,0,3,2,3,42
2426,20141126,Tue 11/26,LAL,116-111,W,14,6,0.429,7,1,0.143,0,0,0.0,13,7,3,0,3,2,2,32
2426,20141123,Sat 11/23,NY,98-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2426,20141122,Fri 11/22,TOR,88-96,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2426,20141120,Wed 11/20,CLE,98-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2426,20141119,Tue 11/19,MIN,104-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2426,20141116,Sat 11/16,CLE,96-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2426,20141113,Wed 11/13,SA,79-92,L,4,1,0.25,1,0,0.0,2,1,0.5,3,3,1,0,2,2,0,17
2426,20141112,Tue 11/12,DAL,95-105,L,17,10,0.588,11,5,0.455,3,2,0.667,27,7,0,0,4,2,4,37
2426,20141110,Sun 11/10,OKC,105-106,L,13,7,0.538,2,1,0.5,5,0,0.0,15,5,2,0,0,3,1,41
2426,20141108,Fri 11/8,BKN,112-108,W,8,2,0.25,5,1,0.2,0,0,0.0,5,1,3,0,3,1,3,44
2426,20141106,Wed 11/6,PHI,116-102,W,10,5,0.5,4,3,0.75,2,2,1.0,15,6,3,0,3,2,2,35
2426,20141103,Sun 11/3,MIA,93-103,L,16,4,0.25,9,3,0.333,2,2,1.0,13,7,0,0,2,4,3,30
2426,20141101,Fri 11/1,PHI,102-109,L,15,5,0.333,7,1,0.143,2,1,0.5,12,14,6,0,2,3,2,39
2426,20141030,Wed 10/30,DET,102-113,L,14,8,0.571,11,6,0.545,8,6,0.75,28,10,3,0,1,4,2,38
2426,20141023,Wed 10/23,CLE,101-82,W,11,6,0.545,7,5,0.714,2,2,1.0,19,8,5,1,4,0,2,31
2426,20141022,Tue 10/22,DET,96-99,L,9,2,0.222,4,0,0.0,2,2,1.0,6,5,1,0,1,3,1,21
2426,20141019,Sat 10/19,NO,89-93,L,6,1,0.167,2,1,0.5,0,0,0.0,3,4,1,1,1,1,3,20
2426,20141017,Thu 10/17,NY,89-98,L,10,3,0.3,4,0,0.0,0,0,0.0,6,1,2,0,1,2,1,21
2426,20141015,Tue 10/15,MIA,100-82,W,12,4,0.333,5,2,0.4,4,3,0.75,13,9,5,0,1,0,2,29
2426,20141012,Sat 10/12,CHI,81-83,L,9,3,0.333,5,2,0.4,2,1,0.5,9,0,0,0,1,3,1,20
