ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4270,20160413,Wed 4/13,LAL,96-101,L,7,4,0.571,0,0,0.0,2,0,0.0,8,5,2,0,1,3,1,29
4270,20160411,Mon 4/11,DAL,92-101,L,5,4,0.8,1,1,1.0,0,0,0.0,9,2,2,1,0,3,0,24
4270,20160410,Sun 4/10,DEN,100-84,W,3,1,0.333,1,0,0.0,4,4,1.0,6,5,1,1,1,1,0,21
4270,20160408,Fri 4/8,LAC,99-102,L,4,2,0.5,1,1,1.0,0,0,0.0,5,1,0,1,0,1,1,16
4270,20160405,Tue 4/5,SA,86-88,L,4,3,0.75,0,0,0.0,1,1,1.0,7,5,2,1,0,3,0,16
4270,20160403,Sun 4/3,PHX,101-86,W,4,2,0.5,0,0,0.0,0,0,0.0,4,5,2,2,0,1,0,17
4270,20160401,Fri 4/1,MIN,98-85,W,4,2,0.5,0,0,0.0,0,0,0.0,4,4,1,0,1,1,1,16
4270,20160330,Wed 3/30,GS,96-103,L,4,1,0.25,1,0,0.0,4,1,0.25,3,5,1,0,0,2,3,14
4270,20160328,Mon 3/28,LAL,123-75,W,8,6,0.75,1,1,1.0,6,4,0.667,17,5,0,1,0,2,0,16
4270,20160326,Sat 3/26,MIN,93-84,W,3,0,0.0,0,0,0.0,0,0,0.0,0,3,2,0,0,1,0,12
4270,20160324,Thu 3/24,OKC,91-113,L,6,4,0.667,2,1,0.5,2,0,0.0,9,3,2,0,0,3,0,16
4270,20160323,Wed 3/23,HOU,89-87,W,6,5,0.833,1,0,0.0,0,0,0.0,10,5,4,1,1,2,1,26
4270,20160320,Sun 3/20,MIL,94-85,W,1,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,1,0,8
4270,20160319,Sat 3/19,CHI,85-92,L,3,1,0.333,1,0,0.0,0,0,0.0,2,3,1,0,0,2,0,12
4270,20160317,Thu 3/17,PHX,103-69,W,7,4,0.571,0,0,0.0,0,0,0.0,8,4,2,0,1,1,0,15
4270,20160314,Mon 3/14,CLE,94-85,W,0,0,0.0,0,0,0.0,0,0,0.0,0,6,0,1,0,1,1,19
4270,20160313,Sun 3/13,SAC,108-99,W,10,3,0.3,4,0,0.0,4,4,1.0,10,8,1,2,1,1,0,25
4270,20160311,Fri 3/11,WSH,114-93,W,5,2,0.4,0,0,0.0,1,1,1.0,5,4,1,2,0,2,1,16
4270,20160309,Wed 3/9,GS,94-115,L,4,2,0.5,1,0,0.0,0,0,0.0,4,7,1,0,0,3,1,19
4270,20160308,Tue 3/8,ATL,84-91,L,4,2,0.5,0,0,0.0,4,4,1.0,8,5,0,0,2,1,0,20
4270,20160305,Sat 3/5,NO,106-94,W,6,4,0.667,0,0,0.0,3,3,1.0,11,8,2,0,0,3,0,18
4270,20160304,Fri 3/4,MEM,88-94,L,4,3,0.75,1,1,1.0,2,1,0.5,8,3,1,0,1,2,2,14
4270,20160302,Wed 3/2,TOR,94-104,L,3,2,0.667,0,0,0.0,0,0,0.0,4,2,0,0,0,2,2,7
4270,20160229,Mon 2/29,BOS,95-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4270,20160227,Sat 2/27,BKN,96-98,L,3,3,1.0,0,0,0.0,0,0,0.0,6,5,0,0,1,0,1,23
4270,20160225,Thu 2/25,SA,78-96,L,4,2,0.5,1,1,1.0,2,0,0.0,5,5,0,1,0,0,0,19
4270,20160223,Tue 2/23,HOU,117-114,W,7,3,0.429,1,0,0.0,0,0,0.0,6,6,2,0,0,2,1,12
