ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6631,20140416,Wed 4/16,BKN,114-85,W,11,9,0.818,0,0,0.0,5,4,0.8,22,11,2,2,1,2,0,26
6631,20140412,Sat 4/12,BOS,99-111,L,8,4,0.5,0,0,0.0,7,4,0.571,12,7,2,0,0,3,0,26
6631,20140411,Fri 4/11,MIL,116-119,L,8,5,0.625,0,0,0.0,2,1,0.5,11,6,0,0,0,4,1,19
6631,20140409,Wed 4/9,DET,122-100,W,11,9,0.818,0,0,0.0,0,0,0.0,18,6,0,2,1,2,0,24
6631,20140405,Sat 4/5,&nbsp;CHA,94-96,L,6,2,0.333,0,0,0.0,1,1,1.0,5,8,1,0,0,0,1,17
6631,20140404,Fri 4/4,ATL,98-117,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20140402,Wed 4/2,ORL,119-98,W,3,2,0.667,0,0,0.0,0,0,0.0,4,3,0,2,0,1,1,19
6631,20140330,Sun 3/30,IND,90-76,W,3,1,0.333,0,0,0.0,2,1,0.5,3,2,0,0,0,4,1,16
6631,20140328,Fri 3/28,BKN,97-108,L,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,5
6631,20140326,Wed 3/26,DET,97-96,W,5,2,0.4,0,0,0.0,0,0,0.0,4,0,0,0,0,1,0,10
6631,20140325,Tue 3/25,TOR,102-100,W,1,1,1.0,0,0,0.0,4,3,0.75,5,1,0,0,0,1,0,9
6631,20140323,Sun 3/23,NY,106-100,W,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,2,12
6631,20140322,Sat 3/22,HOU,111-118,L,16,10,0.625,0,0,0.0,5,3,0.6,23,7,3,1,0,4,1,30
6631,20140320,Thu 3/20,OKC,95-102,L,4,2,0.5,0,0,0.0,2,2,1.0,6,4,2,0,0,0,0,14
6631,20140318,Tue 3/18,MIA,96-100,L,1,1,1.0,0,0,0.0,2,1,0.5,3,3,0,0,0,1,1,14
6631,20140316,Sun 3/16,LAC,80-102,L,8,2,0.25,0,0,0.0,0,0,0.0,4,9,1,1,0,2,3,21
6631,20140314,Fri 3/14,GS,103-94,W,5,3,0.6,0,0,0.0,1,1,1.0,7,5,0,0,1,1,0,12
6631,20140312,Wed 3/12,PHX,110-101,W,3,1,0.333,0,0,0.0,2,1,0.5,3,4,1,0,0,1,0,15
6631,20140308,Sat 3/8,NY,97-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,4
6631,20140307,Fri 3/7,&nbsp;CHA,92-101,L,5,2,0.4,0,0,0.0,2,1,0.5,5,5,0,0,1,3,2,17
6631,20140304,Tue 3/4,SA,101-122,L,2,0,0.0,0,0,0.0,2,1,0.5,1,4,0,1,0,1,0,15
6631,20140301,Sat 3/1,MEM,96-110,L,6,3,0.5,0,0,0.0,4,3,0.75,9,5,1,2,1,4,2,25
6631,20140228,Fri 2/28,UTAH,99-79,W,12,5,0.417,0,0,0.0,0,0,0.0,10,9,2,0,0,2,0,23
6631,20140226,Wed 2/26,OKC,114-104,W,3,2,0.667,0,0,0.0,4,4,1.0,8,3,0,0,2,2,4,17
6631,20140225,Tue 2/25,TOR,93-99,L,4,2,0.5,0,0,0.0,4,4,1.0,8,6,1,0,0,5,3,24
6631,20140223,Sun 2/23,WSH,83-96,L,7,3,0.429,0,0,0.0,0,0,0.0,6,4,0,1,0,2,1,14
6631,20140221,Fri 2/21,TOR,91-98,L,6,4,0.667,0,0,0.0,0,0,0.0,8,4,0,3,0,3,0,20
6631,20140219,Wed 2/19,ORL,101-93,W,5,4,0.8,0,0,0.0,9,8,0.889,16,6,2,3,0,4,2,31
6631,20140218,Tue 2/18,PHI,114-85,W,14,6,0.429,1,0,0.0,7,6,0.857,18,15,1,1,0,2,1,25
6631,20140212,Wed 2/12,DET,93-89,W,6,4,0.667,0,0,0.0,0,0,0.0,8,3,1,1,0,6,0,22
6631,20140211,Tue 2/11,SAC,109-99,W,5,3,0.6,0,0,0.0,0,0,0.0,6,4,1,0,0,3,2,18
6631,20140209,Sun 2/9,MEM,91-83,W,6,2,0.333,0,0,0.0,2,1,0.5,5,8,0,0,0,5,0,24
6631,20140207,Fri 2/7,WSH,115-113,W,2,1,0.5,0,0,0.0,6,6,1.0,8,5,0,1,1,2,0,17
6631,20140205,Wed 2/5,LAL,108-119,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,5
6631,20140203,Mon 2/3,DAL,107-124,L,1,1,1.0,0,0,0.0,0,0,0.0,2,2,0,0,0,1,1,3
6631,20140201,Sat 2/1,HOU,92-106,L,3,2,0.667,0,0,0.0,0,0,0.0,4,3,2,1,2,5,1,27
6631,20140130,Thu 1/30,NY,86-117,L,3,1,0.333,0,0,0.0,0,0,0.0,2,1,0,0,1,3,1,14
6631,20140128,Tue 1/28,NO,89-100,L,8,4,0.5,0,0,0.0,5,5,1.0,13,10,2,0,1,2,2,21
6631,20140126,Sun 1/26,PHX,90-99,L,1,1,1.0,0,0,0.0,0,0,0.0,2,3,0,0,0,3,1,13
6631,20140124,Fri 1/24,MIL,93-78,W,6,3,0.5,0,0,0.0,2,2,1.0,8,9,0,3,2,2,1,22
6631,20140122,Wed 1/22,CHI,87-98,L,3,2,0.667,0,0,0.0,1,0,0.0,4,4,0,1,0,0,3,16
6631,20140120,Mon 1/20,DAL,97-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,4,0,0,0,1,0,9
6631,20140117,Fri 1/17,DEN,117-109,W,4,1,0.25,0,0,0.0,4,2,0.5,4,7,1,0,0,1,2,17
6631,20140115,Wed 1/15,POR,96-108,L,3,3,1.0,0,0,0.0,2,0,0.0,6,1,0,0,1,5,2,9
6631,20140114,Tue 1/14,LAL,120-118,W,5,2,0.4,0,0,0.0,6,4,0.667,8,4,1,0,0,2,0,17
6631,20140112,Sun 1/12,SAC,80-124,L,4,3,0.75,0,0,0.0,4,0,0.0,6,1,0,0,0,3,1,13
6631,20140110,Fri 1/10,UTAH,113-102,W,8,4,0.5,0,0,0.0,4,2,0.5,10,6,0,0,0,3,1,22
6631,20140107,Tue 1/7,PHI,111-93,W,5,4,0.8,0,0,0.0,1,1,1.0,9,4,1,3,0,3,1,18
6631,20140105,Sun 1/5,IND,78-82,L,5,1,0.2,0,0,0.0,2,2,1.0,4,8,1,1,0,2,1,21
6631,20140104,Sat 1/4,BKN,82-89,L,2,1,0.5,0,0,0.0,0,0,0.0,2,2,1,0,0,5,0,6
6631,20140102,Thu 1/2,ORL,87-81,W,0,0,0.0,0,0,0.0,0,0,0.0,0,5,0,1,0,1,1,14
6631,20141231,Tue 12/31,IND,76-91,L,5,3,0.6,0,0,0.0,2,1,0.5,7,5,0,0,0,3,3,16
6631,20141229,Sun 12/29,GS,104-108,L,5,2,0.4,0,0,0.0,2,2,1.0,6,2,0,2,0,2,0,18
6631,20141228,Sat 12/28,BOS,100-103,L,5,2,0.4,0,0,0.0,2,1,0.5,5,10,3,1,0,1,3,22
6631,20141226,Thu 12/26,ATL,125-127,L,1,0,0.0,0,0,0.0,0,0,0.0,0,2,0,0,1,0,0,11
6631,20141223,Mon 12/23,DET,92-115,L,7,6,0.857,0,0,0.0,1,1,1.0,13,4,1,0,0,0,0,14
6631,20141221,Sat 12/21,CHI,84-100,L,5,3,0.6,0,0,0.0,0,0,0.0,6,3,0,1,0,0,0,13
6631,20141220,Fri 12/20,MIL,114-111,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141217,Tue 12/17,POR,116-119,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141214,Sat 12/14,MIA,107-114,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141213,Fri 12/13,ORL,109-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141210,Tue 12/10,NY,109-94,W,0,0,0.0,0,0,0.0,2,1,0.5,1,0,0,0,0,0,0,2
6631,20141207,Sat 12/7,LAC,88-82,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141206,Fri 12/6,ATL,89-108,L,3,2,0.667,0,0,0.0,0,0,0.0,4,3,0,0,0,1,1,7
6631,20141204,Wed 12/4,DEN,98-88,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141130,Sat 11/30,CHI,97-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141129,Fri 11/29,BOS,86-103,L,1,0,0.0,0,0,0.0,2,2,1.0,2,2,0,0,0,0,0,6
6631,20141127,Wed 11/27,MIA,84-95,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141123,Sat 11/23,SA,96-126,L,2,2,1.0,0,0,0.0,0,0,0.0,4,2,1,0,1,0,0,15
6631,20141122,Fri 11/22,NO,100-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141120,Wed 11/20,WSH,91-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141116,Sat 11/16,WSH,103-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6631,20141115,Fri 11/15,&nbsp;CHA,80-86,L,6,2,0.333,0,0,0.0,2,1,0.5,5,4,1,2,0,2,1,14
6631,20141113,Wed 11/13,MIN,95-124,L,5,3,0.6,0,0,0.0,2,2,1.0,8,6,0,0,0,0,0,15
6631,20141111,Mon 11/11,CHI,81-96,L,1,1,1.0,0,0,0.0,0,0,0.0,2,3,0,0,0,1,0,4
6631,20141109,Sat 11/9,PHI,127-125,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2
6631,20141108,Fri 11/8,PHI,79-94,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,2,5
6631,20141106,Wed 11/6,MIL,104-109,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2
6631,20141104,Mon 11/4,MIN,93-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1
6631,20141102,Sat 11/2,IND,74-89,L,3,2,0.667,0,0,0.0,2,2,1.0,6,3,0,1,0,3,1,18
6631,20141101,Fri 11/1,&nbsp;CHA,84-90,L,2,0,0.0,0,0,0.0,0,0,0.0,0,2,0,0,1,3,0,9
6631,20141030,Wed 10/30,BKN,98-94,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,4
