ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
984,20140416,Wed 4/16,TOR,95-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
984,20140415,Tue 4/15,BKN,109-98,W,1,1,1.0,0,0,0.0,0,0,0.0,2,1,1,0,0,0,0,5
984,20140413,Sun 4/13,CHI,100-89,W,2,0,0.0,0,0,0.0,2,1,0.5,1,12,1,1,1,2,2,30
984,20140411,Fri 4/11,TOR,108-100,W,2,1,0.5,0,0,0.0,4,4,1.0,6,7,1,0,0,3,2,30
984,20140406,Sun 4/6,MIA,91-102,L,7,4,0.571,0,0,0.0,2,2,1.0,10,11,0,0,0,1,1,34
984,20140404,Fri 4/4,WSH,89-90,L,7,3,0.429,0,0,0.0,0,0,0.0,6,8,0,0,1,0,0,31
984,20140402,Wed 4/2,BKN,110-81,W,2,2,1.0,0,0,0.0,2,0,0.0,4,5,1,2,1,4,2,30
984,20140331,Mon 3/31,UTAH,92-83,W,7,6,0.857,0,0,0.0,8,3,0.375,15,9,1,2,1,3,1,35
984,20140330,Sun 3/30,GS,89-84,W,6,3,0.5,0,0,0.0,0,0,0.0,6,7,1,1,0,2,0,30
984,20140328,Fri 3/28,PHX,88-112,L,4,0,0.0,0,0,0.0,2,1,0.5,1,7,2,0,0,5,1,29
984,20140326,Wed 3/26,SAC,107-99,W,5,4,0.8,0,0,0.0,2,2,1.0,10,8,0,1,0,5,1,29
984,20140325,Tue 3/25,LAL,96-127,L,7,5,0.714,0,0,0.0,2,2,1.0,12,5,2,1,1,2,3,29
984,20140323,Sun 3/23,CLE,100-106,L,2,2,1.0,0,0,0.0,0,0,0.0,4,6,2,0,0,0,4,36
984,20140321,Fri 3/21,PHI,93-92,W,10,7,0.7,1,0,0.0,4,3,0.75,17,10,2,1,1,1,1,31
984,20140319,Wed 3/19,IND,92-86,W,5,2,0.4,0,0,0.0,4,3,0.75,7,14,0,1,1,4,2,39
984,20140315,Sat 3/15,MIL,115-94,W,2,1,0.5,0,0,0.0,0,0,0.0,2,5,0,0,0,2,0,25
984,20140312,Wed 3/12,BOS,116-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
984,20140310,Mon 3/10,PHI,123-110,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
984,20140308,Sat 3/8,CLE,107-97,W,9,5,0.556,0,0,0.0,7,5,0.714,15,11,2,1,0,2,1,37
984,20140307,Fri 3/7,UTAH,108-81,W,10,8,0.8,0,0,0.0,2,0,0.0,16,11,0,0,0,3,0,23
984,20140305,Wed 3/5,MIN,118-106,W,8,6,0.75,0,0,0.0,3,3,1.0,15,14,0,0,0,4,1,35
984,20140303,Mon 3/3,DET,85-96,L,9,3,0.333,0,0,0.0,2,2,1.0,8,18,2,2,1,4,1,42
984,20140302,Sun 3/2,CHI,90-109,L,5,3,0.6,0,0,0.0,4,2,0.5,8,22,2,3,0,2,1,40
984,20140228,Fri 2/28,GS,103-126,L,10,2,0.2,0,0,0.0,3,2,0.667,6,12,3,0,2,5,2,30
984,20140227,Thu 2/27,MIA,82-108,L,9,6,0.667,0,0,0.0,8,7,0.875,19,16,0,0,0,2,2,32
984,20140224,Mon 2/24,DAL,108-110,L,5,5,1.0,0,0,0.0,4,2,0.5,12,12,0,2,1,4,4,36
984,20140222,Sat 2/22,ATL,98-107,L,13,5,0.385,0,0,0.0,0,0,0.0,10,23,1,2,1,2,1,36
984,20140221,Fri 2/21,ORL,121-129,L,8,5,0.625,0,0,0.0,8,4,0.5,14,11,3,1,2,2,1,42
984,20140219,Wed 2/19,NO,98-91,W,6,2,0.333,0,0,0.0,0,0,0.0,4,11,0,2,0,3,3,36
984,20140218,Tue 2/18,MEM,93-98,L,5,4,0.8,0,0,0.0,1,1,1.0,9,6,1,2,1,6,2,26
984,20140212,Wed 2/12,SAC,101-106,L,12,8,0.667,0,0,0.0,2,1,0.5,17,11,2,1,1,3,1,41
984,20140209,Sun 2/9,OKC,100-112,L,6,5,0.833,0,0,0.0,3,2,0.667,12,7,1,2,2,1,1,32
984,20140207,Fri 2/7,DEN,117-90,W,7,6,0.857,0,0,0.0,1,0,0.0,12,8,0,0,3,1,4,23
984,20140205,Wed 2/5,POR,90-94,L,3,1,0.333,0,0,0.0,0,0,0.0,2,9,1,0,2,5,0,31
984,20140203,Mon 2/3,MIL,98-101,L,3,3,1.0,0,0,0.0,6,1,0.167,7,10,0,1,0,3,1,35
984,20140201,Sat 2/1,MIA,91-106,L,5,4,0.8,0,0,0.0,0,0,0.0,8,11,0,2,0,4,1,34
984,20140130,Thu 1/30,CLE,117-86,W,4,4,1.0,0,0,0.0,5,3,0.6,11,8,0,3,0,1,1,32
984,20140128,Tue 1/28,BOS,114-88,W,6,5,0.833,0,0,0.0,2,2,1.0,12,13,0,0,0,0,0,23
984,20140126,Sun 1/26,LAL,110-103,W,11,5,0.455,0,0,0.0,3,3,1.0,13,14,0,1,1,4,1,30
