ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3135046,20160413,Wed 4/13,NO,144-109,W,5,3,0.6,2,1,0.5,4,2,0.5,9,1,12,0,1,0,0,26
3135046,20160411,Mon 4/11,HOU,105-129,L,5,1,0.2,1,0,0.0,0,0,0.0,2,3,5,0,2,4,2,26
3135046,20160409,Sat 4/9,POR,106-105,W,2,1,0.5,0,0,0.0,1,1,1.0,3,0,2,0,1,0,0,16
3135046,20160407,Thu 4/7,SAC,105-97,W,3,2,0.667,2,1,0.5,0,0,0.0,5,3,4,0,4,1,1,26
3135046,20160405,Tue 4/5,GS,124-117,W,4,3,0.75,0,0,0.0,2,1,0.5,7,0,5,0,1,1,0,19
3135046,20160403,Sun 4/3,DAL,78-88,L,1,0,0.0,1,0,0.0,2,1,0.5,1,1,0,0,0,1,0,14
3135046,20160401,Fri 4/1,UTAH,85-98,L,1,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,1,0,2,6
3135046,20160330,Wed 3/30,LAC,79-99,L,10,1,0.1,7,0,0.0,0,0,0.0,2,0,2,0,0,3,0,23
3135046,20160328,Mon 3/28,PHX,121-116,W,3,1,0.333,2,0,0.0,2,1,0.5,3,0,2,0,2,0,2,14
3135046,20160326,Sat 3/26,UTAH,84-93,L,7,2,0.286,1,0,0.0,4,4,1.0,8,2,2,0,1,1,2,17
3135046,20160325,Fri 3/25,WSH,132-129,W,6,3,0.5,1,0,0.0,2,2,1.0,8,0,6,0,2,2,1,14
3135046,20160323,Wed 3/23,SAC,113-104,W,5,1,0.2,1,0,0.0,2,1,0.5,3,0,5,0,3,1,2,22
3135046,20160321,Mon 3/21,GS,104-109,L,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,2,1,15
3135046,20160318,Fri 3/18,HOU,111-116,L,4,1,0.25,1,0,0.0,0,0,0.0,2,2,4,0,0,1,0,16
3135046,20160316,Wed 3/16,MEM,114-108,W,4,3,0.75,1,0,0.0,6,4,0.667,10,0,5,2,1,0,2,19
3135046,20160314,Mon 3/14,PHX,104-107,L,3,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,1,2,2,12
3135046,20160311,Fri 3/11,OKC,99-96,W,7,2,0.286,4,1,0.25,0,0,0.0,5,0,1,0,0,0,0,12
3135046,20160308,Tue 3/8,SA,91-116,L,7,4,0.571,4,2,0.5,0,0,0.0,10,0,6,0,0,1,0,27
3135046,20160307,Mon 3/7,CHA,103-108,L,3,1,0.333,0,0,0.0,0,0,0.0,2,1,4,0,1,0,1,14
3135046,20160305,Sat 3/5,BKN,132-118,W,5,3,0.6,3,2,0.667,1,1,1.0,9,1,2,0,0,3,1,16
3135046,20160304,Fri 3/4,MIL,101-116,L,3,1,0.333,1,0,0.0,0,0,0.0,2,5,5,0,2,0,2,24
3135046,20160302,Wed 3/2,WSH,98-104,L,4,1,0.25,3,1,0.333,0,0,0.0,3,0,0,0,0,0,1,10
3135046,20160228,Sun 2/28,DAL,101-128,L,9,2,0.222,4,2,0.5,1,1,1.0,7,3,6,0,2,0,0,23
3135046,20160227,Sat 2/27,NO,112-110,W,4,2,0.5,3,2,0.667,2,1,0.5,7,3,3,0,0,0,1,13
3135046,20160224,Wed 2/24,TOR,105-114,L,3,1,0.333,0,0,0.0,2,2,1.0,4,0,3,0,1,1,0,12
3135046,20160222,Mon 2/22,BOS,124-122,W,7,4,0.571,2,1,0.5,0,0,0.0,9,2,1,0,1,2,1,16
3135046,20160220,Sat 2/20,NY,95-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3135046,20160219,Fri 2/19,MEM,104-109,L,3,1,0.333,1,1,1.0,2,2,1.0,5,0,2,0,0,1,1,14
3135046,20160210,Wed 2/10,TOR,117-112,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3135046,20160208,Mon 2/8,NO,102-116,L,5,1,0.2,1,0,0.0,1,1,1.0,3,3,5,0,0,0,0,12
