ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2527963,20140416,Wed 4/16,IND,86-101,L,8,2,0.25,1,0,0.0,0,0,0.0,4,2,1,0,1,2,2,17
2527963,20140414,Mon 4/14,CHI,95-108,L,8,3,0.375,3,1,0.333,4,3,0.75,10,3,4,0,1,1,3,23
2527963,20140413,Sun 4/13,BKN,88-97,L,8,5,0.625,3,3,1.0,2,1,0.5,14,2,1,0,2,2,6,26
2527963,20140411,Fri 4/11,WSH,86-96,L,5,3,0.6,0,0,0.0,0,0,0.0,6,2,1,0,2,5,3,16
2527963,20140409,Wed 4/9,BKN,115-111,W,8,4,0.5,2,0,0.0,4,1,0.25,9,3,6,0,1,0,3,19
2527963,20140405,Sat 4/5,MIN,100-92,W,12,7,0.583,2,2,1.0,0,0,0.0,16,3,6,0,1,3,2,29
2527963,20140404,Fri 4/4,&nbsp;CHA,80-91,L,18,8,0.444,3,1,0.333,4,4,1.0,21,6,2,0,2,4,2,30
2527963,20140402,Wed 4/2,CLE,98-119,L,10,4,0.4,4,2,0.5,6,6,1.0,16,0,4,0,2,4,2,27
2527963,20140330,Sun 3/30,TOR,93-98,L,12,7,0.583,4,2,0.5,0,0,0.0,16,2,4,0,2,1,5,26
2527963,20140328,Fri 3/28,&nbsp;CHA,110-105,W,12,5,0.417,2,0,0.0,6,4,0.667,14,3,1,1,4,2,5,30
2527963,20140325,Tue 3/25,POR,95-85,W,16,5,0.313,3,0,0.0,3,3,1.0,13,5,6,0,3,2,3,38
2527963,20140323,Sun 3/23,LAL,94-103,L,11,6,0.545,4,2,0.5,9,7,0.778,21,5,10,0,2,3,8,39
2527963,20140322,Sat 3/22,UTAH,88-89,L,14,5,0.357,2,1,0.5,10,8,0.8,19,6,4,0,2,2,4,36
2527963,20140319,Wed 3/19,PHX,93-109,L,18,6,0.333,6,1,0.167,2,1,0.5,14,3,9,0,2,2,6,37
2527963,20140318,Tue 3/18,GS,89-103,L,8,3,0.375,2,1,0.5,4,3,0.75,10,5,5,0,1,3,4,27
2527963,20140314,Fri 3/14,WSH,101-105,L,15,7,0.467,4,1,0.25,0,0,0.0,15,3,6,0,0,2,1,36
2527963,20140312,Wed 3/12,DEN,112-120,L,12,5,0.417,3,0,0.0,5,5,1.0,15,4,3,0,0,2,1,28
2527963,20140310,Mon 3/10,MIL,98-105,L,6,5,0.833,2,2,1.0,0,0,0.0,12,3,4,0,0,2,1,19
2527963,20140308,Sat 3/8,SA,112-121,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2527963,20140305,Wed 3/5,HOU,89-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2527963,20140302,Sun 3/2,PHI,92-81,W,10,3,0.3,1,0,0.0,4,3,0.75,9,2,4,0,2,5,4,39
2527963,20140301,Sat 3/1,MIA,98-112,L,6,2,0.333,2,0,0.0,10,6,0.6,10,0,1,0,0,3,2,26
2527963,20140226,Wed 2/26,PHI,101-90,W,16,7,0.438,5,2,0.4,1,1,1.0,17,11,3,1,2,1,7,34
2527963,20140225,Tue 2/25,WSH,106-115,L,20,10,0.5,4,2,0.5,4,4,1.0,26,2,5,0,1,4,2,35
2527963,20140223,Sun 2/23,TOR,90-105,L,13,4,0.308,3,2,0.667,1,1,1.0,11,4,2,0,5,3,4,35
2527963,20140221,Fri 2/21,NY,129-121,W,23,11,0.478,3,2,0.667,6,6,1.0,30,9,14,0,2,1,3,49
2527963,20140219,Wed 2/19,CLE,93-101,L,6,2,0.333,2,0,0.0,0,0,0.0,4,4,4,0,0,1,0,18
2527963,20140218,Tue 2/18,MIL,100-104,L,7,3,0.429,1,0,0.0,0,0,0.0,6,1,3,0,1,2,2,22
2527963,20140212,Wed 2/12,MEM,81-86,L,11,2,0.182,2,1,0.5,2,2,1.0,7,1,2,1,1,2,2,26
2527963,20140209,Sun 2/9,IND,93-92,W,18,8,0.444,1,1,1.0,7,6,0.857,23,4,4,0,2,2,4,33
2527963,20140207,Fri 2/7,OKC,103-102,W,7,5,0.714,1,1,1.0,4,3,0.75,14,5,3,1,2,2,1,21
2527963,20140205,Wed 2/5,DET,112-98,W,10,8,0.8,1,0,0.0,4,4,1.0,20,4,3,0,2,3,1,28
2527963,20140203,Mon 2/3,IND,79-98,L,11,2,0.182,3,0,0.0,2,2,1.0,6,5,11,0,4,3,4,35
2527963,20140202,Sun 2/2,BOS,89-96,L,16,3,0.188,4,1,0.25,6,5,0.833,12,3,5,0,1,0,3,38
2527963,20140131,Fri 1/31,MIL,113-102,W,10,5,0.5,2,1,0.5,5,4,0.8,15,5,7,0,3,4,5,32
2527963,20140129,Wed 1/29,TOR,83-98,L,14,3,0.214,4,1,0.25,8,5,0.625,12,2,3,0,1,3,3,39
2527963,20140128,Tue 1/28,DET,87-103,L,14,7,0.5,3,2,0.667,3,3,1.0,19,4,3,0,0,1,6,26
2527963,20140126,Sun 1/26,NO,92-100,L,12,6,0.5,2,0,0.0,6,6,1.0,18,3,2,0,5,2,1,40
2527963,20140124,Fri 1/24,LAL,114-105,W,14,5,0.357,3,1,0.333,6,4,0.667,15,12,5,1,2,3,3,39
2527963,20140122,Wed 1/22,ATL,109-112,L,13,8,0.615,2,2,1.0,7,6,0.857,24,7,7,1,2,3,2,34
2527963,20140121,Tue 1/21,BKN,90-101,L,9,3,0.333,4,1,0.25,4,3,0.75,10,6,5,0,2,1,1,31
2527963,20140119,Sun 1/19,BOS,93-91,W,8,2,0.25,2,0,0.0,5,5,1.0,9,6,2,2,2,3,3,39
2527963,20140117,Fri 1/17,&nbsp;CHA,101-111,L,14,4,0.286,4,1,0.25,3,2,0.667,11,5,10,2,1,4,4,39
2527963,20140115,Wed 1/15,CHI,125-128,L,24,15,0.625,4,1,0.25,5,4,0.8,35,4,8,1,3,5,8,57
2527963,20140113,Mon 1/13,DAL,88-107,L,11,4,0.364,3,1,0.333,2,2,1.0,11,3,2,0,1,4,4,30
2527963,20140111,Sat 1/11,DEN,94-120,L,11,6,0.545,3,0,0.0,5,3,0.6,15,3,5,0,1,1,3,32
2527963,20140110,Fri 1/10,SAC,83-103,L,14,5,0.357,2,1,0.5,4,2,0.5,13,1,3,0,1,1,0,37
2527963,20140108,Wed 1/8,POR,94-110,L,8,3,0.375,3,1,0.333,8,7,0.875,14,4,2,1,2,2,3,39
2527963,20140106,Mon 1/6,LAC,81-101,L,15,8,0.533,4,3,0.75,4,3,0.75,22,8,5,1,1,5,2,26
2527963,20140104,Sat 1/4,MIA,94-110,L,13,5,0.385,6,2,0.333,4,4,1.0,16,6,3,0,1,2,4,35
2527963,20140102,Thu 1/2,CLE,81-87,L,9,3,0.333,4,0,0.0,0,0,0.0,6,4,1,2,0,2,3,26
