ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
136,20120426,Thu 4/26,ATL,89-106,L,7,3,0.429,2,0,0.0,0,0,0.0,6,1,3,0,2,0,2,23
136,20120421,Sat 4/21,CHI,83-93,L,11,4,0.364,4,1,0.25,7,6,0.857,15,2,1,0,0,2,1,29
136,20120420,Fri 4/20,GS,104-94,W,9,5,0.556,2,1,0.5,8,8,1.0,19,9,3,1,1,3,4,27
136,20120418,Wed 4/18,HOU,117-110,W,18,8,0.444,6,1,0.167,6,6,1.0,23,4,3,0,1,1,1,30
136,20120416,Mon 4/16,UTAH,121-123,L,15,5,0.333,7,3,0.429,6,5,0.833,18,12,4,1,2,5,1,45
136,20120415,Sun 4/15,LAL,108-112,L,5,2,0.4,1,1,1.0,2,2,1.0,7,3,1,0,0,5,0,21
136,20120413,Fri 4/13,POR,97-94,W,8,3,0.375,2,0,0.0,0,0,0.0,6,3,2,0,1,2,1,27
136,20120412,Thu 4/12,GS,112-103,W,7,5,0.714,4,2,0.5,0,0,0.0,12,1,2,0,0,3,0,25
136,20120410,Tue 4/10,SAC,110-100,W,9,3,0.333,3,1,0.333,0,0,0.0,7,7,5,3,1,2,2,28
136,20120407,Sat 4/7,MEM,89-94,L,8,6,0.75,2,1,0.5,1,1,1.0,14,4,3,3,0,2,0,30
136,20120406,Fri 4/6,POR,97-99,L,10,3,0.3,2,0,0.0,0,0,0.0,6,5,0,0,1,1,1,24
136,20120404,Wed 4/4,MEM,95-85,W,9,2,0.222,4,1,0.25,0,0,0.0,5,1,3,0,1,1,1,23
136,20120402,Mon 4/2,LAC,75-94,L,6,1,0.167,2,0,0.0,3,1,0.333,3,7,2,0,0,3,2,29
136,20120330,Fri 3/30,ORL,100-98,W,11,4,0.364,5,2,0.4,2,2,1.0,12,0,1,0,0,2,1,25
136,20120329,Thu 3/29,MIA,85-106,L,7,4,0.571,6,3,0.5,0,0,0.0,11,1,2,0,1,0,1,19
136,20120327,Tue 3/27,HOU,90-81,W,8,3,0.375,3,1,0.333,0,0,0.0,7,2,0,0,0,1,2,19
136,20120324,Sat 3/24,HOU,101-99,W,7,2,0.286,2,0,0.0,0,0,0.0,4,1,0,1,1,4,1,22
136,20120323,Fri 3/23,SA,87-104,L,5,1,0.2,3,1,0.333,0,0,0.0,3,4,1,0,0,1,1,24
136,20120321,Wed 3/21,LAL,93-109,L,10,4,0.4,4,1,0.25,2,0,0.0,9,0,1,0,1,2,0,33
136,20120319,Mon 3/19,DEN,112-95,W,9,5,0.556,5,2,0.4,2,2,1.0,14,6,3,2,2,0,2,33
136,20120317,Sat 3/17,SA,106-99,W,6,3,0.5,3,1,0.333,4,3,0.75,10,6,2,0,1,2,0,30
136,20120315,Thu 3/15,&nbsp;CHA,101-96,W,11,3,0.273,6,2,0.333,3,3,1.0,11,0,1,0,1,3,0,31
136,20120313,Tue 3/13,WSH,107-98,W,11,6,0.545,5,2,0.4,0,0,0.0,14,5,2,0,0,5,2,25
136,20120310,Sat 3/10,GS,87-111,L,9,2,0.222,4,1,0.25,2,2,1.0,7,3,2,0,1,2,0,24
136,20120309,Fri 3/9,SAC,97-110,L,5,0,0.0,2,0,0.0,0,0,0.0,0,2,2,0,0,2,2,17
136,20120308,Thu 3/8,PHX,94-96,L,21,8,0.381,5,2,0.4,0,0,0.0,18,5,4,0,1,3,1,30
136,20120306,Tue 3/6,NY,95-85,W,8,1,0.125,6,1,0.167,0,0,0.0,3,7,2,0,1,1,1,23
136,20120305,Mon 3/5,OKC,91-95,L,1,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,0,2,0,10
136,20120303,Sat 3/3,UTAH,102-96,W,8,3,0.375,3,1,0.333,2,2,1.0,9,3,4,0,3,3,2,28
136,20120302,Fri 3/2,&nbsp;NO,92-97,L,10,4,0.4,7,2,0.286,4,4,1.0,14,4,4,1,1,2,1,27
136,20120229,Wed 2/29,MEM,85-96,L,9,4,0.444,1,0,0.0,1,1,1.0,9,3,1,1,0,1,3,30
136,20120228,Tue 2/28,&nbsp;NJ,92-93,L,4,1,0.25,2,0,0.0,1,0,0.0,2,1,0,0,0,1,2,22
136,20120222,Wed 2/22,LAL,91-96,L,17,7,0.412,7,3,0.429,4,3,0.75,20,5,1,1,0,3,2,31
136,20120220,Mon 2/20,BOS,89-73,W,7,2,0.286,3,0,0.0,0,0,0.0,4,1,3,0,1,2,1,27
136,20120219,Sun 2/19,NY,97-104,L,9,3,0.333,4,2,0.5,1,1,1.0,9,3,2,0,2,1,1,26
136,20120217,Fri 2/17,PHI,82-75,W,8,3,0.375,1,0,0.0,5,4,0.8,10,6,4,1,1,3,4,37
136,20120215,Wed 2/15,DEN,102-84,W,10,5,0.5,4,2,0.5,3,3,1.0,15,6,2,0,1,3,2,26
136,20120213,Mon 2/13,LAC,96-92,W,9,4,0.444,4,2,0.5,0,0,0.0,10,4,2,1,2,2,2,25
136,20120211,Sat 2/11,POR,97-94,W,8,3,0.375,2,1,0.5,0,0,0.0,7,3,4,0,0,3,3,22
136,20120210,Fri 2/10,MIN,104-97,W,10,4,0.4,2,1,0.5,3,3,1.0,12,3,1,0,5,3,2,26
136,20120208,Wed 2/8,DEN,105-95,W,12,7,0.583,7,3,0.429,0,0,0.0,17,5,8,1,2,3,1,29
136,20120204,Sat 2/4,CLE,88-91,L,4,2,0.5,0,0,0.0,0,0,0.0,4,0,1,0,0,1,1,16
