ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4247,20140416,Wed 4/16,SA,113-100,W,17,5,0.294,7,1,0.143,0,0,0.0,11,11,2,0,0,1,0,35
4247,20140414,Mon 4/14,UTAH,119-104,W,6,3,0.5,3,2,0.667,4,4,1.0,12,6,4,3,5,3,1,38
4247,20140413,Sun 4/13,MEM,90-102,L,12,6,0.5,5,3,0.6,0,0,0.0,15,15,4,0,1,1,1,40
4247,20140411,Fri 4/11,GS,95-112,L,8,4,0.5,3,0,0.0,0,0,0.0,8,6,1,0,1,3,0,30
4247,20140408,Tue 4/8,HOU,130-145,L,11,3,0.273,5,3,0.6,2,2,1.0,11,4,5,0,1,1,2,39
4247,20140406,Sun 4/6,LAC,97-120,L,8,3,0.375,4,2,0.5,2,2,1.0,10,6,3,0,3,3,1,30
4247,20140404,Fri 4/4,DAL,95-107,L,13,3,0.231,2,0,0.0,1,0,0.0,6,11,2,2,3,0,2,32
4247,20140402,Wed 4/2,SAC,102-107,L,6,3,0.5,2,2,1.0,0,0,0.0,8,12,3,0,1,1,1,28
4247,20140401,Tue 4/1,POR,112-124,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4247,20140330,Sun 3/30,PHX,115-99,W,4,0,0.0,3,0,0.0,0,0,0.0,0,1,1,0,0,1,0,11
4247,20140328,Fri 3/28,MIN,107-143,L,10,6,0.6,2,1,0.5,0,0,0.0,13,0,1,0,2,5,1,24
4247,20140327,Thu 3/27,MIL,105-108,L,2,1,0.5,1,0,0.0,1,1,1.0,3,1,1,0,0,0,0,19
4247,20140325,Tue 3/25,NY,127-96,W,3,1,0.333,0,0,0.0,0,0,0.0,2,2,0,0,0,2,0,15
4247,20140323,Sun 3/23,ORL,103-94,W,7,2,0.286,3,1,0.333,2,2,1.0,7,2,2,1,0,1,3,21
4247,20140321,Fri 3/21,WSH,107-117,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4247,20140319,Wed 3/19,SA,109-125,L,6,3,0.5,4,2,0.5,0,0,0.0,8,5,1,0,0,2,2,16
4247,20140314,Fri 3/14,SA,85-119,L,10,4,0.4,2,0,0.0,2,1,0.5,9,2,2,1,1,1,3,33
4247,20140313,Thu 3/13,OKC,102-131,L,11,4,0.364,5,2,0.4,0,0,0.0,10,4,0,0,0,3,0,30
4247,20140309,Sun 3/9,OKC,114-110,W,8,3,0.375,4,1,0.25,5,4,0.8,11,3,5,1,1,4,1,37
4247,20140307,Fri 3/7,DEN,126-134,L,6,2,0.333,2,0,0.0,0,0,0.0,4,6,0,1,1,3,1,19
4247,20140306,Thu 3/6,LAC,94-142,L,9,1,0.111,7,0,0.0,0,0,0.0,2,4,1,1,4,4,2,30
4247,20140304,Tue 3/4,NO,125-132,L,5,2,0.4,2,1,0.5,2,2,1.0,7,3,1,0,1,5,2,29
4247,20140303,Mon 3/3,POR,107-106,W,11,7,0.636,1,0,0.0,0,0,0.0,14,7,4,2,2,3,3,36
4247,20140228,Fri 2/28,SAC,126-122,W,10,5,0.5,4,2,0.5,0,0,0.0,12,12,3,3,1,4,0,36
4247,20140226,Wed 2/26,MEM,103-108,L,14,7,0.5,8,4,0.5,0,0,0.0,18,5,2,4,0,3,1,38
4247,20140225,Tue 2/25,IND,98-118,L,10,6,0.6,3,2,0.667,2,1,0.5,15,5,0,1,1,5,0,25
4247,20140223,Sun 2/23,BKN,102-108,L,1,1,1.0,1,1,1.0,0,0,0.0,3,4,0,1,1,4,0,18
4247,20140221,Fri 2/21,BOS,101-92,W,4,0,0.0,3,0,0.0,2,1,0.5,1,3,0,1,1,4,0,23
4247,20140219,Wed 2/19,HOU,108-134,L,13,9,0.692,6,4,0.667,3,2,0.667,24,7,1,0,2,3,2,42
4247,20140213,Thu 2/13,OKC,103-107,L,13,8,0.615,2,1,0.5,4,2,0.5,19,0,0,0,1,5,3,42
4247,20140211,Tue 2/11,UTAH,79-96,L,14,7,0.5,3,1,0.333,0,0,0.0,15,6,0,0,0,3,2,37
4247,20140209,Sun 2/9,CHI,86-92,L,8,3,0.375,2,0,0.0,0,0,0.0,6,4,3,1,1,2,1,30
4247,20140207,Fri 2/7,PHI,112-98,W,13,6,0.462,3,2,0.667,3,3,1.0,17,3,1,3,5,1,1,43
4247,20140205,Wed 2/5,CLE,119-108,W,15,8,0.533,7,4,0.571,0,0,0.0,20,9,0,2,0,3,0,41
4247,20140204,Tue 2/4,MIN,99-109,L,16,7,0.438,2,1,0.5,0,0,0.0,15,9,1,2,0,4,1,38
4247,20140131,Fri 1/31,&nbsp;CHA,100-110,L,5,1,0.2,1,0,0.0,2,1,0.5,3,5,1,0,1,1,1,20
4247,20140128,Tue 1/28,IND,92-104,L,7,3,0.429,2,1,0.5,0,0,0.0,7,10,1,1,0,1,1,31
4247,20140126,Sun 1/26,NY,103-110,L,8,3,0.375,4,0,0.0,0,0,0.0,6,5,1,0,1,2,0,23
4247,20140124,Fri 1/24,ORL,105-114,L,7,2,0.286,3,1,0.333,0,0,0.0,5,3,2,0,0,3,0,19
4247,20140123,Thu 1/23,MIA,102-109,L,6,3,0.5,3,1,0.333,0,0,0.0,7,1,1,0,1,2,0,18
4247,20140120,Mon 1/20,CHI,100-102,L,4,0,0.0,3,0,0.0,2,1,0.5,1,1,0,0,0,1,1,14
4247,20140119,Sun 1/19,TOR,112-106,W,4,2,0.5,3,2,0.667,2,2,1.0,8,3,1,1,0,4,2,24
4247,20140117,Fri 1/17,BOS,107-104,W,7,3,0.429,5,3,0.6,4,2,0.5,11,11,3,2,1,3,3,38
4247,20140115,Wed 1/15,PHX,114-121,L,14,7,0.5,5,2,0.4,7,6,0.857,22,5,1,1,2,5,1,44
4247,20140114,Tue 1/14,CLE,118-120,L,13,7,0.538,5,1,0.2,2,2,1.0,17,5,4,1,2,3,1,38
4247,20140110,Fri 1/10,LAC,87-123,L,11,5,0.455,3,1,0.333,3,3,1.0,14,1,0,0,0,2,2,34
4247,20140108,Wed 1/8,HOU,99-113,L,13,4,0.308,5,2,0.4,0,0,0.0,10,4,3,0,3,1,2,31
4247,20140107,Tue 1/7,DAL,97-110,L,14,7,0.5,7,3,0.429,0,0,0.0,17,4,1,0,0,3,2,36
4247,20140105,Sun 1/5,DEN,115-137,L,5,1,0.2,3,0,0.0,0,0,0.0,2,3,0,1,1,0,1,26
4247,20140103,Fri 1/3,UTAH,110-99,W,5,5,1.0,1,1,1.0,0,0,0.0,11,1,1,1,2,3,0,21
4247,20141231,Tue 12/31,MIL,79-94,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4247,20141229,Sun 12/29,PHI,104-111,L,3,0,0.0,1,0,0.0,2,2,1.0,2,4,0,1,0,2,2,19
