ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4032,20120426,Thu 4/26,UTAH,94-96,L,18,4,0.222,11,3,0.273,3,3,1.0,14,4,2,0,1,2,1,44
4032,20120423,Mon 4/23,SA,89-124,L,24,9,0.375,6,3,0.5,3,3,1.0,24,6,2,0,4,2,0,45
4032,20120421,Sat 4/21,MEM,89-93,L,17,7,0.412,8,2,0.25,0,0,0.0,16,7,0,0,1,2,1,43
4032,20120418,Wed 4/18,UTAH,91-112,L,15,7,0.467,7,3,0.429,4,4,1.0,21,4,2,0,2,3,3,37
4032,20120416,Mon 4/16,PHX,107-125,L,17,8,0.471,5,3,0.6,0,0,0.0,19,4,0,1,2,2,2,40
4032,20120415,Sun 4/15,SAC,103-104,L,16,10,0.625,10,8,0.8,3,3,1.0,31,3,3,1,1,2,4,38
4032,20120413,Fri 4/13,DAL,94-97,L,16,6,0.375,4,1,0.25,2,2,1.0,15,7,4,0,3,2,1,41
4032,20120411,Wed 4/11,GS,118-110,W,15,7,0.467,4,2,0.5,2,2,1.0,18,4,1,0,1,1,1,33
4032,20120409,Mon 4/9,HOU,89-94,L,12,3,0.25,6,1,0.167,0,0,0.0,7,7,0,0,0,1,1,35
4032,20120407,Sat 4/7,MIL,94-116,L,12,4,0.333,7,2,0.286,4,4,1.0,14,2,2,0,3,1,1,36
4032,20120406,Fri 4/6,DAL,99-97,W,11,4,0.364,5,1,0.2,0,0,0.0,9,3,1,0,2,5,1,37
4032,20120404,Wed 4/4,&nbsp;NJ,101-88,W,9,1,0.111,3,1,0.333,4,4,1.0,7,3,4,0,2,3,0,35
4032,20120402,Mon 4/2,UTAH,97-102,L,12,10,0.833,6,5,0.833,10,8,0.8,33,1,3,0,2,3,2,40
4032,20120401,Sun 4/1,MIN,119-106,W,14,7,0.5,8,2,0.25,2,2,1.0,18,3,1,0,1,3,1,36
4032,20120330,Fri 3/30,LAC,97-98,L,13,5,0.385,3,0,0.0,2,2,1.0,12,2,1,0,2,1,2,36
4032,20120329,Thu 3/29,&nbsp;NO,99-93,W,15,7,0.467,7,3,0.429,2,1,0.5,18,0,2,2,0,2,0,41
4032,20120327,Tue 3/27,OKC,95-109,L,13,5,0.385,4,2,0.5,5,5,1.0,17,3,1,0,4,2,0,34
4032,20120325,Sun 3/25,GS,90-87,W,12,2,0.167,8,2,0.25,6,4,0.667,10,4,2,0,3,2,0,36
4032,20120323,Fri 3/23,LAL,96-103,L,14,5,0.357,8,4,0.5,2,2,1.0,16,5,2,0,1,1,0,36
4032,20120322,Thu 3/22,MEM,97-93,W,12,5,0.417,8,4,0.5,4,4,1.0,18,9,1,1,3,1,2,38
4032,20120320,Tue 3/20,MIL,87-116,L,13,6,0.462,7,5,0.714,4,4,1.0,21,9,1,1,2,2,2,35
4032,20120318,Sun 3/18,OKC,95-111,L,12,6,0.5,3,3,1.0,2,1,0.5,16,1,1,0,4,3,0,35
4032,20120316,Fri 3/16,CHI,100-89,W,11,6,0.545,5,4,0.8,3,2,0.667,18,2,1,0,0,2,2,33
4032,20120314,Wed 3/14,NY,79-121,L,9,3,0.333,4,2,0.5,0,0,0.0,8,0,1,0,3,3,2,26
4032,20120313,Tue 3/13,IND,75-92,L,5,1,0.2,4,1,0.25,8,6,0.75,9,2,1,1,1,2,0,38
4032,20120310,Sat 3/10,WSH,110-99,W,5,1,0.2,3,0,0.0,0,0,0.0,2,3,1,0,0,2,0,24
4032,20120309,Fri 3/9,BOS,86-104,L,11,3,0.273,5,0,0.0,4,4,1.0,10,3,1,0,0,1,2,29
4032,20120307,Wed 3/7,MIN,94-106,L,12,6,0.5,5,0,0.0,1,1,1.0,13,1,1,0,0,4,1,33
4032,20120305,Mon 3/5,&nbsp;NO,86-74,W,7,3,0.429,5,2,0.4,6,4,0.667,12,3,1,1,2,2,0,26
4032,20120303,Sat 3/3,MIN,110-122,L,8,3,0.375,4,2,0.5,0,0,0.0,8,0,1,0,0,3,1,23
4032,20120301,Thu 3/1,MIA,93-107,L,6,4,0.667,3,2,0.667,5,5,1.0,15,7,4,0,1,2,3,34
4032,20120229,Wed 2/29,DEN,95-104,L,11,4,0.364,5,1,0.2,3,2,0.667,11,3,2,0,0,4,2,28
4032,20120221,Tue 2/21,SA,137-97,W,10,5,0.5,4,1,0.25,0,0,0.0,11,4,4,1,1,3,0,24
4032,20120220,Mon 2/20,LAL,92-103,L,9,3,0.333,5,3,0.6,0,0,0.0,9,3,1,0,0,4,1,27
4032,20120218,Sat 2/18,ATL,97-77,W,13,6,0.462,3,1,0.333,0,0,0.0,13,1,1,0,2,3,1,28
4032,20120216,Thu 2/16,LAC,71-74,L,13,6,0.462,5,2,0.4,4,2,0.5,16,5,0,0,2,3,2,34
4032,20120215,Wed 2/15,GS,93-91,W,12,4,0.333,6,1,0.167,0,0,0.0,9,3,4,0,0,1,1,34
4032,20120214,Tue 2/14,WSH,109-124,L,13,6,0.462,6,3,0.5,0,0,0.0,15,5,2,0,1,2,2,37
4032,20120211,Sat 2/11,DAL,94-97,L,10,3,0.3,2,1,0.5,3,2,0.667,9,6,1,0,2,1,0,33
4032,20120210,Fri 2/10,&nbsp;NO,94-86,W,6,2,0.333,2,0,0.0,0,0,0.0,4,3,2,1,2,3,3,31
4032,20120208,Wed 2/8,HOU,96-103,L,10,4,0.4,5,1,0.2,8,8,1.0,17,2,1,0,2,3,1,36
4032,20120206,Mon 2/6,OKC,107-111,L,9,6,0.667,5,2,0.4,5,4,0.8,18,3,4,0,2,1,3,36
4032,20120204,Sat 2/4,DEN,117-97,W,8,4,0.5,4,2,0.5,2,1,0.5,11,2,5,0,1,1,0,30
4032,20120202,Thu 2/2,SAC,92-95,L,12,4,0.333,4,1,0.25,0,0,0.0,9,2,1,0,3,4,0,38
4032,20120201,Wed 2/1,&nbsp;CHA,112-68,W,6,3,0.5,1,0,0.0,0,0,0.0,6,5,6,1,3,1,0,32
4032,20120130,Mon 1/30,UTAH,89-93,L,12,3,0.25,5,0,0.0,0,0,0.0,6,2,1,0,0,5,0,25
4032,20120127,Fri 1/27,PHX,109-71,W,13,6,0.462,7,4,0.571,0,0,0.0,16,4,4,1,0,0,1,29
4032,20120125,Wed 1/25,GS,93-101,L,9,5,0.556,4,3,0.75,2,2,1.0,15,2,2,0,0,0,0,30
4032,20120124,Tue 1/24,MEM,97-84,W,9,3,0.333,6,1,0.167,6,6,1.0,13,1,1,0,0,2,0,31
4032,20120123,Mon 1/23,SAC,101-89,W,14,5,0.357,6,2,0.333,2,2,1.0,14,4,2,0,0,1,1,30
4032,20120121,Sat 1/21,DET,91-94,L,10,3,0.3,5,1,0.2,2,1,0.5,8,6,2,0,2,3,0,36
4032,20120120,Fri 1/20,TOR,94-84,W,9,2,0.222,3,2,0.667,2,2,1.0,8,2,2,0,1,4,2,35
4032,20120118,Wed 1/18,ATL,89-92,L,13,2,0.154,7,1,0.143,5,5,1.0,10,3,2,0,5,4,2,26
4032,20120116,Mon 1/16,&nbsp;NO,84-77,W,10,4,0.4,5,2,0.4,1,0,0.0,10,2,1,0,0,0,0,36
4032,20120114,Sat 1/14,HOU,105-107,L,8,2,0.25,4,1,0.25,0,0,0.0,5,2,0,0,1,3,0,34
4032,20120113,Fri 1/13,SA,83-99,L,11,5,0.455,3,1,0.333,2,1,0.5,12,3,2,0,2,3,2,34
4032,20120111,Wed 1/11,ORL,104-107,L,13,7,0.538,7,2,0.286,2,1,0.5,17,1,0,0,2,1,1,36
4032,20120110,Tue 1/10,LAC,105-97,W,7,5,0.714,3,1,0.333,7,7,1.0,18,3,1,0,1,4,1,40
4032,20120108,Sun 1/8,CLE,98-78,W,17,8,0.471,9,3,0.333,6,5,0.833,24,2,3,0,1,1,0,33
4032,20120106,Fri 1/6,PHX,77-102,L,4,2,0.5,3,1,0.333,3,3,1.0,8,1,0,0,2,1,3,24
4032,20120105,Thu 1/5,LAL,107-96,W,11,6,0.545,4,3,0.75,1,1,1.0,16,1,2,0,0,3,0,29
4032,20120103,Tue 1/3,OKC,103-93,W,12,7,0.583,2,0,0.0,3,2,0.667,16,6,2,1,4,1,3,39
4032,20120101,Sun 1/1,LAC,88-93,L,10,4,0.4,2,1,0.5,3,3,1.0,12,4,0,0,1,4,0,31
4032,20121229,Thu 12/29,DEN,111-102,W,15,9,0.6,8,5,0.625,2,2,1.0,25,5,2,0,1,3,3,39
4032,20121227,Tue 12/27,SAC,101-79,W,14,4,0.286,5,0,0.0,0,0,0.0,8,5,2,1,0,2,1,22
4032,20121226,Mon 12/26,PHI,107-103,W,14,4,0.286,6,3,0.5,6,5,0.833,16,6,0,1,1,2,1,41
