ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6579,20130417,Wed 4/17,GS,88-99,L,19,7,0.368,2,1,0.5,0,0,0.0,15,7,4,0,0,1,3,48
6579,20130416,Tue 4/16,LAC,77-93,L,14,8,0.571,1,0,0.0,2,1,0.5,17,6,5,0,3,2,6,40
6579,20130414,Sun 4/14,DEN,109-118,L,8,5,0.625,2,1,0.5,6,6,1.0,17,9,5,0,0,3,3,34
6579,20130412,Fri 4/12,OKC,90-106,L,19,8,0.421,3,0,0.0,2,2,1.0,18,7,0,0,2,2,3,38
6579,20130410,Wed 4/10,LAL,106-113,L,12,4,0.333,1,0,0.0,2,1,0.5,9,1,2,0,2,2,3,29
6579,20130407,Sun 4/7,DAL,91-96,L,11,7,0.636,2,0,0.0,9,8,0.889,22,13,6,0,3,2,0,32
6579,20130405,Fri 4/5,HOU,98-116,L,9,4,0.444,2,0,0.0,1,1,1.0,9,6,4,1,0,2,1,21
6579,20130403,Wed 4/3,MEM,76-94,L,5,0,0.0,2,0,0.0,2,2,1.0,2,2,1,0,0,1,2,10
6579,20130401,Mon 4/1,UTAH,102-112,L,2,1,0.5,0,0,0.0,2,2,1.0,4,1,0,0,1,1,0,5
6579,20130330,Sat 3/30,GS,98-125,L,5,0,0.0,1,0,0.0,0,0,0.0,0,1,0,0,1,0,0,12
6579,20130329,Fri 3/29,UTAH,95-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6579,20130327,Wed 3/27,BKN,93-111,L,3,1,0.333,1,0,0.0,3,3,1.0,5,2,0,0,1,1,1,10
6579,20130324,Sun 3/24,OKC,83-103,L,1,1,1.0,0,0,0.0,0,0,0.0,2,0,0,0,0,0,1,7
6579,20130322,Fri 3/22,ATL,104-93,W,3,1,0.333,1,0,0.0,0,0,0.0,2,1,0,0,1,0,0,4
6579,20130321,Thu 3/21,CHI,99-89,W,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1
6579,20130319,Tue 3/19,MIL,95-102,L,2,0,0.0,0,0,0.0,2,2,1.0,2,1,0,0,0,1,1,5
6579,20130318,Mon 3/18,PHI,100-101,L,1,0,0.0,1,0,0.0,0,0,0.0,0,2,0,0,0,0,1,5
6579,20130316,Sat 3/16,DET,112-101,W,3,1,0.333,0,0,0.0,0,0,0.0,2,2,1,0,1,2,0,10
6579,20130314,Thu 3/14,NY,105-90,W,4,3,0.75,1,0,0.0,1,1,1.0,7,4,1,0,0,1,1,10
6579,20130312,Tue 3/12,MEM,97-102,L,3,1,0.333,1,0,0.0,2,1,0.5,3,1,1,0,0,1,0,11
6579,20130310,Sun 3/10,&nbsp;NO,96-98,L,4,2,0.5,0,0,0.0,0,0,0.0,4,1,1,0,0,0,0,10
6579,20130308,Fri 3/8,SA,136-106,W,1,1,1.0,1,1,1.0,0,0,0.0,3,0,1,0,1,1,0,3
6579,20130306,Wed 3/6,MEM,85-91,L,0,0,0.0,0,0,0.0,2,1,0.5,1,0,0,0,0,0,1,5
6579,20130304,Mon 3/4,&nbsp;CHA,122-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
6579,20130302,Sat 3/2,MIN,109-94,W,7,0,0.0,2,0,0.0,0,0,0.0,0,1,1,0,1,2,0,16
6579,20130227,Wed 2/27,DEN,109-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,4
6579,20130224,Sun 2/24,BOS,92-86,W,2,1,0.5,0,0,0.0,0,0,0.0,2,1,0,0,0,1,1,7
6579,20130222,Fri 2/22,LAL,107-111,L,7,2,0.286,1,0,0.0,1,1,1.0,5,5,0,0,0,0,1,19
6579,20130219,Tue 2/19,PHX,98-102,L,4,1,0.25,1,0,0.0,0,0,0.0,2,0,1,0,2,0,0,7
6579,20130213,Wed 2/13,&nbsp;NO,63-99,L,12,4,0.333,2,0,0.0,1,1,1.0,9,4,1,0,0,1,3,26
6579,20130212,Tue 2/12,MIA,104-117,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
